# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 18:58:29+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-16.58.16-367870
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-16.58.16-367870
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 11.4221079349518 0 0.595911026000977 0 10.8990216255188 0 0 0 0 0 0 0 0 0 7.20474610391685 28730.3106174654 0 28730.3106174654 160 644867 2003 642864 0 0 0 0 11.419652223587 1752339509.22813 266
512 0.25 222.597288444266 222.597288444266 15.5608229637146 4.04317593574524 4.64171266555786 0 10.9249603748322 3 126935.856405022 126935.856405022 513224 513224 91444.9447354686 91444.9447354686 369728 369728 16.6680246861068 60150.6882947115 1275.56180125328 58875.1264934582 186 656993 14129 642864 0 0 0 0 15.5442614555359 1752339513.36685 905
1024 0.5 259.211703604598 224.672096218723 18.4617779254913 6.94413089752197 7.48742818832397 0 11.0085923671722 6 147815.185967518 147815.185967518 1026448 1026448 106486.471944801 106486.471944801 739456 739456 22.233663574037 60766.2427361395 1400.17407573218 59366.0686604073 284 675999 15567 660432 0 0 0 0 18.4361689090729 1752339516.2678 1544
1536 0.75 304.176168405301 238.118316051237 20.394082069397 8.87643504142761 9.36998391151428 0 11.0304472446442 9 173456.122059602 173456.122059602 1539672 1539672 124958.273769061 124958.273769061 1109184 1109184 27.7573725866362 61432.236025198 1524.20631233088 59908.0297128671 310 677439 17007 660432 0 0 0 0 20.3590617179871 1752339518.20011 2183
2048 1 260.492814737914 240.660110770913 25.3376059532166 13.8199589252472 14.2280523777008 0 11.1716632843018 12 148545.738167835 148545.738167835 2052896 2052896 107012.763786022 107012.763786022 1478912 1478912 36.9051733008962 89089.1783609813 1644.44051471725 87444.737846264 492 1321757 18461 1303296 0 0 0 0 25.290825843811 1752339523.14363 2822
2560 1.25 261.63931592897 244.056490136878 28.7168970108032 17.1992499828339 17.5295164585114 0 11.1936395168304 15 149199.529198144 149199.529198144 2566120 2566120 107483.756666429 107483.756666429 1848640 1848640 45.9446246239206 118253.865935487 1756.8902665042 116496.975668983 518 1323156 19860 1303296 0 0 0 0 28.6563467979431 1752339526.52292 3461
3072 1.5 239.688033198063 240.988771570376 34.0469319820404 22.529284954071 22.7940859794617 0 11.2880568504333 18 136681.834611158 136681.834611158 3079344 3079344 98465.9745980593 98465.9745980593 2218368 2218368 51.187050801904 118463.453573835 1876.41419736494 116587.03937647 616 1342179 21315 1320864 0 0 0 0 33.9770355224609 1752339531.85296 4100
3584 1.75 256.158384140104 241.760953888547 36.1118059158325 24.5941588878632 24.8078269958496 0 11.309056520462 21 146074.033935467 146074.033935467 3592568 3592568 105232.141168169 105232.141168169 2588096 2588096 56.4403034114084 118844.612990665 1995.13818626566 116849.474804399 642 1343621 22757 1320864 0 0 0 0 36.0314490795135 1752339533.91783 4739
4096 2 246.11765774761 242.335461463201 40.7719478607178 29.2543008327484 29.3801066875458 0 11.4619166851044 24 140348.320866511 140348.320866511 4105792 4105792 101107.321515232 101107.321515232 2957824 2957824 65.1343350666988 145360.084891257 2108.08767739457 143251.997213863 824 1987935 24207 1963728 0 0 0 0 40.6779460906982 1752339538.57797 5378
4608 2.25 257.784766118182 243.037065477027 42.939208984375 31.4215619564056 31.458286523819 0 11.4868385791779 27 147001.476451375 147001.476451375 4619016 4619016 105900.273341493 105900.273341493 3327552 3327552 73.6874587304745 173255.067860084 2212.36578221519 171042.702077869 850 1989332 25604 1963728 0 0 0 0 42.8328177928925 1752339540.74523 6017
