# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 18:28:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-16.28.22-354370
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-16.28.22-354370
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 10.5624520778656 0 0.311745643615723 0 10.3149924278259 0 0 0 0 0 0 0 0 0 7.60923166615959 16482.7664399272 0 16482.7664399272 160 355331 2003 353328 0 0 0 0 10.5600638389587 1752337714.12448 266
512 0.375 1118.61916779849 1118.61916779849 11.8441100120544 1.20684504508972 1.52009391784668 0 10.3269593715668 3 196963.148638795 196963.148638795 237704 237704 130084.637326682 130084.637326682 156992 156992 17.6287985546739 35573.1719757826 1349.2811201462 34223.8908556364 186 367462 14134 353328 0 0 0 0 11.8308041095734 1752337715.40614 905
1024 0.75 1172.36092202312 1172.36092202312 12.9403100013733 2.30304503440857 2.56883525848389 0 10.4016199111938 6 206425.83748784 206425.83748784 475408 475408 136334.285829818 136334.285829818 313984 313984 23.5260660657043 36162.456092094 1484.26336481743 34678.1927272766 284 381885 15597 366288 0 0 0 0 12.9165613651276 1752337716.50234 1544
1536 1.125 1180.21023904443 1180.21023904443 14.0688569545746 3.43159198760986 3.65810871124268 0 10.4135510921478 9 207807.921971717 207807.921971717 713112 713112 137247.085813381 137247.085813381 470976 470976 29.3927000103949 36802.5420502703 1618.90381037645 35183.6382398938 310 383347 17059 366288 0 0 0 0 14.0351541042328 1752337717.63089 2183
2048 1.5 1200.55064980058 1200.55064980058 15.1352009773254 4.49793601036072 4.6444046497345 0 10.5615406036377 12 211389.401229776 211389.401229776 950816 950816 139612.479713699 139612.479713699 627968 627968 39.0818758840732 52768.9207485666 1748.19903344854 51020.7217151181 492 738156 18540 719616 0 0 0 0 15.0915586948395 1752337718.69723 2822
2560 1.875 1043.1700609287 1115.7267540167 17.1079261302948 6.47066116333008 6.53854775428772 0 10.571492433548 15 183678.293454071 183678.293454071 1188520 1188520 121310.63274468 121310.63274468 784960 784960 48.6310530018304 69955.6751301894 1870.68712052955 68084.9880096598 518 739593 19977 719616 0 0 0 0 17.0505690574646 1752337720.66996 3461
3072 2.25 1059.14334116965 1105.31300852521 18.2849550247192 7.64769005775452 7.66774034500122 0 10.6543884277344 18 186490.821310659 186490.821310659 1426224 1426224 123168.17141993 123168.17141993 941952 941952 54.2515167466971 70376.6498597206 2001.65491996668 68374.9949397539 616 754033 21457 732576 0 0 0 0 18.2189185619354 1752337721.84699 4100
3584 2.625 1075.35434298581 1099.88527387661 19.4250659942627 8.78780102729797 8.76065587997437 0 10.6688592433929 21 189345.20647785 189345.20647785 1663928 1663928 125053.354825206 125053.354825206 1098944 1098944 59.8251561185929 70823.4203210219 2129.88808162652 68693.5322393954 642 755499 22923 732576 0 0 0 0 19.3482110500336 1752337722.9871 4739
4096 3 1085.79379409477 1097.66762427354 20.5839049816132 9.94664001464844 9.84110450744629 0 10.8086314201355 24 191183.35409741 191183.35409741 1901632 1901632 126267.362461131 126267.362461131 1255936 1255936 69.0695132786169 86173.0609468285 2253.04379972458 83920.0171471039 824 1110300 24396 1085904 0 0 0 0 20.4979650974274 1752337724.14594 5378
4608 3.375 1091.20418330677 1096.28426575513 21.7717530727386 11.1344881057739 10.9535222053528 0 10.8220896720886 27 192135.999399076 192135.999399076 2139336 2139336 126896.538626442 126896.538626442 1412928 1412928 78.2013261105814 102742.861899062 2365.63633312293 100377.225565939 850 1111705 25801 1085904 0 0 0 0 21.674881696701 1752337725.33379 6017
