# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:17+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.375 0.669888030670057
1024 0.75 0.669968698506563
1536 1.125 0.67010158925625
2048 1.5 0.670279885400615
2560 1.875 0.670493221044615
3072 2.25 0.670730335795938
3584 2.625 0.670981183227392
4096 3 0.671237366088739
4608 3.375 0.671490967894016
5120 3.75 0.67173308899576
5632 4.125 0.671953903181994
6144 4.5 0.67214453053977
6656 4.875 0.672299241101607
7168 5.25 0.672416106694071
7680 5.625 0.67249582538143
8192 6 0.672539737975891
8704 6.375 0.672548545524145
9216 6.75 0.67252255017659
9728 7.125 0.672463070097269
10240 7.5 0.672373984387221
10752 7.875 0.672262427996385
11264 8.25 0.672138072391499
11776 8.625 0.672010631227712
12288 9 0.671885677537317
12800 9.375 0.671761206075936
13312 9.75 0.671628585328733
13824 10.125 0.671479356057095
14336 10.5 0.671313685534656
14848 10.875 0.671142319272437
15360 11.25 0.670978281846428
15872 11.625 0.670825184791408
16384 12 0.670674059459746
16896 12.375 0.670512714789075
17408 12.75 0.670337961203804
17920 13.125 0.670157330538788
18432 13.5 0.669978689773286
18944 13.875 0.669800125426811
19456 14.25 0.669612021642601
19968 14.625 0.669408565372001
20480 15 0.669194751896913
20992 15.375 0.668980980094048
21504 15.75 0.668772635613194
22016 16.125 0.668567135589909
22528 16.5 0.668359963607905
23040 16.875 0.66814984703455
23552 17.25 0.667936795960066
24064 17.625 0.667718707317538
24576 18 0.667493984397551
25088 18.375 0.667266571757
25600 18.75 0.667043865880443
26112 19.125 0.666827844623953
26624 19.5 0.666611284279694
27136 19.875 0.66638584970068
27648 20.25 0.666152995000376
28160 20.625 0.665924382918913
28672 21 0.665711619861426
29184 21.375 0.665517453244608
29696 21.75 0.66533696285828
30208 22.125 0.665164841909381
30720 22.5 0.664999839974188
31232 22.875 0.66484313674788
31744 23.25 0.66469420011224
32256 23.625 0.664548506618872
32768 24 0.664398338769669
33280 24.375 0.664235693043005
33792 24.75 0.664055910390853
34304 25.125 0.66386032575892
34816 25.5 0.663655923457507
35328 25.875 0.663451222295701
35840 26.25 0.663250690581042
36352 26.625 0.663052250966182
36864 27 0.662850526828213
37376 27.375 0.662642957163123
37888 27.75 0.662432387929273
38400 28.125 0.662223107777216
38912 28.5 0.662014698313944
39424 28.875 0.6618009329213
39936 29.25 0.66157537735807
40448 29.625 0.661337691202938
40960 30 0.661093949919115
41472 30.375 0.660851031723225
41984 30.75 0.660611025457937
42496 31.125 0.660370572798776
43008 31.5 0.660124650277049
43520 31.875 0.659870836232704
44032 32.25 0.659610827999591
44544 32.625 0.659348641023404
45056 33 0.659087282666826
45568 33.375 0.658826823306806
46080 33.75 0.65856565889698
46592 34.125 0.658303449057214
47104 34.5 0.658042042951473
47616 34.875 0.65778306612368
48128 35.25 0.657525414074298
48640 35.625 0.657266343980597
49152 36 0.657004936778186
49664 36.375 0.656743212189367
50176 36.75 0.656483444633793
50688 37.125 0.656225672034888
51200 37.5 0.655968887150324
51712 37.875 0.655713663100113
52224 38.25 0.65546177394003
52736 38.625 0.655213188984653
53248 39 0.654965254244404
53760 39.375 0.654715884655458
54272 39.75 0.654466435325559
54784 40.125 0.654219951665691
55296 40.5 0.653977025435398
55808 40.875 0.653735036635448
56320 41.25 0.653491811600509
56832 41.625 0.653248467992298
57344 42 0.653007540793084
57856 42.375 0.652769415214883
58368 42.75 0.65253236392704
58880 43.125 0.652295772784968
59392 43.5 0.652061237674938
59904 43.875 0.651829740042337
60416 44.25 0.651599475598363
60928 44.625 0.651367852902838
61440 45 0.651134339074219
61952 45.375 0.650899527146066
62464 45.75 0.650662378749052
62976 46.125 0.650420970735544
63488 46.5 0.650176144560836
64000 46.875 0.649932015947184
64512 47.25 0.64969192013934
65024 47.625 0.649455734366115
65536 48 0.649222266997566
66048 48.375 0.648992144935854
66560 48.75 0.648766151960516
67072 49.125 0.648541971725017
67584 49.5 0.648315261463792
68096 49.875 0.648084069216598
68608 50.25 0.647850411186055
69120 50.625 0.647617475886034
69632 51 0.647387051447833
70144 51.375 0.647159795054931
70656 51.75 0.646935881421497
71168 52.125 0.646714468777583
71680 52.5 0.646494136086971
72192 52.875 0.646274796075599
72704 53.25 0.64605767940681
73216 53.625 0.645842493901593
73728 54 0.645626526733246
74240 54.375 0.645408376238115
74752 54.75 0.645191034109095
75264 55.125 0.64497879838309
75776 55.5 0.644771851384934
76288 55.875 0.644566420565343
76800 56.25 0.644360118055132
77312 56.625 0.644154506877159
77824 57 0.643951955765949
78336 57.375 0.643752551025592
78848 57.75 0.643555388594129
79360 58.125 0.643360929975767
79872 58.5 0.643170418021752
80384 58.875 0.642984217378617
80896 59.25 0.642802243693321
81408 59.625 0.642625078456837
81920 60 0.642453250249416
82432 60.375 0.642286295870094
82944 60.75 0.642124105788387
83456 61.125 0.641968491145674
83968 61.5 0.641821444538039
84480 61.875 0.641681812977902
84992 62.25 0.641545529677656
85504 62.625 0.641409863377818
86016 63 0.641276187911616
86528 63.375 0.641147692074103
87040 63.75 0.641025392148841
87552 64.125 0.640907764303828
88064 64.5 0.640794039486999
88576 64.875 0.640686526846999
89088 65.25 0.640588996211797
89600 65.625 0.640503461778307
90112 66 0.640429363804011
90624 66.375 0.640365218970585
91136 66.75 0.640309517251877
91648 67.125 0.640259781599009
92160 67.5 0.640212690804797
92672 67.875 0.64016700124034
93184 68.25 0.640125623976262
93696 68.625 0.640092563551506
94208 69 0.640067534610902
94720 69.375 0.64004599095147
95232 69.75 0.640025909040308
95744 70.125 0.640012441871997
96256 70.5 0.640012923216707
96768 70.875 0.640027656512377
97280 71.25 0.64004863125473
97792 71.625 0.640068334438768
98304 72 0.640087417342861
98816 72.375 0.640111824083146
99328 72.75 0.640144305627179
