# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:17+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.375 -3.32074355302453e-07 -3.32074355302453e-07 -3.32074355302446e-07
1024 0.75 -1.15508477010799e-06 -1.15508477010801e-06 -1.15508477010802e-06
1536 1.125 -1.86104455253736e-06 -1.86104455253737e-06 -1.86104455253737e-06
2048 1.5 -3.20436435204057e-06 -3.2043643520406e-06 -3.2043643520406e-06
2560 1.875 -4.29311891820087e-06 -4.2931189182009e-06 -4.2931189182009e-06
3072 2.25 -5.16882218580406e-06 -5.16882218580412e-06 -5.16882218580428e-06
3584 2.625 -6.17591701986354e-06 -6.1759170198638e-06 -6.17591701986116e-06
4096 3 -6.6803579382716e-06 -6.68035793827176e-06 -6.68035793826716e-06
4608 3.375 -7.69956251361972e-06 -7.6995625136173e-06 -7.6995625136097e-06
5120 3.75 -9.14477733567265e-06 -9.14477733558612e-06 -9.14477733393885e-06
5632 4.125 -1.09093146580067e-05 -1.09093146581538e-05 -1.09093146485716e-05
6144 4.5 -1.25780267951094e-05 -1.25780267956344e-05 -1.25780267769294e-05
6656 4.875 -1.38020923872591e-05 -1.38020923876368e-05 -1.38020923771277e-05
7168 5.25 -1.50414199264498e-05 -1.50414199263736e-05 -1.50414199263661e-05
7680 5.625 -1.73100576106012e-05 -1.73100576080348e-05 -1.73100576078428e-05
8192 6 -1.94306933982596e-05 -1.94306933941354e-05 -1.94306934004966e-05
8704 6.375 -2.03024756649679e-05 -2.03024756658217e-05 -2.03024756769663e-05
9216 6.75 -2.17732940270878e-05 -2.17732940441245e-05 -2.17732940353282e-05
9728 7.125 -2.39513838057404e-05 -2.39513838358532e-05 -2.39513837904809e-05
10240 7.5 -2.4520141627223e-05 -2.45201416551724e-05 -2.45201416104853e-05
10752 7.875 -2.63321502192399e-05 -2.6332150174714e-05 -2.63321501755533e-05
11264 8.25 -2.62111631798868e-05 -2.62111631438631e-05 -2.62111631415191e-05
11776 8.625 -2.72744143497597e-05 -2.72744143521665e-05 -2.72744144479222e-05
12288 9 -2.73966959939099e-05 -2.73966954894997e-05 -2.73966956256054e-05
12800 9.375 -2.73810002809807e-05 -2.73809994960781e-05 -2.73809997421012e-05
13312 9.75 -2.70011908220663e-05 -2.70011900414838e-05 -2.70011901803939e-05
13824 10.125 -2.61636049561047e-05 -2.61636033709402e-05 -2.61636045786285e-05
14336 10.5 -2.49406319663376e-05 -2.49406317881094e-05 -2.49406318363832e-05
14848 10.875 -2.3146930090944e-05 -2.31469377663226e-05 -2.3146938151797e-05
15360 11.25 -2.13063667265372e-05 -2.13063657767248e-05 -2.13063644251014e-05
15872 11.625 -1.97516822426762e-05 -1.97516852992484e-05 -1.97516820867788e-05
16384 12 -1.97931173280707e-05 -1.9793130120487e-05 -1.97931174966419e-05
16896 12.375 -2.02329016146896e-05 -2.02329109574134e-05 -2.02328987256407e-05
17408 12.75 -2.00356153564853e-05 -2.00356224323137e-05 -2.00356102846217e-05
17920 13.125 -1.90786157447085e-05 -1.90786271488319e-05 -1.90786169527178e-05
18432 13.5 -1.76242636881211e-05 -1.76242688210311e-05 -1.76242674345446e-05
18944 13.875 -1.75010140912142e-05 -1.75010201664986e-05 -1.75010148374799e-05
19456 14.25 -1.69447069101181e-05 -1.69447127328018e-05 -1.69447070765532e-05
19968 14.625 -1.69739211400347e-05 -1.69739257531893e-05 -1.69739237917533e-05
20480 15 -1.70147890568878e-05 -1.70147944422854e-05 -1.70147916890232e-05
20992 15.375 -1.66007448176669e-05 -1.66007501866752e-05 -1.66007465636464e-05
21504 15.75 -1.57286731736121e-05 -1.57286771798079e-05 -1.57286733210247e-05
22016 16.125 -1.56395104581901e-05 -1.56395111795592e-05 -1.56395111917635e-05
22528 16.5 -1.55439338305281e-05 -1.55439342710506e-05 -1.55439346334423e-05
23040 16.875 -1.53697632890034e-05 -1.53697689898666e-05 -1.53697670003148e-05
23552 17.25 -1.55307007350915e-05 -1.55307001158212e-05 -1.55306953892193e-05
24064 17.625 -1.57121370054135e-05 -1.57121186686684e-05 -1.57121223973876e-05
24576 18 -1.58179319539592e-05 -1.58179284145789e-05 -1.58179267943134e-05
25088 18.375 -1.60636493371981e-05 -1.60636459774634e-05 -1.60636492599935e-05
25600 18.75 -1.5919720480965e-05 -1.5919717258003e-05 -1.59197291908717e-05
26112 19.125 -1.57703568435263e-05 -1.57703496779022e-05 -1.57703586948268e-05
26624 19.5 -1.58399383347131e-05 -1.58399372757568e-05 -1.5839941578124e-05
27136 19.875 -1.56874111832737e-05 -1.56874262568612e-05 -1.56874141741015e-05
27648 20.25 -1.54989109780004e-05 -1.54989224393188e-05 -1.54989113686535e-05
28160 20.625 -1.54046077972679e-05 -1.54046057042447e-05 -1.54046124999441e-05
28672 21 -1.53527521036846e-05 -1.53527481468951e-05 -1.53527546314797e-05
29184 21.375 -1.52204937769934e-05 -1.52204922523456e-05 -1.52204921524691e-05
29696 21.75 -1.50095642660582e-05 -1.5009562772678e-05 -1.50095626140786e-05
30208 22.125 -1.45095869970869e-05 -1.45095855848701e-05 -1.45095857302014e-05
30720 22.5 -1.41985233949768e-05 -1.41985237554915e-05 -1.41985238926458e-05
31232 22.875 -1.40519645739733e-05 -1.40519651742756e-05 -1.40519656164491e-05
31744 23.25 -1.36693012628972e-05 -1.36693018862568e-05 -1.36693030874674e-05
32256 23.625 -1.31846622233804e-05 -1.31846618899554e-05 -1.31846641573851e-05
32768 24 -1.2765861719189e-05 -1.27658615434102e-05 -1.2765863033861e-05
33280 24.375 -1.24179801641401e-05 -1.24179803937965e-05 -1.24179809655087e-05
33792 24.75 -1.20636984739919e-05 -1.20636993327659e-05 -1.20636991198102e-05
34304 25.125 -1.17728637370225e-05 -1.17728644788177e-05 -1.17728643239832e-05
34816 25.5 -1.15132152061884e-05 -1.15132161708949e-05 -1.15132156143981e-05
