# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:17+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 9.16947102546692 0 0.312400102615356 0 8.91242003440857 0 0 0 0 0 0 0 0 0 8.80652313608071 19076.2839624641 0 19076.2839624641 160 355331 2003 353328 0 0 0 0 9.16732621192932 1752351857.94425 266
512 0.375 1595.46913857843 1595.46913857843 10.0893490314484 0.846146106719971 1.15999102592468 0 8.93213105201721 3 280925.478604923 280925.478604923 237704 237704 185537.697039781 185537.697039781 156992 156992 20.382204396712 41129.0486698838 1559.7985870187 39569.2500828651 186 367460 14132 353328 0 0 0 0 10.0769739151001 1752351858.86413 905
1024 0.75 1694.85672705547 1694.85672705547 10.8362579345703 1.59305500984192 1.86418342590332 0 8.99973678588867 6 298425.350702218 298425.350702218 475408 475408 197095.516513995 197095.516513995 313984 313984 27.1954941707514 41802.4838779145 1715.43381468047 40087.0500632341 284 381882 15594 366288 0 0 0 0 10.8144991397858 1752351859.61104 1544
1536 1.125 1715.19674306174 1715.19674306174 11.6044480800629 2.36124515533447 2.59544444084167 0 9.01143360137939 9 302006.760453887 302006.760453887 713112 713112 199460.864508703 199460.864508703 470976 470976 33.9660202453257 42528.343348868 1870.35111481614 40657.9922340518 310 383344 17056 366288 0 0 0 0 11.5735795497894 1752351860.37923 2183
2048 1.5 1719.4636824584 1719.4636824584 12.3837170600891 3.14051413536072 3.30621981620789 0 9.12953448295593 12 302758.070500068 302758.070500068 950816 950816 199957.068471488 199957.068471488 627968 627968 45.1666344791638 60983.6593861976 2019.3892113111 58964.2701748865 492 738146 18530 719616 0 0 0 0 12.3436176776886 1752351861.1585 2822
2560 1.875 1707.08971389213 1707.08971389213 13.1973009109497 3.95409798622131 4.06010890007019 0 9.13991332054138 15 300579.29877853 300579.29877853 1188520 1188520 198518.095083966 198518.095083966 784960 784960 56.2536060737246 80918.7329235988 2161.93333537034 78756.7995882284 518 739577 19961 719616 0 0 0 0 13.1481370925903 1752351861.97208 3461
3072 2.25 1675.9266618547 1675.9266618547 14.0763499736786 4.8331470489502 4.9014892578125 0 9.20209884643555 18 295092.200910748 295092.200910748 1426224 1426224 194894.132220662 194894.132220662 941952 941952 62.780244609482 81439.2744630855 2315.2395069351 79124.0349561505 616 754023 21447 732576 0 0 0 0 14.0179100036621 1752351862.85113 4100
3584 2.625 1683.05551460272 1683.05551460272 14.8579909801483 5.61478805541992 5.64764404296875 0 9.21280574798584 21 296347.428180093 296347.428180093 1663928 1663928 195723.149147045 195723.149147045 1098944 1098944 69.2699204874221 82002.5570319377 2464.18513382842 79538.3718981093 642 755480 22904 732576 0 0 0 0 14.789938211441 1752351863.63277 4739
4096 3 1695.2786592524 1683.74982997463 15.6138370037079 6.37063407897949 6.34018611907959 0 9.32678151130676 24 298499.643273283 298499.643273283 1901632 1901632 197144.583165446 197144.583165446 1255936 1255936 80.0116382675043 99822.9296656453 2608.14217624815 97214.7874893972 824 1110280 24376 1085904 0 0 0 0 15.5365264415741 1752351864.38862 5378
4608 3.375 1687.28488073588 1682.70916625314 16.4441208839417 7.20091795921326 7.10958671569824 0 9.33689093589783 27 297092.122437364 297092.122437364 2139336 2139336 196214.983701102 196214.983701102 1412928 1412928 90.631196453074 119071.501584011 2739.61180483979 116331.889779171 850 1111684 25780 1085904 0 0 0 0 16.3577001094818 1752351865.2189 6017
