# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.375 0.00127844235495812
1024 0.75 0.00127697909573674
1536 1.125 0.00127557721871388
2048 1.5 0.00127425701808188
2560 1.875 0.0012730636588641
3072 2.25 0.00127203179407806
3584 2.625 0.00127119104112834
4096 3 0.00127060258360457
4608 3.375 0.00127040513164217
5120 3.75 0.0012706310078124
5632 4.125 0.0012712019582332
6144 4.5 0.00127200237606279
6656 4.875 0.00127300189363365
7168 5.25 0.00127417031723799
7680 5.625 0.00127547784697051
8192 6 0.0012768969385402
8704 6.375 0.0012784033617512
9216 6.75 0.00127997619838362
9728 7.125 0.0012815972966916
10240 7.5 0.0012832509526503
10752 7.875 0.0012849065984682
11264 8.25 0.00128646088241914
11776 8.625 0.00128789631848008
12288 9 0.00128921901163051
12800 9.375 0.00129044085245871
13312 9.75 0.00129157927500412
13824 10.125 0.00129264604566868
14336 10.5 0.00129367475836629
14848 10.875 0.00129472924869416
15360 11.25 0.00129584878597123
15872 11.625 0.0012970580867495
16384 12 0.00129838941445554
16896 12.375 0.00129986985444978
17408 12.75 0.00130151054988355
17920 13.125 0.00130329623562369
18432 13.5 0.00130521214452838
18944 13.875 0.00130724425771374
19456 14.25 0.00130937637201776
19968 14.625 0.00131158903607402
20480 15 0.00131385832070123
20992 15.375 0.00131615811174027
21504 15.75 0.00131846342932282
22016 16.125 0.00132075191585469
22528 16.5 0.00132300384414803
23040 16.875 0.00132520334762839
23552 17.25 0.00132734116132227
24064 17.625 0.0013294157393715
24576 18 0.00133143091902004
25088 18.375 0.00133339313366033
25600 18.75 0.00133531489051175
26112 19.125 0.0013372249253018
26624 19.5 0.00133913953090281
27136 19.875 0.00134107182290189
27648 20.25 0.00134302965573314
28160 20.625 0.00134501671580492
28672 21 0.00134703771690236
29184 21.375 0.00134910103055173
29696 21.75 0.00135121594118554
30208 22.125 0.00135338814356121
30720 22.5 0.00135562103508281
31232 22.875 0.00135792545439092
31744 23.25 0.00136029714512372
32256 23.625 0.00136272812291693
32768 24 0.00136520970425185
33280 24.375 0.00136773211066301
33792 24.75 0.0013702835155936
34304 25.125 0.00137284955921621
34816 25.5 0.0013754145952531
35328 25.875 0.00137796460598298
35840 26.25 0.00138048968409676
36352 26.625 0.00138298360013405
36864 27 0.00138544068518937
37376 27.375 0.00138785353382923
37888 27.75 0.00139021468671838
38400 28.125 0.00139252111623777
38912 28.5 0.00139477681882258
39424 28.875 0.00139699057390851
39936 29.25 0.00139917081937973
40448 29.625 0.00140132281963687
40960 30 0.00140344999182406
41472 30.375 0.00140555653472844
41984 30.75 0.00140764782383689
42496 31.125 0.00140972833917749
43008 31.5 0.00141179969430314
43520 31.875 0.00141386063009968
44032 32.25 0.00141590862959688
44544 32.625 0.00141794155269048
45056 33 0.00141995824523148
45568 33.375 0.00142195797592143
46080 33.75 0.00142393897457446
46592 34.125 0.001425897317144
47104 34.5 0.00142782769911077
47616 34.875 0.00142972592804709
48128 35.25 0.00143159076325948
48640 35.625 0.00143342322026412
49152 36 0.00143522460242695
49664 36.375 0.00143699616522149
50176 36.75 0.00143874082354568
50688 37.125 0.00144046405871014
51200 37.5 0.00144217210412217
51712 37.875 0.00144386945227746
52224 38.25 0.00144555886909118
52736 38.625 0.00144724358020994
53248 39 0.00144892824598419
53760 39.375 0.00145061728254975
54272 39.75 0.00145231308153
54784 40.125 0.00145401675853398
55296 40.5 0.00145573023545042
55808 40.875 0.00145745650805321
56320 41.25 0.00145919764166818
56832 41.625 0.00146095337685227
57344 42 0.00146272232980346
57856 42.375 0.0014645041068915
58368 42.75 0.0014662996051547
58880 43.125 0.00146810961270105
59392 43.5 0.00146993412435182
59904 43.875 0.00147177320923427
60416 44.25 0.00147362756742392
60928 44.625 0.00147549763037648
61440 45 0.00147738286132382
61952 45.375 0.00147928287911935
62464 45.75 0.00148119887513859
62976 46.125 0.00148313305439943
63488 46.5 0.00148508680912735
64000 46.875 0.00148706033720285
64512 47.25 0.00148905413166066
65024 47.625 0.00149106966601857
65536 48 0.00149310805841162
66048 48.375 0.0014951687291072
66560 48.75 0.00149724994785408
67072 49.125 0.00149935015098072
67584 49.5 0.00150146802203042
68096 49.875 0.00150360177128184
68608 50.25 0.00150574939062161
69120 50.625 0.00150790966717281
69632 51 0.00151008206837863
70144 51.375 0.00151226525202636
70656 51.75 0.00151445624277353
71168 52.125 0.00151665146094936
71680 52.5 0.00151884809590857
72192 52.875 0.00152104414863001
72704 53.25 0.00152323775529952
73216 53.625 0.00152542718101639
73728 54 0.00152761122994438
74240 54.375 0.00152978905925459
74752 54.75 0.00153195977284103
75264 55.125 0.00153412268230919
75776 55.5 0.00153627755033446
76288 55.875 0.00153842372413949
76800 56.25 0.00154055921556454
77312 56.625 0.00154268160948829
77824 57 0.00154478992238911
78336 57.375 0.00154688457595763
78848 57.75 0.00154896529720667
79360 58.125 0.00155102998177178
79872 58.5 0.00155307596802375
80384 58.875 0.00155510141969447
80896 59.25 0.00155710479935858
81408 59.625 0.00155908379183224
81920 60 0.00156103552085203
82432 60.375 0.00156295720101002
82944 60.75 0.00156484577173706
83456 61.125 0.00156669745948844
83968 61.5 0.00156850900807919
84480 61.875 0.00157027951156021
84992 62.25 0.00157200783490086
85504 62.625 0.00157369012313503
86016 63 0.00157531985914272
86528 63.375 0.00157689050833707
87040 63.75 0.00157839776687259
87552 64.125 0.00157983833285775
88064 64.5 0.00158117373798397
88576 64.875 0.00158237312562042
89088 65.25 0.00158343394280713
89600 65.625 0.00158435693485191
90112 66 0.00158514598990728
90624 66.375 0.00158580625583517
91136 66.75 0.00158634293308064
