# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.375 0.0252840456731053 0.0252840456731053 0.0252840456731053
1024 0.75 0.0230978365890111 0.0230978365890111 0.0230978365890111
1536 1.125 0.0209370281674049 0.0209370281674049 0.0209370281674049
2048 1.5 0.0188057711388814 0.0188057711388814 0.0188057711388814
2560 1.875 0.0167064322545527 0.0167064322545527 0.0167064322545527
3072 2.25 0.0146401184876619 0.0146401184876619 0.0146401184876619
3584 2.625 0.0126065757573102 0.0126065757573102 0.0126065757573102
4096 3 0.0106044923221415 0.0106044923221415 0.0106044923221415
4608 3.375 0.00863271383766828 0.00863271383766825 0.00863271383766825
5120 3.75 0.0068793063390485 0.00687930633855041 0.00687930633805186
5632 4.125 0.00533710546077267 0.00533710546016988 0.00533710545956644
6144 4.5 0.00369445026181447 0.00369445026111978 0.0036944502604247
6656 4.875 0.00198365164164008 0.00198365164043023 0.00198365163921975
7168 5.25 0.00137833898496867 0.0013783389836671 0.00137833898236483
7680 5.625 0.00136524025227192 0.00136524027607925 0.0013652402998888
8192 6 0.00134452354047816 0.00134452361080348 0.00134452368114009
8704 6.375 0.00131387198103416 0.00131387209427098 0.00131387220752821
9216 6.75 0.00127359047747511 0.00127359047743489 0.00127359046057888
9728 7.125 0.0012428662603875 0.00124286626029754 0.00124286624023432
10240 7.5 0.00119873354647612 0.00119873354631166 0.00119873352307779
10752 7.875 0.00114016297244304 0.00114016297221142 0.00114016294641881
11264 8.25 0.00106663731250511 0.00106663731222379 0.0010666372841016
11776 8.625 0.000977437848019021 0.000977437847538593 0.000977437817745895
12288 9 0.000872249867440209 0.000872249866415972 0.000872249836084199
12800 9.375 0.000750911445068827 0.00075091144293672 0.000750911415968544
13312 9.75 0.000613041535561412 0.000613041531718454 0.00061304151136351
13824 10.125 0.000458468663499381 0.000458468657743855 0.000458468645573626
14336 10.5 0.000287563807687369 0.000287563799976407 0.000287563796887457
14848 10.875 0.000101286544505201 0.000101286537114723 0.000101286542360138
