# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.375 -0.00363710261022471 -0.00363710261022471 -0.00363710261022471
1024 0.75 -0.00714089762279462 -0.00714089762279462 -0.00714089762279462
1536 1.125 -0.0106259309848747 -0.0106259309848747 -0.010625930984858
2048 1.5 -0.0140654473780282 -0.0140654473780282 -0.0140654473780282
2560 1.875 -0.0175603079330511 -0.0175603079330511 -0.0175603079330511
3072 2.25 -0.0210636602477252 -0.0210636602477253 -0.0210636602477253
3584 2.625 -0.0245421606689381 -0.0245421606689383 -0.0245421606689382
4096 3 -0.0279898798777356 -0.0279898798777357 -0.0279898798777358
4608 3.375 -0.0314018808135372 -0.0314018808135382 -0.0314018808135379
5120 3.75 -0.0347722602935634 -0.0347722602935664 -0.0347722602935658
5632 4.125 -0.0380937006533629 -0.0380937006533679 -0.0380937006533646
6144 4.5 -0.0413589073784091 -0.0413589073784291 -0.041358907378397
6656 4.875 -0.044553205087074 -0.0445532050870986 -0.0445532050870279
7168 5.25 -0.0475546596214534 -0.0475546596214505 -0.0475546596213943
7680 5.625 -0.050469434170293 -0.0504694341703133 -0.0504694341703232
8192 6 -0.0532937568094922 -0.0532937568092717 -0.0532937568096539
8704 6.375 -0.0560250825618909 -0.0560250825606776 -0.0560250825625338
9216 6.75 -0.0586605739789984 -0.0586605739768422 -0.058660573980158
9728 7.125 -0.0611978965210329 -0.0611978965193745 -0.0611978965222116
10240 7.5 -0.0636363334487881 -0.0636363334487561 -0.0636363334484034
10752 7.875 -0.0666740489352447 -0.0666740489355932 -0.0666740489357216
11264 8.25 -0.0696574442032812 -0.0696574442042645 -0.0696574442043324
11776 8.625 -0.0725705988701669 -0.0725705988725716 -0.0725705988718791
12288 9 -0.0754119287608973 -0.0754119287640963 -0.0754119287618572
12800 9.375 -0.0781803287913604 -0.0781803287940002 -0.0781803287907386
13312 9.75 -0.0808754040486625 -0.0808754040494199 -0.0808754040475631
13824 10.125 -0.0834964705312875 -0.0834964705293246 -0.0834964705320963
14336 10.5 -0.086042553557181 -0.0860425535518625 -0.0860425535625063
14848 10.875 -0.0885133693167151 -0.0885133693070064 -0.0885133693275349
15360 11.25 -0.0910574856537032 -0.091057485669263 -0.0910574856707376
15872 11.625 -0.0939170928133686 -0.0939170928430343 -0.0939170928390786
16384 12 -0.0967191406960133 -0.096719140737058 -0.0967191407965848
16896 12.375 -0.0994656638644837 -0.0994656630782523 -0.0994656960930317
17408 12.75 -0.1021402126674 -0.102140209103928 -0.102140309281585
17920 13.125 -0.104893958822332 -0.104893963603365 -0.104894086536419
18432 13.5 -0.107793669623619 -0.107793676811615 -0.107793873432936
18944 13.875 -0.110637310395174 -0.110637321122605 -0.11063760474869
19456 14.25 -0.113425271443247 -0.113425287823051 -0.113425670738722
19968 14.625 -0.116157130018068 -0.116157237496852 -0.116157731249316
20480 15 -0.11883212736238 -0.118832438837038 -0.118833054696846
20992 15.375 -0.121450416238547 -0.121451039647078 -0.121451799973173
21504 15.75 -0.124012463611153 -0.124013470581081 -0.124014384273633
22016 16.125 -0.126518763537036 -0.126520140475504 -0.126521190113022
22528 16.5 -0.128969230400737 -0.128971056830827 -0.128972273120433
23040 16.875 -0.131363726558866 -0.131366020905428 -0.131367410334551
23552 17.25 -0.13370169151972 -0.133704430918417 -0.133705992394539
24064 17.625 -0.13598234599688 -0.135985467201985 -0.135987206601754
24576 18 -0.138206159458318 -0.138209606588216 -0.138211536519133
25088 18.375 -0.140431225179503 -0.140430934951197 -0.140430930007029
25600 18.75 -0.143091928535635 -0.143091626725433 -0.143091613167216
26112 19.125 -0.145697622304542 -0.145697314637634 -0.145697295991814
