# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.375 1.00044304103849
1024 0.75 1.00036969665278
1536 1.125 1.00030373032699
2048 1.5 1.00024501955369
2560 1.875 1.00026299776328
3072 2.25 1.0003740686712
3584 2.625 1.00050245496224
4096 3 1.0006470713968
4608 3.375 1.00080699830763
5120 3.75 1.00098114593371
5632 4.125 1.00116829021656
6144 4.5 1.00136689717274
6656 4.875 1.00158090355163
7168 5.25 1.00180698886803
7680 5.625 1.00204125949402
8192 6 1.00228294901775
8704 6.375 1.002556217211
9216 6.75 1.00283759045467
9728 7.125 1.00312552726766
10240 7.5 1.00341854572149
10752 7.875 1.00371518770707
11264 8.25 1.00402234280409
11776 8.625 1.00435162689019
12288 9 1.00468378750798
12800 9.375 1.00501759816815
13312 9.75 1.00535180147395
13824 10.125 1.00568517114678
14336 10.5 1.00601644816688
14848 10.875 1.00634443168853
15360 11.25 1.00666803027828
15872 11.625 1.00713350438002
16384 12 1.0076078491874
16896 12.375 1.00808445764735
17408 12.75 1.00855975678393
17920 13.125 1.00903025291105
18432 13.5 1.00948774087846
18944 13.875 1.00992256062432
19456 14.25 1.01032774030607
19968 14.625 1.01072898022834
20480 15 1.01132272123203
20992 15.375 1.01192088447453
21504 15.75 1.01252066997779
22016 16.125 1.013118966127
22528 16.5 1.01371195437771
23040 16.875 1.01429614656677
23552 17.25 1.01486856800634
24064 17.625 1.01542670819129
24576 18 1.01596627840322
25088 18.375 1.01648187329065
25600 18.75 1.01697209204773
26112 19.125 1.01743687879148
26624 19.5 1.01787764319109
27136 19.875 1.01829580124525
27648 20.25 1.01869252826972
28160 20.625 1.01906855498381
28672 21 1.01942375479014
29184 21.375 1.01975759586723
29696 21.75 1.020069742841
30208 22.125 1.0203593568331
30720 22.5 1.02063937774651
31232 22.875 1.02119845311242
31744 23.25 1.02175510852954
32256 23.625 1.02230912295294
32768 24 1.0228603626896
33280 24.375 1.02340872008498
33792 24.75 1.02395393720599
34304 25.125 1.02449547046891
34816 25.5 1.02503266794118
35328 25.875 1.0255644995884
35840 26.25 1.02609632959881
36352 26.625 1.02663171782574
36864 27 1.02716050167478
37376 27.375 1.02768157215253
37888 27.75 1.02819366280202
38400 28.125 1.02869518305223
38912 28.5 1.02919476991519
39424 28.875 1.0296695662366
39936 29.25 1.03014129977118
40448 29.625 1.03060152685263
40960 30 1.03104928089597
41472 30.375 1.03148345459037
41984 30.75 1.03207258976412
42496 31.125 1.0327052739427
43008 31.5 1.03333747915535
43520 31.875 1.03396962009611
44032 32.25 1.03460199467148
44544 32.625 1.03523475047969
45056 33 1.03586786552418
45568 33.375 1.0365008841927
46080 33.75 1.03713303169262
46592 34.125 1.03776328020064
47104 34.5 1.03839054221003
47616 34.875 1.03901389701752
48128 35.25 1.0396308025322
48640 35.625 1.04023820097244
49152 36 1.04083442817478
49664 36.375 1.04141869327404
50176 36.75 1.04199082569732
50688 37.125 1.04255088353776
51200 37.5 1.04310042334281
51712 37.875 1.04364179420094
