# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000105895146736229
512 0.375 -0.000111184678018068
1024 0.75 -0.000121407168179977
1536 1.125 -0.000126457659672955
2048 1.5 -0.000119370419649177
2560 1.875 -0.00011563414162955
3072 2.25 -0.000122927852371504
3584 2.625 -0.000140934678899803
4096 3 -0.000134469879378269
4608 3.375 -0.000131506168724655
5120 3.75 -0.000136474517606899
5632 4.125 -0.000147805334359467
6144 4.5 -0.000144020203496544
6656 4.875 -0.000144331935983203
7168 5.25 -0.000149618264179833
7680 5.625 -0.00015896469821907
8192 6 -0.000173808241998741
8704 6.375 -0.000190342231601663
9216 6.75 -0.000204611165214432
9728 7.125 -0.000214452832370744
10240 7.5 -0.00022074965753996
10752 7.875 -0.000226204870015586
11264 8.25 -0.000234295626351213
11776 8.625 -0.000249504103884097
12288 9 -0.000271687662446328
12800 9.375 -0.000297730756895599
13312 9.75 -0.000323722712361815
13824 10.125 -0.0003494605342972
14336 10.5 -0.000380029318025999
14848 10.875 -0.000417862480855572
15360 11.25 -0.000458575733214132
15872 11.625 -0.000494302473032382
16384 12 -0.000522411465170881
16896 12.375 -0.000548094997712821
17408 12.75 -0.00057566923497776
17920 13.125 -0.000600701599143367
18432 13.5 -0.000616626443919842
18944 13.875 -0.00062807726177482
19456 14.25 -0.000646748132516821
19968 14.625 -0.00067359025096421
20480 15 -0.00069465656941302
20992 15.375 -0.000700487869835557
21504 15.75 -0.000702406996911695
22016 16.125 -0.000719935361530331
22528 16.5 -0.000754908774898219
23040 16.875 -0.000788681580800257
23552 17.25 -0.000806552006730655
24064 17.625 -0.000815694329513434
24576 18 -0.00083405214486074
25088 18.375 -0.000868116676038819
25600 18.75 -0.000908605343261251
26112 19.125 -0.00094445367610044
26624 19.5 -0.000974315159827014
27136 19.875 -0.00100242547510952
27648 20.25 -0.00102958164414879
28160 20.625 -0.0010544045735049
28672 21 -0.00108038121257248
29184 21.375 -0.00111433504420311
29696 21.75 -0.00115529880890104
30208 22.125 -0.00119061737698079
30720 22.5 -0.00120915290896934
31232 22.875 -0.00121764855233771
31744 23.25 -0.00123493141361892
32256 23.625 -0.00126975492582272
32768 24 -0.00130989488983182
33280 24.375 -0.00133670796148871
33792 24.75 -0.00134662097074161
34304 25.125 -0.00135356235045186
34816 25.5 -0.00137196664404318
35328 25.875 -0.00140242803282618
35840 26.25 -0.0014346455422108
36352 26.625 -0.00145993562159139
36864 27 -0.00147792470538009
37376 27.375 -0.00149367301828704
37888 27.75 -0.00151257189165446
38400 28.125 -0.00153802453496227
38912 28.5 -0.00157006324269098
39424 28.875 -0.00160394985999941
39936 29.25 -0.00163252102752588
40448 29.625 -0.0016531310804804
40960 30 -0.00167174450626329
41472 30.375 -0.00169718741962763
41984 30.75 -0.0017308289723732
42496 31.125 -0.00176469245931456
43008 31.5 -0.0017910746472219
43520 31.875 -0.00181127887762802
44032 32.25 -0.00183235476436479
44544 32.625 -0.00185750910184123
45056 33 -0.00188377700860229
45568 33.375 -0.00190849781223187
46080 33.75 -0.00193321354332896
46592 34.125 -0.00195944055049201
47104 34.5 -0.00198472496606665
47616 34.875 -0.00200653960129538
48128 35.25 -0.00202772548976443
48640 35.625 -0.00205351466678974
49152 36 -0.00208350611904292
49664 36.375 -0.00211117898911758
50176 36.75 -0.0021329325303956
50688 37.125 -0.00215364477139208
51200 37.5 -0.00217996425001499
51712 37.875 -0.00221073587533396
52224 38.25 -0.00223869968258274
52736 38.625 -0.00226101709885967
53248 39 -0.00228293405705052
53760 39.375 -0.00230930592223886
54272 39.75 -0.00233724546397723
54784 40.125 -0.00236125792123586
55296 40.5 -0.00238244425341814
55808 40.875 -0.00240670263869268
56320 41.25 -0.00243460155579138
56832 41.625 -0.00245964218849754
57344 42 -0.00247844007164212
57856 42.375 -0.00249661917921157
58368 42.75 -0.0025206720876097
58880 43.125 -0.00254858603769683
59392 43.5 -0.00257346849920569
59904 43.875 -0.00259328598904109
60416 44.25 -0.00261185541852341
60928 44.625 -0.00263226069054453
61440 45 -0.00265426799893643
61952 45.375 -0.00267710677595918
62464 45.75 -0.00270036422666159
62976 46.125 -0.00272268945392818
63488 46.5 -0.0027431192942592
64000 46.875 -0.00276309124654763
64512 47.25 -0.00278443547241616
65024 47.625 -0.00280647417544531
65536 48 -0.00282770076826105
66048 48.375 -0.00284868535747925
66560 48.75 -0.00287029263757283
67072 49.125 -0.00289074810679222
67584 49.5 -0.00290827700502309
68096 49.875 -0.00292549212654715
68608 50.25 -0.00294662320491253
69120 50.625 -0.00297047358552556
69632 51 -0.00299110995484843
70144 51.375 -0.00300683594581737
70656 51.75 -0.00302335971111354
71168 52.125 -0.00304515226542197
71680 52.5 -0.00306845484083082
72192 52.875 -0.00308740016934967
72704 53.25 -0.00310316208760566
73216 53.625 -0.00312117511706354
73728 54 -0.00314194747895188
74240 54.375 -0.00316133757211398
74752 54.75 -0.00317862715083511
75264 55.125 -0.00319722554982679
75776 55.5 -0.00321741697824965
76288 55.875 -0.00323555471552992
76800 56.25 -0.00325146584016222
77312 56.625 -0.00326960655132987
77824 57 -0.00329087288795154
78336 57.375 -0.0033100304023345
78848 57.75 -0.00332419218744684
79360 58.125 -0.00333772872552339
79872 58.5 -0.00335525820272446
80384 58.875 -0.00337499527903012
80896 59.25 -0.00339258131724337
81408 59.625 -0.00340704239201504
81920 60 -0.00341987030181595
82432 60.375 -0.0034323527953862
82944 60.75 -0.00344636027652908
83456 61.125 -0.00346351432152829
83968 61.5 -0.00348132519045228
84480 61.875 -0.00349466923081703
84992 62.25 -0.00350326137762735
85504 62.625 -0.00351278509654123
86016 63 -0.00352642407795545
86528 63.375 -0.00354060083442301
87040 63.75 -0.00355198834948998
87552 64.125 -0.0035641769338114
88064 64.5 -0.0035802674331813
88576 64.875 -0.00359719510817721
89088 65.25 -0.003611617343521
89600 65.625 -0.00362744557384524
90112 66 -0.00365105511041168
90624 66.375 -0.00368069367228855
91136 66.75 -0.00370755291921274
91648 67.125 -0.0037280047948715
92160 67.5 -0.00374893983026974
92672 67.875 -0.00377845317832574
93184 68.25 -0.00381526185309646
93696 68.625 -0.00385091575442667
94208 69 -0.00388064326880088
94720 69.375 -0.00390841087356988
95232 69.75 -0.003941037730355
95744 70.125 -0.00397991396064828
96256 70.5 -0.00402013307816249
96768 70.875 -0.00405689048536747
97280 71.25 -0.00409089761710947
97792 71.625 -0.00412668435501085
98304 72 -0.00416650213618479
98816 72.375 -0.00420776563461417
99328 72.75 -0.00424718452874209
99840 73.125 -0.00428565044343103
100352 73.5 -0.00432677134863092
100864 73.875 -0.00437108706453782
101376 74.25 -0.00441470988691647
101888 74.625 -0.00445351192178802
102400 75 -0.00448997212492451
102912 75.375 -0.00452898134241698
103424 75.75 -0.00457053203007019
103936 76.125 -0.00460990888746104
104448 76.5 -0.0046445880848405
104960 76.875 -0.00467793334950475
105472 77.25 -0.00471452424846392
105984 77.625 -0.00475377587762511
106496 78 -0.00479097785531076
107008 78.375 -0.00482408884163209
107520 78.75 -0.00485642115648607
108032 79.125 -0.00489169855130042
108544 79.5 -0.00492890047937947
109056 79.875 -0.00496308847032369
109568 80.25 -0.00499299606947747
110080 80.625 -0.00502107317395417
110592 81 -0.00504939578607685
111104 81.375 -0.00507733724888212
111616 81.75 -0.00510362098551462
112128 82.125 -0.00512947061063065
112640 82.5 -0.00515617759186771
113152 82.875 -0.00518300769571292
113664 83.25 -0.00520803888671338
114176 83.625 -0.00523137569976431
114688 84 -0.00525568400482243
115200 84.375 -0.00528274722265337
115712 84.75 -0.0053109252772202
116224 85.125 -0.00533718818525056
116736 85.5 -0.00536076724653243
117248 85.875 -0.00538363885778818
117760 86.25 -0.00540794307804524
118272 86.625 -0.00543399169459479
118784 87 -0.00546058377844543
119296 87.375 -0.00548639026371771
119808 87.75 -0.00551087448750476
120320 88.125 -0.00553420198179679
120832 88.5 -0.00555656808090997
121344 88.875 -0.00557815337559729
121856 89.25 -0.00559991212774597
122368 89.625 -0.00562322678723122
122880 90 -0.0056476312973175
123392 90.375 -0.00566997393372162
123904 90.75 -0.00568780857728667
124416 91.125 -0.00570313424868388
124928 91.5 -0.00572055261253345
125440 91.875 -0.00574157486365013
125952 92.25 -0.00576277758602663
126464 92.625 -0.00578008354151888
126976 93 -0.00579314283349806
127488 93.375 -0.00580485272126187
128000 93.75 -0.00581797934740836
128512 94.125 -0.00583279388890099
129024 94.5 -0.00584782519136613
129536 94.875 -0.0058608266944053
130048 95.25 -0.0058703947105774
130560 95.625 -0.00587716406368135
131072 96 -0.00588328050526935
131584 96.375 -0.00589061255401455
132096 96.75 -0.00589952563051217
132608 97.125 -0.00590903033260315
133120 97.5 -0.00591765963823717
133632 97.875 -0.00592436858714706
134144 98.25 -0.00592921492413776
134656 98.625 -0.00593349471800765
135168 99 -0.00593913980250622
135680 99.375 -0.005947561137365
136192 99.75 -0.00595844239476268
136704 100.125 -0.00596958166866604
137216 100.5 -0.00597873602856189
137728 100.875 -0.00598606826804262
138240 101.25 -0.00599400997623752
138752 101.625 -0.00600429272382823
139264 102 -0.00601615756565267
139776 102.375 -0.00602806915360882
140288 102.75 -0.00603985045739127
140800 103.125 -0.00605206124066442
141312 103.5 -0.00606439416000662
141824 103.875 -0.00607598956780173
142336 104.25 -0.0060868157223744
142848 104.625 -0.00609788624599339
143360 105 -0.00611031703263689
143872 105.375 -0.00612419356020039
144384 105.75 -0.00613786009519589
144896 106.125 -0.00614897757393007
145408 106.5 -0.00615744799362267
145920 106.875 -0.00616636279327962
146432 107.25 -0.00617823328138759
146944 107.625 -0.00619120207780774
147456 108 -0.0062014475471934
147968 108.375 -0.00620871783204111
148480 108.75 -0.00621646404785288
148992 109.125 -0.00622648322441498
149504 109.5 -0.0062366521012963
150016 109.875 -0.00624487905228308
150528 110.25 -0.00625244597286493
151040 110.625 -0.00626168922836663
151552 111 -0.00627224020283613
152064 111.375 -0.00628160738499953
152576 111.75 -0.00628885456499592
153088 112.125 -0.00629610946762241
153600 112.5 -0.00630611147224967
154112 112.875 -0.00631887615727997
154624 113.25 -0.00633136898824473
155136 113.625 -0.00634086873336734
155648 114 -0.00634792578542019
156160 114.375 -0.00635599552697973
156672 114.75 -0.00636737231924323
157184 115.125 -0.00637971728964936
157696 115.5 -0.00638908317009791
158208 115.875 -0.00639506938449699
158720 116.25 -0.00640135864676554
159232 116.625 -0.00641082612145074
159744 117 -0.00642178529273101
