# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.29292080599691e-06
512 0.375 7.71692853860834e-06
1024 0.75 1.15103068710303e-05
1536 1.125 1.43104315599138e-05
2048 1.5 1.6483066491535e-05
2560 1.875 1.80699629490292e-05
3072 2.25 1.90491271689553e-05
3584 2.625 1.94695296989327e-05
4096 3 1.94037871346956e-05
4608 3.375 1.92092302736645e-05
5120 3.75 1.91083171953674e-05
5632 4.125 1.92440119577742e-05
6144 4.5 1.97205261598334e-05
6656 4.875 2.02405993806797e-05
7168 5.25 2.06684544284363e-05
7680 5.625 2.09223800959403e-05
8192 6 2.0975966390936e-05
8704 6.375 2.08902047246362e-05
9216 6.75 2.07134640894415e-05
9728 7.125 2.06378581004084e-05
10240 7.5 2.07198528420841e-05
10752 7.875 2.09919737741693e-05
11264 8.25 2.13469563860344e-05
11776 8.625 2.1587805389297e-05
12288 9 2.16909937965998e-05
12800 9.375 2.17145017489867e-05
13312 9.75 2.16836453770008e-05
13824 10.125 2.15960351664558e-05
14336 10.5 2.15808387334324e-05
14848 10.875 2.17109088117988e-05
15360 11.25 2.19780262420313e-05
15872 11.625 2.22510233466061e-05
16384 12 2.23551193527943e-05
16896 12.375 2.23854317281583e-05
17408 12.75 2.24319006523208e-05
17920 13.125 2.24912703586779e-05
18432 13.5 2.2498228748555e-05
18944 13.875 2.24838193213667e-05
19456 14.25 2.26143228071926e-05
19968 14.625 2.28594664992539e-05
20480 15 2.30874055275504e-05
20992 15.375 2.31694663927662e-05
21504 15.75 2.31841965164134e-05
22016 16.125 2.32204742768978e-05
22528 16.5 2.32981478377903e-05
23040 16.875 2.33681909923094e-05
23552 17.25 2.33995248566414e-05
24064 17.625 2.3484500612477e-05
24576 18 2.36942670844277e-05
25088 18.375 2.39103425968715e-05
25600 18.75 2.40018702338203e-05
26112 19.125 2.40083962448363e-05
26624 19.5 2.40853559556835e-05
27136 19.875 2.425300679166e-05
27648 20.25 2.43747137240899e-05
28160 20.625 2.44385893588054e-05
28672 21 2.45280903686193e-05
29184 21.375 2.46916548747056e-05
29696 21.75 2.48409440880542e-05
30208 22.125 2.49149956741131e-05
30720 22.5 2.49856032256354e-05
31232 22.875 2.51145655232299e-05
31744 23.25 2.52882051535975e-05
32256 23.625 2.54520585912778e-05
32768 24 2.55684479556896e-05
33280 24.375 2.56416067618494e-05
33792 24.75 2.57739530192533e-05
34304 25.125 2.59039753758548e-05
34816 25.5 2.599471079934e-05
35328 25.875 2.60619652737769e-05
35840 26.25 2.61782007837446e-05
36352 26.625 2.63013666373188e-05
36864 27 2.64643826493461e-05
37376 27.375 2.66169986046978e-05
37888 27.75 2.67293911161601e-05
38400 28.125 2.68244967508485e-05
38912 28.5 2.69344128359153e-05
39424 28.875 2.70616440624592e-05
39936 29.25 2.71865440211468e-05
40448 29.625 2.7323021443938e-05
40960 30 2.74383287571182e-05
41472 30.375 2.75422543596217e-05
41984 30.75 2.76441041344512e-05
42496 31.125 2.77562060004376e-05
43008 31.5 2.78719115800071e-05
43520 31.875 2.79755862891545e-05
44032 32.25 2.8109269893027e-05
44544 32.625 2.82603943764771e-05
45056 33 2.84324311365727e-05
45568 33.375 2.85819438911252e-05
46080 33.75 2.87456287156583e-05
46592 34.125 2.89198737646549e-05
47104 34.5 2.90693190803797e-05
47616 34.875 2.9199379195948e-05
48128 35.25 2.92805661473935e-05
48640 35.625 2.93868128604183e-05
49152 36 2.95216719693812e-05
49664 36.375 2.96594432691941e-05
50176 36.75 2.97694527759909e-05
50688 37.125 2.98833540184156e-05
51200 37.5 3.00408447541713e-05
51712 37.875 3.02156072985676e-05
52224 38.25 3.03497529556744e-05
52736 38.625 3.04663814641719e-05
53248 39 3.05883930506482e-05
53760 39.375 3.07564787173466e-05
54272 39.75 3.0921088486169e-05
54784 40.125 3.10573450136819e-05
55296 40.5 3.11875116895801e-05
55808 40.875 3.13026243071986e-05
56320 41.25 3.1411922034353e-05
