# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 1.49353804545667e-05 1.49353804545755e-05 1.49353804545722e-05
1024 0.75 1.72357439920777e-05 1.72357439920831e-05 1.7235743992078e-05
1536 1.125 1.4738933240362e-05 1.4738933240364e-05 1.47389332403543e-05
2048 1.5 1.0969227634882e-05 1.09692276346749e-05 1.09692276378377e-05
2560 1.875 1.59668279661087e-05 1.59668279661296e-05 1.59668279663736e-05
3072 2.25 2.22924466568971e-05 2.2292446656944e-05 2.22924466574807e-05
3584 2.625 1.49340644781522e-05 1.49340644781386e-05 1.49340644782229e-05
4096 3 2.67708931208108e-05 2.67708931210743e-05 2.67708931206856e-05
4608 3.375 2.56311957874212e-05 2.56311957872832e-05 2.56311957860003e-05
5120 3.75 1.54288877294122e-05 1.54288877265849e-05 1.5428887713821e-05
5632 4.125 1.2040630444251e-05 1.20406304383566e-05 1.20406304341223e-05
6144 4.5 1.68361763473376e-05 1.68361766201836e-05 1.68361763434781e-05
6656 4.875 1.84485528956916e-05 1.8448553235011e-05 1.84485528238864e-05
7168 5.25 1.69628732293642e-05 1.69628732293014e-05 1.69628732291672e-05
7680 5.625 1.75182650868178e-05 1.75182650868141e-05 1.75182650866837e-05
8192 6 2.71404077464521e-05 2.71404077665096e-05 2.71404078886229e-05
8704 6.375 2.56392879232498e-05 2.5639288212848e-05 2.5639288181397e-05
9216 6.75 1.93148711157599e-05 1.9314869829811e-05 1.931487081807e-05
9728 7.125 2.09785713356781e-05 2.09785683777794e-05 2.09785713796211e-05
10240 7.5 1.14205236185388e-05 1.14205276772021e-05 1.14205248235049e-05
10752 7.875 2.452230603441e-05 2.45223171574355e-05 2.45223087106885e-05
11264 8.25 1.83153310292588e-05 1.83153392555432e-05 1.83153367850503e-05
11776 8.625 1.82671654892611e-05 1.82671745947972e-05 1.8267172293525e-05
12288 9 1.61717138897561e-05 1.61717139286677e-05 1.61717139687728e-05
12800 9.375 2.28051392712277e-05 2.28051272242562e-05 2.28051320503903e-05
13312 9.75 2.31342344709136e-05 2.31342344265076e-05 2.31342343824311e-05
13824 10.125 2.29699325942812e-05 2.29699325173582e-05 2.29699324374434e-05
14336 10.5 2.31869222331821e-05 2.31869222087749e-05 2.31869221827339e-05
14848 10.875 2.3314984664521e-05 2.33149847309628e-05 2.33149848063534e-05
15360 11.25 2.66471285295465e-05 2.66471284609982e-05 2.66471282995089e-05
15872 11.625 3.00043332801843e-05 3.00043331315756e-05 3.00043330169576e-05
16384 12 2.63071028580443e-05 2.63071029131674e-05 2.63071029148118e-05
16896 12.375 2.9908770518771e-05 2.99087704853041e-05 2.99087704828913e-05
17408 12.75 3.38448746861229e-05 3.38448745213867e-05 3.38448743654013e-05
17920 13.125 4.12654047106689e-05 4.12654050145959e-05 4.12654055195356e-05
18432 13.5 5.04716491508496e-05 5.04716492548901e-05 5.04716496952029e-05
18944 13.875 5.26346178816823e-05 5.26346175994046e-05 5.26346174138093e-05
19456 14.25 4.66317054527136e-05 4.66317050434087e-05 4.66317040792721e-05
19968 14.625 3.64186079748926e-05 3.64186078275083e-05 3.64186069538438e-05
20480 15 2.78094678111113e-05 2.78094682040497e-05 2.78094691016984e-05
20992 15.375 2.56406424791087e-05 2.56406417685791e-05 2.56406384935493e-05
21504 15.75 2.73089757331568e-05 2.73089753493839e-05 2.73089744380274e-05
22016 16.125 3.50384455771751e-05 3.50384552159134e-05 3.50384583415239e-05
22528 16.5 4.13655063710366e-05 4.13655148589593e-05 4.13655135150393e-05
23040 16.875 3.73480515751633e-05 3.73480479057273e-05 3.73480402964682e-05
