# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 5.60225128724281e-07 5.60225128438605e-07 5.60225127986475e-07
1024 0.75 7.98456177073321e-07 7.98456177884337e-07 7.98456179131149e-07
1536 1.125 1.0759633771101e-06 1.07596337695386e-06 1.07596337656745e-06
2048 1.5 1.3895521207994e-06 1.38955212072195e-06 1.38955211966089e-06
2560 1.875 1.83986587342754e-06 1.83986587356482e-06 1.83986587447546e-06
3072 2.25 2.20594337696664e-06 2.20594337783015e-06 2.20594337648197e-06
3584 2.625 2.40326287758495e-06 2.40326287747727e-06 2.40326287757226e-06
4096 3 2.45830977758396e-06 2.45830977823951e-06 2.45830977985064e-06
4608 3.375 2.3979789233883e-06 2.39797893585651e-06 2.39797894221354e-06
5120 3.75 2.36008329661411e-06 2.36008330717414e-06 2.36008331502197e-06
5632 4.125 2.40851047372374e-06 2.40851047897335e-06 2.40851048520553e-06
6144 4.5 2.50542860603565e-06 2.50542858085196e-06 2.50542859798978e-06
6656 4.875 2.58329874357004e-06 2.58329875485568e-06 2.58329876139341e-06
7168 5.25 2.6040976689426e-06 2.60409766669234e-06 2.60409768879821e-06
7680 5.625 2.57675318267256e-06 2.57675318083809e-06 2.57675322407217e-06
8192 6 2.5382503290889e-06 2.53825035226408e-06 2.5382504023981e-06
8704 6.375 2.51775720041223e-06 2.51775722250368e-06 2.51775719126982e-06
9216 6.75 2.51084463081779e-06 2.51084460932085e-06 2.510844575433e-06
9728 7.125 2.51116669567266e-06 2.51116660680801e-06 2.51116664895182e-06
10240 7.5 2.50442925852904e-06 2.50442922569117e-06 2.50442931899513e-06
10752 7.875 2.48277720650799e-06 2.48277718369813e-06 2.48277715826566e-06
11264 8.25 2.46943053919834e-06 2.46943059319166e-06 2.4694305906321e-06
11776 8.625 2.44361816528773e-06 2.44361815174862e-06 2.44361827463148e-06
12288 9 2.40892371689727e-06 2.40892380424591e-06 2.40892379754794e-06
12800 9.375 2.38013454970524e-06 2.38013469657303e-06 2.38013452817565e-06
13312 9.75 2.33810194643498e-06 2.33810200988829e-06 2.33810193705061e-06
13824 10.125 2.27862786930837e-06 2.27862797859168e-06 2.27862796974556e-06
14336 10.5 2.22752629326679e-06 2.2275264017884e-06 2.22752641370191e-06
14848 10.875 2.19497630986905e-06 2.19497634012113e-06 2.1949765115165e-06
15360 11.25 2.16736463147979e-06 2.16736474253322e-06 2.16736480470137e-06
15872 11.625 2.13975219420694e-06 2.13975207651563e-06 2.1397521361224e-06
16384 12 2.10529090848016e-06 2.10529067996709e-06 2.10529064049019e-06
16896 12.375 2.07162753013892e-06 2.07162763977318e-06 2.0716276223226e-06
17408 12.75 2.05149248749472e-06 2.05149290500712e-06 2.05149305378881e-06
17920 13.125 2.03183271308748e-06 2.03183275646923e-06 2.0318333002128e-06
18432 13.5 2.00640186465535e-06 2.00640186301976e-06 2.00640232157635e-06
18944 13.875 1.98130232040259e-06 1.98130241869619e-06 1.98130255644276e-06
19456 14.25 1.96083733468492e-06 1.96083757375314e-06 1.96083740271184e-06
19968 14.625 1.9220287414165e-06 1.92202895252254e-06 1.92202856247001e-06
20480 15 1.90250150578452e-06 1.90250105231867e-06 1.90250054423767e-06
20992 15.375 1.91536835665707e-06 1.91536742686084e-06 1.91536710002272e-06
21504 15.75 1.92256619695912e-06 1.92256564233008e-06 1.92256514841561e-06
22016 16.125 1.90432416061498e-06 1.9043240601237e-06 1.90432310202813e-06
22528 16.5 1.8932837998124e-06 1.89328390562155e-06 1.89328366090603e-06
23040 16.875 1.92008257549853e-06 1.92008305451671e-06 1.9200842230598e-06
23552 17.25 1.97610146706696e-06 1.97610241580793e-06 1.97610442795181e-06
24064 17.625 2.07008931302783e-06 2.07009008120348e-06 2.07009216865295e-06
24576 18 2.18691621861614e-06 2.18691660229421e-06 2.18691849542394e-06
25088 18.375 2.27019263445583e-06 2.27019326872672e-06 2.27019459224733e-06
25600 18.75 2.3124749828756e-06 2.3124751091127e-06 2.31247503338567e-06
26112 19.125 2.34073881678098e-06 2.3407383446081e-06 2.34073731948737e-06
26624 19.5 2.37301257572673e-06 2.37301146014986e-06 2.37301026964212e-06
27136 19.875 2.42873360848285e-06 2.4287323773489e-06 2.42873118579295e-06
27648 20.25 2.48094897618521e-06 2.48094843949846e-06 2.4809471727817e-06
28160 20.625 2.5116659641813e-06 2.51166499186297e-06 2.51166542544213e-06
28672 21 2.546707865448e-06 2.54670572276788e-06 2.5467086511535e-06
29184 21.375 2.57023522632079e-06 2.57023351525102e-06 2.57023675827459e-06
29696 21.75 2.58162016627315e-06 2.58161980390341e-06 2.58162105335716e-06
30208 22.125 2.57352707089121e-06 2.57352797287413e-06 2.57352692597652e-06
30720 22.5 2.5520930290454e-06 2.55209426335572e-06 2.55209241863519e-06
31232 22.875 2.5096959317182e-06 2.50969600805719e-06 2.50969651080737e-06
31744 23.25 2.45130432168283e-06 2.45130352468165e-06 2.45130717351056e-06
32256 23.625 2.39734959298511e-06 2.39734917615599e-06 2.39735320453207e-06
32768 24 2.34454957984565e-06 2.34454873186219e-06 2.34455139987346e-06
33280 24.375 2.30704689007901e-06 2.3070434723654e-06 2.30704481619485e-06
33792 24.75 2.27911683328781e-06 2.27911086530444e-06 2.2791099937508e-06
34304 25.125 2.26125672994997e-06 2.26124943430099e-06 2.26124673621066e-06
34816 25.5 2.25778104307529e-06 2.25777450750063e-06 2.25777347583357e-06
35328 25.875 2.24666907613701e-06 2.24666481188154e-06 2.24666839843042e-06
35840 26.25 2.22359511290701e-06 2.22359424537776e-06 2.2235990846075e-06
36352 26.625 2.18712755461775e-06 2.18712862406338e-06 2.18713038324058e-06
36864 27 2.13636645033267e-06 2.13636576317292e-06 2.13636655502822e-06
37376 27.375 2.08958882411249e-06 2.08958378737286e-06 2.0895857547689e-06
37888 27.75 2.0640547074003e-06 2.06404676159831e-06 2.06404910268654e-06
38400 28.125 2.05999514515212e-06 2.05998754207095e-06 2.05999036408705e-06
38912 28.5 2.08052827293574e-06 2.08052421154645e-06 2.08052554943159e-06
39424 28.875 2.12115863471715e-06 2.12115815679462e-06 2.12115643595682e-06
39936 29.25 2.18200354569985e-06 2.18200438356166e-06 2.18200223404691e-06
40448 29.625 2.25961614011745e-06 2.25961600671741e-06 2.25961675750894e-06
40960 30 2.34125205799344e-06 2.34124685488285e-06 2.34125184967752e-06
41472 30.375 2.41264034955369e-06 2.41262883613987e-06 2.41263901019622e-06
41984 30.75 2.44060415915761e-06 2.44058970033512e-06 2.44060332360879e-06
42496 31.125 2.43081282316393e-06 2.43080115979816e-06 2.4308103562598e-06
43008 31.5 2.41812140153967e-06 2.41811623175778e-06 2.41811549834998e-06
43520 31.875 2.41207975850806e-06 2.41207813011579e-06 2.41206642133889e-06
44032 32.25 2.41316344586814e-06 2.41316238919532e-06 2.41314128624049e-06
44544 32.625 2.42822258143393e-06 2.42821535528858e-06 2.42819228745012e-06
45056 33 2.45138096399201e-06 2.45136384035844e-06 2.45135049794488e-06
45568 33.375 2.46470467829134e-06 2.46468308421424e-06 2.46468389713527e-06
46080 33.75 2.4508208378469e-06 2.4507948465625e-06 2.45081044588375e-06
46592 34.125 2.42488182190697e-06 2.42484171913852e-06 2.42487004494789e-06
47104 34.5 2.40975038991622e-06 2.40969214283534e-06 2.40973478840246e-06
47616 34.875 2.40335755595449e-06 2.40328258867668e-06 2.40333702685427e-06
48128 35.25 2.40524852081646e-06 2.40514948674697e-06 2.40522083602754e-06
48640 35.625 2.40620685671014e-06 2.40608137003554e-06 2.40617645074036e-06
49152 36 2.39839122922362e-06 2.39825007480215e-06 2.39835502965362e-06
49664 36.375 2.37735455264125e-06 2.37719277422754e-06 2.37729876545161e-06
50176 36.75 2.33348945186002e-06 2.33330467628471e-06 2.33342098420489e-06
50688 37.125 2.28240558873465e-06 2.28222824746488e-06 2.28234784155912e-06
