# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 1.49353804545667e-05 1.49353804545755e-05 1.49353804545722e-05
1024 0.75 1.72357439920777e-05 1.72357439920831e-05 1.7235743992078e-05
1536 1.125 2.00061201127626e-05 2.00061201127593e-05 2.0006120112756e-05
2048 1.5 2.4908274816097e-05 2.4908274816094e-05 2.4908274816091e-05
2560 1.875 2.75008726510319e-05 2.75008726510356e-05 2.75008726510343e-05
3072 2.25 2.7392424336215e-05 2.7392424336215e-05 2.73924243362158e-05
3584 2.625 2.73849325364425e-05 2.73849325364375e-05 2.73849325364613e-05
4096 3 2.97802323028758e-05 2.97802323028646e-05 2.97802323028549e-05
4608 3.375 3.11049074942201e-05 3.11049074942423e-05 3.11049074941208e-05
5120 3.75 3.80630065001618e-05 3.80630065001951e-05 3.80630065002376e-05
5632 4.125 4.51250923029072e-05 4.51250923029499e-05 4.51250923031099e-05
6144 4.5 4.9083729452408e-05 4.90837294524486e-05 4.90837294527939e-05
6656 4.875 4.98048416927687e-05 4.98048416926399e-05 4.98048416926933e-05
7168 5.25 4.80000140606804e-05 4.80000140604082e-05 4.80000140600095e-05
7680 5.625 4.55269029543787e-05 4.55269029540332e-05 4.55269029538716e-05
8192 6 4.23263116681436e-05 4.23263116676447e-05 4.23263116669843e-05
8704 6.375 3.86156719724844e-05 3.86156719716115e-05 3.8615671971001e-05
9216 6.75 3.50990680808252e-05 3.5099068081053e-05 3.50990680823239e-05
9728 7.125 3.39559075555135e-05 3.39559075575537e-05 3.39559075606788e-05
10240 7.5 3.1951198668823e-05 3.19512002468858e-05 3.19512001510134e-05
10752 7.875 3.15082334159618e-05 3.15082334136019e-05 3.15082334124523e-05
11264 8.25 4.14172190070229e-05 4.14172078819392e-05 4.14172166316201e-05
11776 8.625 3.02358768768071e-05 3.02358768764367e-05 3.02358768621506e-05
12288 9 3.50701964461118e-05 3.5070196435756e-05 3.50701964260044e-05
12800 9.375 3.39339722727215e-05 3.39339722539033e-05 3.39339722346761e-05
13312 9.75 2.62303098670944e-05 2.62303104669532e-05 2.6230310771263e-05
13824 10.125 2.29699325942812e-05 2.29699325173582e-05 2.29699324374434e-05
14336 10.5 2.86051868796517e-05 2.86051761011385e-05 2.86051778015773e-05
14848 10.875 3.11794162784137e-05 3.11794015069406e-05 3.11793905692117e-05
15360 11.25 2.66471285295465e-05 2.66471284609982e-05 2.66471282995089e-05
15872 11.625 3.00043332801843e-05 3.00043331315756e-05 3.00043330169576e-05
16384 12 2.63071028580443e-05 2.63071029131674e-05 2.63071029148118e-05
16896 12.375 2.9908770518771e-05 2.99087704853041e-05 2.99087704828913e-05
17408 12.75 3.38448746861229e-05 3.38448745213867e-05 3.38448743654013e-05
17920 13.125 4.12654047106689e-05 4.12654050145959e-05 4.12654055195356e-05
18432 13.5 5.04716491508496e-05 5.04716492548901e-05 5.04716496952029e-05
18944 13.875 5.26346178816823e-05 5.26346175994046e-05 5.26346174138093e-05
19456 14.25 4.66317054527136e-05 4.66317050434087e-05 4.66317040792721e-05
19968 14.625 3.64186079748926e-05 3.64186078275083e-05 3.64186069538438e-05
20480 15 2.78094678111113e-05 2.78094682040497e-05 2.78094691016984e-05
20992 15.375 2.56406424791087e-05 2.56406417685791e-05 2.56406384935493e-05
21504 15.75 2.73089757331568e-05 2.73089753493839e-05 2.73089744380274e-05
22016 16.125 3.50384455771751e-05 3.50384552159134e-05 3.50384583415239e-05
22528 16.5 4.13655063710366e-05 4.13655148589593e-05 4.13655135150393e-05
23040 16.875 3.73480515751633e-05 3.73480479057273e-05 3.73480402964682e-05
