# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.25 1.20004326406979e-07 1.20004326406975e-07 1.20004326406971e-07
1024 0.5 5.20454348688736e-07 5.20454348688728e-07 5.20454348688723e-07
1536 0.75 6.90272659928777e-07 6.90272659928788e-07 6.90272659928787e-07
2048 1 9.75805334717141e-07 9.75805334717141e-07 9.75805334717141e-07
2560 1.25 1.74617386413147e-06 1.74617386413147e-06 1.74617386413147e-06
3072 1.5 2.6317295199145e-06 2.6317295199145e-06 2.6317295199145e-06
3584 1.75 3.51070401481852e-06 3.51070401481852e-06 3.51070401481852e-06
4096 2 4.26960097971423e-06 4.26960097971423e-06 4.26960097971423e-06
4608 2.25 4.8262257871553e-06 4.8262257871553e-06 4.8262257871553e-06
5120 2.5 5.1428972938182e-06 5.1428972938182e-06 5.1428972938182e-06
5632 2.75 5.22969613199193e-06 5.22969613199193e-06 5.22969613199193e-06
6144 3 5.8885024659863e-06 5.88850246598629e-06 5.88850246598628e-06
6656 3.25 6.39163563159102e-06 6.39163563158567e-06 6.39163563158566e-06
7168 3.5 6.57209837167177e-06 6.57209838513477e-06 6.57209838513476e-06
7680 3.75 6.48727523464162e-06 6.48727526176131e-06 6.4872752617613e-06
8192 4 6.75217988536656e-06 6.75218031054046e-06 6.75218031047703e-06
8704 4.25 9.65496710329618e-06 9.65496710330136e-06 9.65496710340767e-06
9216 4.5 1.51777138615931e-05 1.51777138615803e-05 1.51777138616426e-05
9728 4.75 2.18609281972243e-05 2.18609281971891e-05 2.18609281970653e-05
10240 5 2.97691823556625e-05 2.97691823556587e-05 2.97691823554976e-05
10752 5.25 3.88443200245243e-05 3.88443200246275e-05 3.88443200247455e-05
11264 5.5 4.88818220661082e-05 4.88818220662227e-05 4.88818220664894e-05
11776 5.75 5.96035693656751e-05 5.96035693656431e-05 5.96035693656732e-05
12288 6 7.08281701671538e-05 7.08281701670247e-05 7.08281701669036e-05
12800 6.25 8.2616736480272e-05 8.26167364802404e-05 8.26167364802167e-05
13312 6.5 9.52255730569286e-05 9.52255730570549e-05 9.52255730570013e-05
13824 6.75 0.000108842162974998 0.000108842162975135 0.000108842162974942
14336 7 0.000123311675119374 0.000123311675119355 0.000123311675119324
14848 7.25 0.00013813335688663 0.000138133356886582 0.000138133356886725
15360 7.5 0.000152797364336659 0.000152797364336965 0.000152797364336573
15872 7.75 0.000167190020468663 0.000167190020469285 0.00016719002046784
16384 8 0.000181656393728912 0.000181656393728807 0.000181656393727078
16896 8.25 0.00019660101174682 0.000196601011744538 0.000196601011743949
17408 8.5 0.000212008419077546 0.000212008419073151 0.000212008419073948
17920 8.75 0.0002274034382158 0.000227403438212869 0.000227403438213448
18432 9 0.000242307296768147 0.000242307296773333 0.000242307296773217
18944 9.25 0.000256739586414001 0.000256739586438669 0.000256739586488674
19456 9.5 0.000272118791866965 0.000272118791861894 0.000272118791918003
19968 9.75 0.000287411981269896 0.000287411981202826 0.000287411980993904
20480 10 0.000302415214985724 0.000302415214839814 0.000302415213775736
