# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.25 -1.2966870623489e-07 -1.2966870623489e-07 -1.2966870623489e-07
1024 0.5 -5.95468602737747e-07 -5.95468602737779e-07 -5.9546860273778e-07
1536 0.75 -8.73163676454947e-07 -8.73163676454951e-07 -8.7316367645495e-07
2048 1 -1.16403524439979e-06 -1.16403524439978e-06 -1.16403524439978e-06
2560 1.25 -1.91224741008462e-06 -1.91224741008461e-06 -1.9122474100846e-06
3072 1.5 -2.75250327164214e-06 -2.75250327164212e-06 -2.7525032716421e-06
3584 1.75 -3.60402522562533e-06 -3.60402522562531e-06 -3.60402522562529e-06
4096 2 -4.37973801266906e-06 -4.37973801266908e-06 -4.379738012669e-06
4608 2.25 -5.02925555198043e-06 -5.02925555198044e-06 -5.02925555198146e-06
5120 2.5 -5.42612891899278e-06 -5.4261289189928e-06 -5.42612891899854e-06
5632 2.75 -5.43827147311663e-06 -5.43827147311661e-06 -5.43827147311879e-06
6144 3 -5.06304345639819e-06 -5.06304345639775e-06 -5.06304345640756e-06
6656 3.25 -5.63340704543218e-06 -5.6334070453542e-06 -5.63340704531175e-06
7168 3.5 -6.62627804922149e-06 -6.6262780492148e-06 -6.62627804914043e-06
7680 3.75 -7.6272245253006e-06 -7.6272245251109e-06 -7.62722452517251e-06
8192 4 -8.64589685283719e-06 -8.64589685264667e-06 -8.64589685281657e-06
8704 4.25 -9.67727867497034e-06 -9.67727867477289e-06 -9.67727867583158e-06
9216 4.5 -1.07576877968646e-05 -1.0757687800373e-05 -1.07576877984428e-05
9728 4.75 -1.18786399510873e-05 -1.18786399584009e-05 -1.18786399536896e-05
10240 5 -1.30640986946037e-05 -1.30640987019822e-05 -1.30640987013445e-05
10752 5.25 -1.43291712337507e-05 -1.43291712376882e-05 -1.43291712461833e-05
11264 5.5 -1.5473052655063e-05 -1.54730526712537e-05 -1.54730526700625e-05
11776 5.75 -1.63872035483603e-05 -1.63872036114852e-05 -1.63872035437535e-05
12288 6 -1.75538536749035e-05 -1.7553853753821e-05 -1.75538536815663e-05
12800 6.25 -1.86874094406265e-05 -1.86874093781269e-05 -1.86874094231467e-05
13312 6.5 -1.96852356108764e-05 -1.96852355938942e-05 -1.96852356862468e-05
13824 6.75 -2.0822684139222e-05 -2.08226843414005e-05 -2.08226842109788e-05
14336 7 -2.20977185722361e-05 -2.20977190617868e-05 -2.2097718712783e-05
14848 7.25 -2.25967356856609e-05 -2.25967364844656e-05 -2.25967357545011e-05
15360 7.5 -2.37103273481355e-05 -2.37103292527692e-05 -2.37103273187706e-05
15872 7.75 -2.43432744448189e-05 -2.43432769751567e-05 -2.43432743591273e-05
16384 8 -2.48632925074432e-05 -2.48632952554384e-05 -2.48632924804691e-05
16896 8.25 -2.52692782666037e-05 -2.52692809088293e-05 -2.52692781687504e-05
17408 8.5 -2.58879785896409e-05 -2.58879836108091e-05 -2.5887979117225e-05
17920 8.75 -2.65872987701863e-05 -2.65873045640885e-05 -2.65872993938394e-05
18432 9 -2.66761157886321e-05 -2.66761224182154e-05 -2.66761165912438e-05
18944 9.25 -2.67881399725765e-05 -2.67881481637693e-05 -2.67881404139219e-05
19456 9.5 -2.72928910506384e-05 -2.72928981964431e-05 -2.72928903532659e-05
19968 9.75 -2.74252935065075e-05 -2.74253001206755e-05 -2.74252931766499e-05
20480 10 -2.68875128968991e-05 -2.68875185082816e-05 -2.68875111410034e-05
20992 10.25 -2.63635062500853e-05 -2.63635112085124e-05 -2.63635031665852e-05
21504 10.5 -2.53973158221401e-05 -2.53973210749247e-05 -2.53973118796915e-05
22016 10.75 -2.40512433405765e-05 -2.40512376373952e-05 -2.4051233309551e-05
22528 11 -2.27339831582987e-05 -2.27339835023722e-05 -2.27339861830407e-05
23040 11.25 -2.1434166229708e-05 -2.14341649497106e-05 -2.1434166544102e-05
23552 11.5 -2.0116577423447e-05 -2.01165804173208e-05 -2.0116573914726e-05
24064 11.75 -1.98016206944063e-05 -1.98016197189039e-05 -1.98016202684773e-05
24576 12 -2.01344518275776e-05 -2.01344502488248e-05 -2.01344518863679e-05
25088 12.25 -2.00852222336316e-05 -2.00852203141481e-05 -2.00852215133876e-05
25600 12.5 -1.9783314580002e-05 -1.97833134732884e-05 -1.97833105499447e-05
26112 12.75 -1.91232277576011e-05 -1.91232251422387e-05 -1.91232225571734e-05
26624 13 -1.85272513821573e-05 -1.85272509732866e-05 -1.85272509774447e-05
27136 13.25 -1.84596615986811e-05 -1.84596612621063e-05 -1.84596598578981e-05
27648 13.5 -1.82339615904408e-05 -1.82339608649405e-05 -1.8233959466404e-05
28160 13.75 -1.83802788953097e-05 -1.83802843505298e-05 -1.83802785064858e-05
28672 14 -1.83139473565178e-05 -1.83139519156962e-05 -1.83139452797837e-05
29184 14.25 -1.80493450724767e-05 -1.80493489737251e-05 -1.8049342009514e-05
29696 14.5 -1.76139734179318e-05 -1.76139779081892e-05 -1.76139709265424e-05
30208 14.75 -1.7721705771956e-05 -1.77217063491404e-05 -1.77217029340948e-05
30720 15 -1.76231946957184e-05 -1.7623196002957e-05 -1.76231920473383e-05
31232 15.25 -1.72786347532946e-05 -1.72786374509271e-05 -1.72786332298849e-05
31744 15.5 -1.67724704875428e-05 -1.67724729441144e-05 -1.67724660731204e-05
32256 15.75 -1.68094551841152e-05 -1.68094578726501e-05 -1.68094505901848e-05
32768 16 -1.66345356683448e-05 -1.66345386856011e-05 -1.66345321349508e-05
33280 16.25 -1.62278437501939e-05 -1.62278472773144e-05 -1.62278424366536e-05
33792 16.5 -1.5929759424683e-05 -1.59297588081364e-05 -1.59297552944009e-05
34304 16.75 -1.58272795994528e-05 -1.58272800690933e-05 -1.58272762150673e-05
34816 17 -1.56566586411966e-05 -1.56566625656252e-05 -1.56566569820227e-05
35328 17.25 -1.56817584019487e-05 -1.56817575917341e-05 -1.56817524121895e-05
35840 17.5 -1.58589188215745e-05 -1.58589171562028e-05 -1.58589124499983e-05
36352 17.75 -1.5839802516297e-05 -1.58398001564196e-05 -1.58397962056453e-05
36864 18 -1.59576240009145e-05 -1.59576197565102e-05 -1.59576080847827e-05
37376 18.25 -1.59679603698975e-05 -1.5967955995102e-05 -1.59679470865246e-05
37888 18.5 -1.58389845716362e-05 -1.58389773958855e-05 -1.58389830696419e-05
38400 18.75 -1.58780457422909e-05 -1.58780367509469e-05 -1.58780423146424e-05
38912 19 -1.57681873519922e-05 -1.57681833211971e-05 -1.5768180734799e-05
39424 19.25 -1.568366398627e-05 -1.56836630322868e-05 -1.5683669320239e-05
39936 19.5 -1.56200689893519e-05 -1.56200647809986e-05 -1.56200655313925e-05
40448 19.75 -1.55635905663317e-05 -1.55635879752404e-05 -1.55635867579978e-05
40960 20 -1.55052681252883e-05 -1.55052434672851e-05 -1.550526592938e-05
41472 20.25 -1.55848622640734e-05 -1.55848369271089e-05 -1.55848604643858e-05
41984 20.5 -1.55515985164644e-05 -1.5551545198833e-05 -1.55515958853724e-05
42496 20.75 -1.56658838059088e-05 -1.56658295649923e-05 -1.56658816032434e-05
43008 21 -1.55955262489872e-05 -1.55954709675962e-05 -1.55955242128024e-05
43520 21.25 -1.53386559729412e-05 -1.53385995127018e-05 -1.53386537173986e-05
44032 21.5 -1.49125424702698e-05 -1.4912484748436e-05 -1.49125396951186e-05
44544 21.75 -1.48081587781967e-05 -1.48081402925963e-05 -1.48081564842581e-05
45056 22 -1.46406014788242e-05 -1.46405941565225e-05 -1.46406004904931e-05
45568 22.25 -1.43633393729345e-05 -1.43633319264148e-05 -1.43633385239304e-05
46080 22.5 -1.41282372700426e-05 -1.41282213490565e-05 -1.41282356224438e-05
46592 22.75 -1.39912565271619e-05 -1.39912402188062e-05 -1.3991254756503e-05
47104 23 -1.37310367268924e-05 -1.37310199602154e-05 -1.37310347590263e-05
47616 23.25 -1.33951476869876e-05 -1.33951422172706e-05 -1.33951469285982e-05
48128 23.5 -1.3052190680298e-05 -1.30521885728525e-05 -1.30521902595052e-05
48640 23.75 -1.2737556437466e-05 -1.27375567239211e-05 -1.27375557390766e-05
49152 24 -1.25242033414986e-05 -1.25242037685633e-05 -1.25242031320991e-05
49664 24.25 -1.23082491306035e-05 -1.23082493039747e-05 -1.23082489131052e-05
50176 24.5 -1.2082697740531e-05 -1.20826977952787e-05 -1.20826975325805e-05
50688 24.75 -1.18650322764711e-05 -1.18650322494414e-05 -1.18650319803243e-05
51200 25 -1.16484855553066e-05 -1.16484852753489e-05 -1.16484852698597e-05
51712 25.25 -1.14191504888905e-05 -1.1419150216407e-05 -1.14191503448504e-05
52224 25.5 -1.11886345863301e-05 -1.11886345723433e-05 -1.11886345023956e-05
52736 25.75 -1.09963203171511e-05 -1.09963202418172e-05 -1.0996320180008e-05
53248 26 -1.08099161454843e-05 -1.08099164247755e-05 -1.0809916190356e-05
53760 26.25 -1.06015488104199e-05 -1.06015493337507e-05 -1.0601549050259e-05
54272 26.5 -1.04331475653718e-05 -1.04331480589657e-05 -1.04331477609467e-05
54784 26.75 -1.02433254830703e-05 -1.02433261973639e-05 -1.02433259230169e-05
55296 27 -1.00708023118834e-05 -1.00708030129058e-05 -1.00708026605113e-05
55808 27.25 -9.9112926725086e-06 -9.91129355454644e-06 -9.91129329101086e-06
56320 27.5 -9.74491847289618e-06 -9.74491925487431e-06 -9.74491897082078e-06
56832 27.75 -9.62697869400317e-06 -9.62697953296343e-06 -9.62697934365585e-06
57344 28 -9.48716943001086e-06 -9.48717015790161e-06 -9.48717008652788e-06
57856 28.25 -9.37830357172212e-06 -9.37830429683825e-06 -9.37830421509869e-06
58368 28.5 -9.24375162193926e-06 -9.24375222144076e-06 -9.24375219986188e-06
58880 28.75 -9.13511721530751e-06 -9.13511782727693e-06 -9.13511779518359e-06
59392 29 -8.97670970459235e-06 -8.97671020269558e-06 -8.97671018434327e-06
59904 29.25 -8.86144603311921e-06 -8.86144653371314e-06 -8.86144657172843e-06
60416 29.5 -8.70504316212429e-06 -8.70504362545045e-06 -8.70504367854287e-06
60928 29.75 -8.52833853808847e-06 -8.52833892505709e-06 -8.52833902258346e-06
61440 30 -8.35907616805201e-06 -8.35907661340309e-06 -8.35907671874931e-06
61952 30.25 -8.22879910541938e-06 -8.22879950764048e-06 -8.22879962561967e-06
62464 30.5 -8.09999299451319e-06 -8.09999344350831e-06 -8.09999357750126e-06
62976 30.75 -7.94246046100723e-06 -7.94246079603803e-06 -7.94246094082416e-06
63488 31 -7.78531964350703e-06 -7.78531987306355e-06 -7.78531999609975e-06
64000 31.25 -7.63066733952152e-06 -7.63066749481565e-06 -7.63066758187399e-06
64512 31.5 -7.48392701994847e-06 -7.48392708714671e-06 -7.4839271478048e-06
65024 31.75 -7.34165004818043e-06 -7.34165003882349e-06 -7.34165008090344e-06
65536 32 -7.20717152394977e-06 -7.20717148000616e-06 -7.20717154106834e-06
66048 32.25 -7.08155757129658e-06 -7.08155763805792e-06 -7.08155773023429e-06
66560 32.5 -6.97355784703044e-06 -6.97355793198839e-06 -6.97355801617352e-06
67072 32.75 -6.88689160068841e-06 -6.88689165571344e-06 -6.88689174059362e-06
67584 33 -6.7990313255231e-06 -6.79903133775842e-06 -6.79903139497762e-06
68096 33.25 -6.71590224494705e-06 -6.71590223774394e-06 -6.71590235587815e-06
68608 33.5 -6.63183326353422e-06 -6.63183322955458e-06 -6.63183331377791e-06
69120 33.75 -6.53729343182518e-06 -6.53729338020292e-06 -6.53729350542077e-06
