# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 8.93249988555908 0 0.38332200050354 0 8.60716509819031 0 0 0 0 0 0 0 0 0 9.12368429441017 36382.4456786326 0 36382.4456786326 160 644867 2003 642864 0 0 0 0 8.93034720420837 1752347881.86479 266
512 0.25 658.126071887905 658.126071887905 10.3797640800476 1.36751914024353 1.75264525413513 0 8.6314525604248 3 375295.661242887 375295.661242887 513224 513224 270364.040341079 270364.040341079 369728 369728 21.0962667458971 76130.9787489258 1614.32806027532 74516.6506886504 186 656989 14125 642864 0 0 0 0 10.3671767711639 1752347883.31206 905
1024 0.5 667.331297860526 667.331297860526 11.7095558643341 2.69731092453003 3.03992295265198 0 8.69786262512207 6 380544.931125745 380544.931125745 1026448 1026448 274145.628994863 274145.628994863 739456 739456 28.1442135423307 76919.6350979769 1771.81665665468 75147.8184413222 284 675993 15561 660432 0 0 0 0 11.6873784065247 1752347884.64185 1544
1536 0.75 674.340820940529 674.340820940529 13.0161550045013 4.00391006469727 4.30531883239746 0 8.71515107154846 9 384542.103873758 384542.103873758 1539672 1539672 277025.203383 277025.203383 1109184 1109184 35.1286597468052 77745.349197221 1928.05830211632 75817.2908951047 310 677430 16998 660432 0 0 0 0 12.9852616786957 1752347885.94845 2183
2048 1 676.474155985111 676.474155985111 14.3339560031891 5.32171106338501 5.5532066822052 0 8.83628797531128 12 385758.635812558 385758.635812558 2052896 2052896 277901.596382292 277901.596382292 1478912 1478912 46.6930537488638 112715.551238297 2078.97974679392 110636.571491503 492 1321744 18448 1303296 0 0 0 0 14.2939345836639 1752347887.26625 2822
2560 1.25 658.998449425107 670.769917331565 15.8407890796661 6.82854413986206 6.99091601371765 0 8.85462975502014 15 375793.133564168 375793.133564168 2566120 2566120 270722.420787829 270722.420787829 1848640 1848640 58.0799290757864 149487.002823832 2219.80584959888 147267.196974234 518 1323145 19849 1303296 0 0 0 0 15.79176902771 1752347888.77308 3461
3072 1.5 562.908108996378 644.948556981797 18.6052849292755 9.59303998947144 9.70962452888489 0 8.92514562606812 18 320997.72370173 320997.72370173 3079344 3079344 231247.654803348 231247.654803348 2218368 2218368 64.7506732580199 149853.629747541 2373.17962352441 147480.450124017 616 1342172 21308 1320864 0 0 0 0 18.5461835861206 1752347891.53758 4100
3584 1.75 563.519416767624 632.600382755228 20.1919839382172 11.1797389984131 11.2522242069244 0 8.94468665122986 21 321346.321279052 321346.321279052 3592568 3592568 231498.785469622 231498.785469622 2588096 2588096 71.3665712700024 150273.166212459 2521.54427832037 147751.621934139 642 1343611 22747 1320864 0 0 0 0 20.1236624717712 1752347893.12427 4739
4096 2 575.008359321122 626.029998793246 21.5338020324707 12.5215570926666 12.52215051651 0 9.06825017929077 24 327897.878004693 327897.878004693 4105792 4105792 236218.545194533 236218.545194533 2957824 2957824 82.3378488044984 183752.001180604 2663.77366651211 181088.227514092 824 1987923 24195 1963728 0 0 0 0 21.4566111564636 1752347894.46609 5378
4608 2.25 556.837315141645 615.827385457641 23.5586838722229 14.5464389324188 14.4774029254913 0 9.08569478988647 27 317535.860251395 317535.860251395 4619016 4619016 228753.718725211 228753.718725211 3327552 3327552 93.1586639552742 219035.179251436 2796.08131814695 216239.097933289 850 1989322 25594 1963728 0 0 0 0 23.471967458725 1752347896.49097 6017
5120 2.5 566.47452207908 611.341377760406 24.8999850749969 15.8877401351929 15.7765893936157 0 9.15284991264343 30 323031.46679946 323031.46679946 5132240 5132240 232712.768999171 232712.768999171 3697280 3697280 99.5243472617352 219131.34865782 2943.42160943462 216187.927048386 948 2008347 27051 1981296 0 0 0 0 24.8041532039642 1752347897.83228 6656
5632 2.75 573.338609283738 608.018432513308 26.2795279026031 17.2672829627991 17.1137478351593 0 9.17013621330261 33 326945.704901152 326945.704901152 5645464 5645464 235532.597036953 235532.597036953 4067008 4067008 105.828417533753 219248.660257286 3086.37124083747 216162.289016449 974 2009788 28492 1981296 0 0 0 0 26.174001455307 1752347899.21182 7295
