# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.188268428025234
512 0.25 0.188268428029915
1024 0.5 0.188268428043229
1536 0.75 0.18826842806722
2048 1 0.188268428102404
2560 1.25 0.188268428150913
3072 1.5 0.188268428214164
3584 1.75 0.188268428294162
4096 2 0.188268428389234
4608 2.25 0.188268428499483
5120 2.5 0.188268428631001
5632 2.75 0.188268428776295
6144 3 0.188268428943776
6656 3.25 0.188268429132996
7168 3.5 0.188268429345409
7680 3.75 0.188268429577388
8192 4 0.18826842983
8704 4.25 0.188268430103812
9216 4.5 0.188268430397599
9728 4.75 0.18826843070901
10240 5 0.18826843103368
10752 5.25 0.188268431377882
11264 5.5 0.188268431740788
11776 5.75 0.188268432121778
12288 6 0.188268432522741
12800 6.25 0.188268432946009
13312 6.5 0.188268433389402
13824 6.75 0.188268433850334
14336 7 0.188268434328707
14848 7.25 0.188268434826126
15360 7.5 0.188268435342747
15872 7.75 0.188268435876108
16384 8 0.188268436430513
16896 8.25 0.188268437001334
17408 8.5 0.188268437586759
17920 8.75 0.188268438194021
18432 9 0.188268438819123
18944 9.25 0.188268439455159
19456 9.5 0.188268440102573
19968 9.75 0.188268440759305
20480 10 0.188268441433963
20992 10.25 0.188268442124587
21504 10.5 0.188268442826241
22016 10.75 0.188268443546538
22528 11 0.18826844427968
23040 11.25 0.188268445029614
23552 11.5 0.188268445792317
24064 11.75 0.188268446571298
24576 12 0.188268447363714
25088 12.25 0.188268448164047
25600 12.5 0.188268448977792
26112 12.75 0.18826844980444
26624 13 0.188268450648925
27136 13.25 0.188268451512349
27648 13.5 0.188268452389738
28160 13.75 0.188268453283189
28672 14 0.188268454194506
29184 14.25 0.188268455123285
29696 14.5 0.188268456068007
30208 14.75 0.188268457023822
30720 15 0.188268457986185
31232 15.25 0.188268458954956
31744 15.5 0.188268459932134
32256 15.75 0.188268460916625
32768 16 0.188268461916002
33280 16.25 0.188268462926904
33792 16.5 0.188268463956245
34304 16.75 0.188268465002341
34816 17 0.188268466059641
35328 17.25 0.188268467118187
35840 17.5 0.188268468182915
36352 17.75 0.188268469263467
36864 18 0.188268470353926
37376 18.25 0.188268471454365
37888 18.5 0.188268472559041
38400 18.75 0.188268473677062
38912 19 0.188268474805933
39424 19.25 0.18826847594485
39936 19.5 0.188268477091432
40448 19.75 0.188268478252368
40960 20 0.188268479421489
41472 20.25 0.188268480596901
41984 20.5 0.188268481776227
42496 20.75 0.188268482969873
43008 21 0.188268484177089
43520 21.25 0.188268485396199
44032 21.5 0.188268486638999
44544 21.75 0.188268487897555
45056 22 0.188268489176218
45568 22.25 0.188268490470997
46080 22.5 0.1882684917815
46592 22.75 0.188268493092971
47104 23 0.188268494417318
47616 23.25 0.188268495752278
48128 23.5 0.188268497100292
48640 23.75 0.188268498459531
49152 24 0.188268499827747
49664 24.25 0.188268501200822
50176 24.5 0.188268502577961
50688 24.75 0.1882685039543
51200 25 0.18826850533924
51712 25.25 0.188268506732888
52224 25.5 0.188268508136092
52736 25.75 0.188268509550936
53248 26 0.188268510981615
53760 26.25 0.188268512421929
54272 26.5 0.188268513862671
54784 26.75 0.188268515300501
55296 27 0.188268516746984
55808 27.25 0.188268518205132
56320 27.5 0.188268519669345
56832 27.75 0.188268521132707
57344 28 0.188268522604827
57856 28.25 0.188268524092449
58368 28.5 0.188268525593116
58880 28.75 0.18826852710122
59392 29 0.188268528604997
59904 29.25 0.188268530109805
60416 29.5 0.188268531617402
60928 29.75 0.188268533131885
61440 30 0.188268534652939
61952 30.25 0.188268536172798
62464 30.5 0.188268537703446
62976 30.75 0.188268539247361
63488 31 0.188268540797676
64000 31.25 0.188268542355215
64512 31.5 0.188268543913522
65024 31.75 0.188268545480732
65536 32 0.188268547065889
66048 32.25 0.18826854866721
66560 32.5 0.188268550277912
67072 32.75 0.188268551900669
67584 33 0.188268553528946
68096 33.25 0.188268555165334
68608 33.5 0.188268556806856
69120 33.75 0.188268558454741
69632 34 0.188268560112054
70144 34.25 0.188268561779578
70656 34.5 0.1882685634557
71168 34.75 0.188268565149355
71680 35 0.188268566847652
72192 35.25 0.188268568562374
72704 35.5 0.188268570309457
73216 35.75 0.188268572049885
73728 36 0.188268573795245
74240 36.25 0.188268575547907
74752 36.5 0.188268577307943
