# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.121599999282678
512 0.25 0.121536053683477
1024 0.5 0.12147408079535
1536 0.75 0.121413936053866
2048 1 0.121357380011105
2560 1.25 0.121306231479988
3072 1.5 0.121261904895678
3584 1.75 0.121226161196057
4096 2 0.121203513947184
4608 2.25 0.121197663694887
5120 2.5 0.121208247016246
5632 2.75 0.121230515846599
6144 3 0.121262131717395
6656 3.25 0.121301914386352
7168 3.5 0.121348619383499
7680 3.75 0.121400998416135
8192 4 0.121457859349238
8704 4.25 0.121518111467178
9216 4.5 0.121580788585801
9728 4.75 0.121645055226777
10240 5 0.121707988455458
10752 5.25 0.121766169725306
11264 5.5 0.12181917734758
11776 5.75 0.121867205144648
12288 6 0.12191101201427
12800 6.25 0.121951749383538
13312 6.5 0.121990808656216
13824 6.75 0.122029801181872
14336 7 0.1220706507859
14848 7.25 0.122114627532159
15360 7.5 0.122162824763061
15872 7.75 0.122216127302216
16384 8 0.12227532657572
16896 8.25 0.12234139498347
17408 8.5 0.122414351165298
17920 8.75 0.122494053146179
18432 9 0.122579992810442
18944 9.25 0.122671344057538
19456 9.5 0.122767013776023
19968 9.75 0.122865816350883
20480 10 0.122966670206698
20992 10.25 0.123068627972226
21504 10.5 0.123170802558997
22016 10.75 0.123272338342267
22528 11 0.123372512921084
23040 11.25 0.123470882619757
23552 11.5 0.123567342891161
24064 11.75 0.123662914801348
24576 12 0.123758324249316
25088 12.25 0.123853395656151
25600 12.5 0.12394838989751
26112 12.75 0.124043763211494
26624 13 0.124139990507374
27136 13.25 0.124237529541401
27648 13.5 0.124336815585205
28160 13.75 0.124438242074027
28672 14 0.124542159080924
29184 14.25 0.12464887372157
29696 14.5 0.124758616596594
30208 14.75 0.124871496590573
30720 15 0.124987493047574
31232 15.25 0.125106496238276
31744 15.5 0.125228343038437
32256 15.75 0.125352798561471
32768 16 0.125479563557893
33280 16.25 0.125608326146508
33792 16.5 0.125738795313092
34304 16.75 0.125870688345392
34816 17 0.126003724105362
35328 17.25 0.126137650443382
35840 17.5 0.126272260934712
36352 17.75 0.12640737706495
36864 18 0.126542842076408
37376 18.25 0.12667855245356
37888 18.5 0.126814480848029
38400 18.75 0.126950656734897
38912 19 0.127087138778118
39424 19.25 0.127224007567031
39936 19.5 0.12736135276845
40448 19.75 0.127499243062115
40960 20 0.127637723213695
41472 20.25 0.127776859171736
41984 20.5 0.127916773240025
42496 20.75 0.128057612204206
43008 21 0.128199478408423
43520 21.25 0.128342398793251
44032 21.5 0.128486358702828
44544 21.75 0.128631363446101
45056 22 0.128777474055832
45568 22.25 0.128924785661108
46080 22.5 0.129073360088359
46592 22.75 0.129223168797253
47104 23 0.129374099539482
47616 23.25 0.129526016753765
48128 23.5 0.129678813957817
48640 23.75 0.12983241869897
49152 24 0.129986765157916
49664 24.25 0.130141765746566
50176 24.5 0.130297298286562
50688 24.75 0.13045321933224
51200 25 0.130609405029619
51712 25.25 0.130765789228785
52224 25.5 0.130922355605406
52736 25.75 0.131079085415874
53248 26 0.131235918286525
53760 26.25 0.131392775568418
54272 26.5 0.13154963058335
54784 26.75 0.131706560824721
