# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000155647998163655
512 0.25 0.000155484340473191
1024 0.5 0.000155325813737634
1536 0.75 0.00015517204071676
2048 1 0.000155027512454314
2560 1.25 0.000154896861009227
3072 1.5 0.000154783679778195
3584 1.75 0.00015469244377192
4096 2 0.000154634650454162
4608 2.25 0.000154619723001042
5120 2.5 0.000154646727839487
5632 2.75 0.000154703557604552
6144 3 0.000154784258827861
6656 3.25 0.000154885836145198
7168 3.5 0.000155005130802962
7680 3.75 0.000155138972804574
8192 4 0.000155284332607361
8704 4.25 0.000155438435942626
9216 4.5 0.000155598822664687
9728 4.75 0.000155763362748692
10240 5 0.000155924573198673
10752 5.25 0.000156073685153391
11264 5.5 0.000156209599680434
11776 5.75 0.000156332796734397
12288 6 0.000156445208950984
12800 6.25 0.000156549780817951
13312 6.5 0.000156650077858921
13824 6.75 0.000156750235541971
14336 7 0.000156855197718876
14848 7.25 0.000156968234287557
15360 7.5 0.00015709216583253
15872 7.75 0.000157229281818436
16384 8 0.000157381636728409
16896 8.25 0.000157551757121068
17408 8.5 0.000157739719697062
17920 8.75 0.000157945190065042
18432 9 0.000158166890920085
18944 9.25 0.000158402722661925
19456 9.5 0.000158649891278761
19968 9.75 0.000158905356079673
20480 10 0.000159166336649715
20992 10.25 0.000159430391483855
21504 10.5 0.000159695227400289
22016 10.75 0.000159958625267057
22528 11 0.000160218704678558
23040 11.25 0.00016047430373581
23552 11.5 0.000160725139254545
24064 11.75 0.0001609738578649
24576 12 0.000161222345484199
25088 12.25 0.000161470143321675
25600 12.5 0.00016171793008616
26112 12.75 0.000161966896754412
