# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.25 0.00127932688087871
1024 0.5 0.0012786745346879
1536 0.75 0.00127804143214596
2048 1 0.00127744610538006
2560 1.25 0.00127690769978935
3072 1.5 0.00127644110416504
3584 1.75 0.00127606485469534
4096 2 0.00127582646260194
4608 2.25 0.00127576488099881
5120 2.5 0.00127587628438153
5632 2.75 0.00127611069312209
6144 3 0.00127644349176205
6656 3.25 0.00127686225669844
7168 3.5 0.00127735388824736
7680 3.75 0.00127790524648564
8192 4 0.00127850378262356
8704 4.25 0.00127913801544398
9216 4.5 0.00127979777458738
9728 4.75 0.00128047426554503
10240 5 0.00128113672058377
10752 5.25 0.00128174915500323
11264 5.5 0.00128230712997453
11776 5.75 0.00128281268573314
12288 6 0.00128327381067653
12800 6.25 0.00128370262508988
13312 6.5 0.00128411377532859
13824 6.75 0.00128452422296708
14336 7 0.00128495421879895
14848 7.25 0.00128541713191746
15360 7.5 0.00128592447119012
15872 7.75 0.00128648555054964
16384 8 0.00128710870079705
16896 8.25 0.00128780415772074
17408 8.5 0.00128857211752945
17920 8.75 0.00128941108574926
18432 9 0.00129031571379413
18944 9.25 0.00129127730586882
19456 9.5 0.00129228435553709
19968 9.75 0.00129332438264088
20480 10 0.00129438600217577
20992 10.25 0.00129545924181291
21504 10.5 0.00129653476377892
22016 10.75 0.00129760356149755
22528 11 0.00129865803074825
23040 11.25 0.00129969350126061
23552 11.5 0.00130070887253854
24064 11.75 0.00130171489264577
24576 12 0.00130271920262438
25088 12.25 0.00130371995427527
25600 12.5 0.001304719893658
26112 12.75 0.00130572382327888
26624 13 0.00130673674218288
27136 13.25 0.00130776346885685
27648 13.5 0.00130880858510743
28160 13.75 0.00130987623235818
28672 14 0.00131097009558868
29184 14.25 0.00131209340759548
29696 14.5 0.00131324859575362
30208 14.75 0.00131443680621656
30720 15 0.00131565782155341
31232 15.25 0.0013169104867187
31744 15.5 0.00131819308461513
32256 15.75 0.00131950314275233
32768 16 0.00132083751113572
33280 16.25 0.00132219290680535
33792 16.5 0.0013235662664536
34304 16.75 0.00132495461416202
34816 17 0.00132635499058276
35328 17.25 0.00132776474150929
35840 17.5 0.0013291816940496
36352 17.75 0.00133060396910473
36864 18 0.00133202991659377
37376 18.25 0.00133345844687958
37888 18.5 0.00133488927208452
38400 18.75 0.0013363227024726
38912 19 0.00133775935555914
39424 19.25 0.00133920007965296
39936 19.5 0.00134064581861527
40448 19.75 0.00134209729539069
40960 20 0.00134355498119679
41472 20.25 0.0013450195702288
41984 20.5 0.001346492349895
42496 20.75 0.00134797486530744
43008 21 0.00134946819377287
43520 21.25 0.00135097261887632
44032 21.5 0.00135248798634556
44544 21.75 0.00135401435206422
45056 22 0.00135555235848244
45568 22.25 0.00135710300695903
46080 22.5 0.00135866694829852
46592 22.75 0.00136024388207635
47104 23 0.00136183262673139
47616 23.25 0.00136343175530279
48128 23.5 0.00136504014692439
48640 23.75 0.00136665703893652
49152 24 0.00136828173850438
49664 24.25 0.00136991332364807
50176 24.5 0.0013715505082796
50688 24.75 0.00137319178244463
51200 25 0.00137483584241704
51712 25.25 0.00137648199188195
52224 25.5 0.00137813005900428
52736 25.75 0.00137977984648289
53248 26 0.00138143071880553
53760 26.25 0.00138308184808861
54272 26.5 0.00138473295350895
54784 26.75 0.00138638485078654
55296 27 0.00138803926101259
55808 27.25 0.0013896979554088
56320 27.5 0.00139136193139726
56832 27.75 0.00139303135245339
57344 28 0.00139470623825001
57856 28.25 0.00139638704637594
58368 28.5 0.00139807440334567
58880 28.75 0.00139976831949166
59392 29 0.00140146791948102
59904 29.25 0.00140317209097499
60416 29.5 0.00140488031801418
60928 29.75 0.00140659278940215
61440 30 0.00140830976745314
61952 30.25 0.0014100309480929
62464 30.5 0.00141175536097656
62976 30.75 0.00141348172949139
63488 31 0.00141520889687015
64000 31.25 0.00141693602091209
64512 31.5 0.00141866245974597
65024 31.75 0.00142038750061998
65536 32 0.00142211025023626
66048 32.25 0.00142382987585795
66560 32.5 0.00142554595552666
67072 32.75 0.00142725845795558
67584 33 0.0014289672339526
68096 33.25 0.00143067149555699
68608 33.5 0.00143236983479297
69120 33.75 0.00143406076989424
69632 34 0.00143574327864444
70144 34.25 0.00143741685657716
