# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.25 0.0220574464420752 0.0220574464420752 0.0220574464420752
1024 0.5 0.0208407506952238 0.0208407506952238 0.0208407506952238
1536 0.75 0.0196401360944429 0.0196401360944429 0.0196401360944429
2048 1 0.0184580389626748 0.0184580389626748 0.0184580389626748
2560 1.25 0.0172951507884908 0.0172951507884908 0.0172951507884908
3072 1.5 0.0161510944127237 0.0161510944127237 0.0161510944127237
3584 1.75 0.0150242747466889 0.0150242747466889 0.0150242747466889
4096 2 0.0139132756372629 0.0139132756372629 0.0139132756372629
4608 2.25 0.0128176002630944 0.0128176002630944 0.0128176002630943
5120 2.5 0.0117372148797512 0.0117372148797512 0.0117372148797511
5632 2.75 0.0106722083639749 0.0106722083639749 0.0106722083639749
6144 3 0.0096225362533002 0.0096225362533001 0.00962253625330001
6656 3.25 0.00858743300705011 0.00858743300705219 0.00858743300704977
7168 3.5 0.00754463084459519 0.00754463084459932 0.00754463084459479
7680 3.75 0.00647592910207071 0.00647592910207535 0.00647592910207064
8192 4 0.00533880731107658 0.00533880731108085 0.00533880731107791
8704 4.25 0.00414221962955567 0.00414221962956943 0.0041422196295591
9216 4.5 0.00289934981821264 0.00289934981823053 0.00289934981822044
9728 4.75 0.00181984630370571 0.00181984630368438 0.00181984630368626
10240 5 0.00180963171887836 0.00180963171884769 0.00180963171885163
10752 5.25 0.00179287991961247 0.00179287991957625 0.00179287991958986
11264 5.5 0.00176910006979171 0.00176910006975084 0.00176910006978088
11776 5.75 0.00173793535932946 0.00173793535928699 0.00173793535932973
12288 6 0.00169795125446312 0.00169795125444052 0.00169795125447409
