# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.25 -0.00268214282703425 -0.00268214282703425 -0.00268214282703425
1024 0.5 -0.00533620582999582 -0.00533620582999582 -0.00533620582999582
1536 0.75 -0.00794861449471914 -0.00794861449471914 -0.00794861449471914
2048 1 -0.0105121793024374 -0.0105121793024374 -0.0105121793024374
2560 1.25 -0.0130589738572811 -0.0130589738572811 -0.0130589738572811
3072 1.5 -0.0156492125928136 -0.0156492125928136 -0.0156492125928136
3584 1.75 -0.018263930887898 -0.018263930887898 -0.018263930887898
4096 2 -0.0208646366159919 -0.0208646366159919 -0.0208646366159919
4608 2.25 -0.023444838620668 -0.0234448386206681 -0.023444838620668
5120 2.5 -0.0260005976069159 -0.0260005976069159 -0.0260005976069159
5632 2.75 -0.0285286879452151 -0.0285286879452151 -0.0285286879452152
6144 3 -0.0310261957419781 -0.031026195741978 -0.031026195741978
6656 3.25 -0.0334895520094241 -0.0334895520094241 -0.0334895520094239
7168 3.5 -0.0359136541446651 -0.035913654144667 -0.0359136541446642
7680 3.75 -0.0382952913041312 -0.0382952913041403 -0.0382952913041271
8192 4 -0.040632498829358 -0.0406324988293814 -0.0406324988293462
8704 4.25 -0.0429237314392192 -0.0429237314392574 -0.0429237314391963
9216 4.5 -0.0451672132495798 -0.0451672132496208 -0.0451672132495466
9728 4.75 -0.0473610365980566 -0.0473610365980918 -0.0473610365980161
10240 5 -0.0495366442378661 -0.0495366442378674 -0.0495366442403656
10752 5.25 -0.0516884333510654 -0.0516884333510649 -0.0516884333537918
11264 5.5 -0.053789298834546 -0.0537892988345585 -0.0537892988374815
11776 5.75 -0.0558386477316521 -0.0558386477317042 -0.0558386477347594
12288 6 -0.057848179352221 -0.0578481793524524 -0.0578481793522198
12800 6.25 -0.0599923852016295 -0.0599923852019648 -0.0599923852015962
13312 6.5 -0.0620864238609878 -0.0620864238613891 -0.0620864238609006
13824 6.75 -0.0641292286387908 -0.0641292286392117 -0.0641292286386533
14336 7 -0.0661197150498071 -0.0661197150501678 -0.0661197150496327
14848 7.25 -0.0680569108655266 -0.0680569108657201 -0.0680569108653326
15360 7.5 -0.0699401335781255 -0.0699401335781015 -0.0699401335779786
15872 7.75 -0.0718554101950233 -0.0718554101947479 -0.0718554101949574
16384 8 -0.0737419756529066 -0.073741975652361 -0.073741975653004
16896 8.25 -0.0756216896410233 -0.0756216896401495 -0.075621689641237
17408 8.5 -0.0775441550915499 -0.0775441550904299 -0.0775441550918759
17920 8.75 -0.0794187489736976 -0.0794187489721851 -0.0794187489739186
18432 9 -0.0812456029987863 -0.0812456029967615 -0.0812456029987909
18944 9.25 -0.0830248534287138 -0.0830248534262452 -0.0830248534289092
19456 9.5 -0.0847568863217192 -0.0847568863187655 -0.0847568863230853
19968 9.75 -0.0864419807520378 -0.0864419807483119 -0.0864419807552554
20480 10 -0.0880801057783311 -0.0880801057737721 -0.088080105782173
20992 10.25 -0.0896712149284684 -0.0896712149234229 -0.0896712149297894
21504 10.5 -0.0912156861608462 -0.091215686155606 -0.0912156861582495
22016 10.75 -0.0927141300802008 -0.0927141300750715 -0.0927141300769975
22528 11 -0.0941671379569612 -0.0941671379528535 -0.0941671379571984
23040 11.25 -0.0955752771637506 -0.0955752771615256 -0.0955752771668356
23552 11.5 -0.0969390970864063 -0.096939097085598 -0.0969390970901284
24064 11.75 -0.098258853261448 -0.098258853260849 -0.0982588532665969
24576 12 -0.0995343861226183 -0.0995343861213492 -0.0995343861284818
25088 12.25 -0.100765537312086 -0.100765537308791 -0.100765537313331
25600 12.5 -0.10195242788367 -0.101952427876721 -0.101952427877871
26112 12.75 -0.103095083634541 -0.103095083624508 -0.103095083624237
26624 13 -0.104501738787894 -0.104501413581118 -0.104506938887031
27136 13.25 -0.106408683276033 -0.106408351616994 -0.106414037169869
27648 13.5 -0.10826377881219 -0.108263445901705 -0.108269158468754
28160 13.75 -0.110075968676972 -0.110075640265751 -0.110081229637738
28672 14 -0.111850189196083 -0.111849875069733 -0.111855342796072
29184 14.25 -0.113591444436432 -0.113591201974647 -0.113596595163203
29696 14.5 -0.115299758610046 -0.115299604321183 -0.115304961500085
30208 14.75 -0.11697519966188 -0.11697514416057 -0.116980483019969
30720 15 -0.118618156895562 -0.118618194845003 -0.118623518736792
31232 15.25 -0.120229137658717 -0.120229265145864 -0.120234577337988
31744 15.5 -0.121808496779157 -0.121808711102289 -0.121814018133038
32256 15.75 -0.123355776596497 -0.12335607752006 -0.123361388661709
32768 16 -0.12486937855174 -0.124869768497914 -0.124875096228611
33280 16.25 -0.126347764390479 -0.126348245350977 -0.126353590697761
33792 16.5 -0.127791507541937 -0.12779208140022 -0.127797443074111
34304 16.75 -0.129200980499157 -0.129201649607054 -0.129207027057283
34816 17 -0.130576096371314 -0.130576881845656 -0.130582288446709
35328 17.25 -0.131915652149734 -0.131920268574864 -0.131924840419208
35840 17.5 -0.133329570293254 -0.133335215727317 -0.133340046646541
36352 17.75 -0.134708597778962 -0.134714453760097 -0.134719480013898
36864 18 -0.136054615248311 -0.136060600173865 -0.136065745400034
37376 18.25 -0.137368695796374 -0.137374792342478 -0.137380042132792
37888 18.5 -0.138651389576508 -0.138657581151382 -0.138662924317569
38400 18.75 -0.139903037936273 -0.139909304444603 -0.13991473695852
38912 19 -0.141123749082824 -0.141130081452025 -0.141135610742289
39424 19.25 -0.142313803670371 -0.142320236745618 -0.142325820183215
39936 19.5 -0.143475101647943 -0.143481640093401 -0.143487240803263
40448 19.75 -0.144608420082869 -0.144615047334096 -0.144620640750753
40960 20 -0.145713914933741 -0.145720710494898 -0.145726314250873
