# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.25 1.00033857998675
1024 0.5 1.00030223427795
1536 0.75 1.00026849465431
2048 1 1.00023733698549
2560 1.25 1.00020867997075
3072 1.5 1.00019351109837
3584 1.75 1.00025874174506
4096 2 1.00033168200256
4608 2.25 1.0004118634735
5120 2.5 1.00049938270238
5632 2.75 1.00059436323227
6144 3 1.0006968993156
6656 3.25 1.00080685696638
7168 3.5 1.00092353709759
7680 3.75 1.00104626335955
8192 4 1.00117424689279
8704 4.25 1.00130642180179
9216 4.5 1.00145590122148
9728 4.75 1.00161247164815
10240 5 1.0017699704457
10752 5.25 1.00192790066414
11264 5.5 1.00208783345518
11776 5.75 1.00224899448861
12288 6 1.00241064201607
12800 6.25 1.00257206081359
13312 6.5 1.00273257176219
13824 6.75 1.00289154399493
14336 7 1.00304838225254
14848 7.25 1.00320253211964
15360 7.5 1.00339529826147
15872 7.75 1.00358912824682
16384 8 1.00378283273871
16896 8.25 1.00397588378262
17408 8.5 1.00419318984468
17920 8.75 1.00441549996761
18432 9 1.00464768277285
18944 9.25 1.00492970966306
19456 9.5 1.00521589243464
19968 9.75 1.00550513151161
20480 10 1.00579640220336
20992 10.25 1.00608897424422
21504 10.5 1.00638213346371
22016 10.75 1.00667519139652
22528 11 1.0069674742549
23040 11.25 1.00725830399822
23552 11.5 1.00754729630166
24064 11.75 1.00783374354239
24576 12 1.0081169888286
25088 12.25 1.008396392021
25600 12.5 1.00867133877075
26112 12.75 1.0089412482461
26624 13 1.00920552178743
27136 13.25 1.00946352637173
27648 13.5 1.00971492609822
28160 13.75 1.00995951035988
28672 14 1.0101970538375
29184 14.25 1.01042649672773
29696 14.5 1.01064920482335
30208 14.75 1.0108515675165
30720 15 1.01103661378772
31232 15.25 1.01121304615842
31744 15.5 1.01138055504208
32256 15.75 1.01162571671854
32768 16 1.01191407439438
33280 16.25 1.01219926358276
33792 16.5 1.01248112785625
34304 16.75 1.01275949759154
34816 17 1.0130430494615
35328 17.25 1.01333630375943
35840 17.5 1.01362476390531
36352 17.75 1.01390833876408
36864 18 1.01418796964827
37376 18.25 1.01446389398487
37888 18.5 1.01473574425448
38400 18.75 1.01500314730794
38912 19 1.01526587627258
39424 19.25 1.01552378695857
39936 19.5 1.01577712411233
40448 19.75 1.01602585155449
40960 20 1.01626987569707
41472 20.25 1.01650853535955
41984 20.5 1.01674162907924
42496 20.75 1.01696915520142
43008 21 1.01719108040857
43520 21.25 1.01740731610973
44032 21.5 1.01762030520671
44544 21.75 1.01782955063175
45056 22 1.01807057799193
45568 22.25 1.01833106484602
46080 22.5 1.0185860939035
46592 22.75 1.018850038109
47104 23 1.01916282919501
47616 23.25 1.01946897436815
48128 23.5 1.01976872439085
48640 23.75 1.02006228237622
49152 24 1.02034986504998
49664 24.25 1.02063155205229
50176 24.5 1.02090780159074
50688 24.75 1.021179818378
51200 25 1.0214476694599
51712 25.25 1.0217111800558
52224 25.5 1.0219702987884
52736 25.75 1.02222508511115
53248 26 1.02247553920183
53760 26.25 1.02272123477367
54272 26.5 1.02296104845234
54784 26.75 1.02319481715254
55296 27 1.02342205800795
55808 27.25 1.02363969091487
56320 27.5 1.02395779071882
56832 27.75 1.02435433009373
57344 28 1.02474357083058
57856 28.25 1.02512537221032
58368 28.5 1.02550039413123
58880 28.75 1.02586881253902
59392 29 1.02623055220191
59904 29.25 1.02658775062009
60416 29.5 1.02694213680846
60928 29.75 1.02729162199703
61440 30 1.02763652048344
61952 30.25 1.02797697095603
62464 30.5 1.02831301832069
62976 30.75 1.02864490294323
63488 31 1.02897306803508
64000 31.25 1.02929735311599
64512 31.5 1.02961803019682
