# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -7.21209509786684e-05
512 0.25 -7.64884812754569e-05
1024 0.5 -8.3842577391719e-05
1536 0.75 -8.60032828207025e-05
2048 1 -8.20137492920115e-05
2560 1.25 -7.83679975941633e-05
3072 1.5 -7.88562897809933e-05
3584 1.75 -8.38952711496789e-05
4096 2 -9.08328382991359e-05
4608 2.25 -9.01335743515628e-05
5120 2.5 -8.15064769255813e-05
5632 2.75 -8.50977005283483e-05
6144 3 -9.42983206578446e-05
6656 3.25 -0.000101101563339949
7168 3.5 -8.88564765720853e-05
7680 3.75 -8.9214242089259e-05
8192 4 -9.31345405229961e-05
8704 4.25 -0.000105612059481331
9216 4.5 -0.000103374184414586
9728 4.75 -9.38948171427837e-05
10240 5 -9.636553407705e-05
10752 5.25 -0.000101362617378656
11264 5.5 -0.000116151191610506
11776 5.75 -0.000111908739390997
12288 6 -0.000102101632694106
12800 6.25 -0.000108639440734308
13312 6.5 -0.000118890106967904
13824 6.75 -0.00012669435299521
14336 7 -0.000116134109524211
14848 7.25 -0.0001177990487464
15360 7.5 -0.000122557798304116
15872 7.75 -0.000132558981260499
16384 8 -0.000131687199519454
16896 8.25 -0.000131200451511655
17408 8.5 -0.000132531487983436
17920 8.75 -0.000139435853779465
18432 9 -0.00014603611591392
18944 9.25 -0.000147396112313939
19456 9.5 -0.000145562232939993
19968 9.75 -0.000149819297347216
20480 10 -0.000159703826503097
20992 10.25 -0.000164569084938622
21504 10.5 -0.000163157399429737
22016 10.75 -0.000163894055142555
22528 11 -0.000171671544194544
23040 11.25 -0.000178558584437654
23552 11.5 -0.000181131109244745
24064 11.75 -0.00018348400873612
24576 12 -0.000191002401696293
25088 12.25 -0.000200310678140633
25600 12.5 -0.000209313413613518
26112 12.75 -0.000221834015492408
26624 13 -0.000239745689210839
27136 13.25 -0.000259003057938791
27648 13.5 -0.000273531943931582
28160 13.75 -0.000282893683098592
28672 14 -0.00029207341610247
29184 14.25 -0.000303837539158085
29696 14.5 -0.000316279185950676
30208 14.75 -0.000328390703488552
30720 15 -0.000342224725108261
31232 15.25 -0.000357700240747782
31744 15.5 -0.000370778618310856
32256 15.75 -0.000379395618532047
32768 16 -0.00038656701939781
33280 16.25 -0.000395491754766576
33792 16.5 -0.000406216198572128
34304 16.75 -0.000418782978612605
34816 17 -0.000434221238574218
35328 17.25 -0.000450194784653851
35840 17.5 -0.00046128269554118
36352 17.75 -0.000466610313512852
36864 18 -0.000472452244118806
37376 18.25 -0.000484456236748519
37888 18.5 -0.000501456621842464
38400 18.75 -0.000518972591639644
38912 19 -0.000534218757952241
39424 19.25 -0.000545751499308725
39936 19.5 -0.00055322147704784
40448 19.75 -0.00056007918611291
40960 20 -0.000572051131351883
41472 20.25 -0.000590191679285524
41984 20.5 -0.000608992925409452
42496 20.75 -0.000623283471855606
43008 21 -0.000633447946912883
43520 21.25 -0.000642541344170757
44032 21.5 -0.000652492892209642
44544 21.75 -0.000664892784665011
45056 22 -0.000681128750294523
45568 22.25 -0.000699088838251545
46080 22.5 -0.000713228058389068
46592 22.75 -0.000720857224033788
47104 23 -0.000726163512091053
47616 23.25 -0.000735717131468406
48128 23.5 -0.000751504835671176
48640 23.75 -0.000769764942504145
49152 24 -0.000785171232513708
49664 24.25 -0.000795274125829461
50176 24.5 -0.000802417939452525
50688 24.75 -0.00081192183598094
51200 25 -0.000826815706913007
51712 25.25 -0.000844119066357217
52224 25.5 -0.000858103112445533
52736 25.75 -0.000867244293686176
53248 26 -0.00087565262776143
53760 26.25 -0.000887334656513627
54272 26.5 -0.000901727114542833
54784 26.75 -0.000915931301561067
55296 27 -0.000928826985040797
55808 27.25 -0.000941156335070411
56320 27.5 -0.000953333319304267
56832 27.75 -0.000965327853560794
57344 28 -0.000977826740716195
57856 28.25 -0.000991504573491931
58368 28.5 -0.00100534714072603
58880 28.75 -0.00101736083405099
59392 29 -0.0010272645274823
59904 29.25 -0.00103730556021049
60416 29.5 -0.00104977740549491
60928 29.75 -0.00106431931281302
61440 30 -0.00107830729931437
61952 30.25 -0.00108979417919356
62464 30.5 -0.00109961255772619
62976 30.75 -0.00111037730971763
63488 31 -0.00112353547603802
64000 31.25 -0.00113770491650232
64512 31.5 -0.00115022482239945
65024 31.75 -0.00116028928049459
65536 32 -0.0011699883068434
66048 32.25 -0.00118179072305185
66560 32.5 -0.00119543988094216
67072 32.75 -0.00120832894370297
67584 33 -0.00121903692112575
68096 33.25 -0.00122926157375392
68608 33.5 -0.00124137568869805
69120 33.75 -0.00125499806220386
69632 34 -0.0012674576854275
70144 34.25 -0.00127743029292536
70656 34.5 -0.00128656915511269
71168 34.75 -0.00129713362035003
71680 35 -0.00130929396166432
72192 35.25 -0.00132157063942228
72704 35.5 -0.00133298771651141
73216 35.75 -0.00134373595324443
73728 36 -0.00135418557811056
74240 36.25 -0.00136436030264365
74752 36.5 -0.00137446954996543
75264 36.75 -0.00138513800805981
75776 37 -0.00139664943152295
76288 37.25 -0.0014082559660668
76800 37.5 -0.00141869911485163
77312 37.75 -0.00142759947817977
77824 38 -0.00143615666445738
78336 38.25 -0.00144620501612476
78848 38.5 -0.00145814760049435
79360 38.75 -0.00147037855369112
79872 39 -0.00148111027787195
80384 39.25 -0.00149032621349592
80896 39.5 -0.00149955230034031
81408 39.75 -0.00151009517369489
81920 40 -0.00152218822600505
82432 40.25 -0.0015353905159049
82944 40.5 -0.00154870571798526
83456 40.75 -0.00156053047630021
83968 41 -0.00156989253406535
84480 41.25 -0.00157803001803749
84992 41.5 -0.00158760258328013
85504 41.75 -0.00159999541320297
86016 42 -0.00161427802220605
86528 42.25 -0.00162869268928578
87040 42.5 -0.00164183063074102
87552 42.75 -0.00165254790920261
88064 43 -0.00166077705869243
88576 43.25 -0.00166886173671017
89088 43.5 -0.00167995730501073
89600 43.75 -0.00169414511328934
90112 44 -0.00170798538986012
90624 44.25 -0.00171893094492074
91136 44.5 -0.00172822135583551
91648 44.75 -0.0017381203887631
92160 45 -0.00174844683978097
92672 45.25 -0.00175793112155703
93184 45.5 -0.00176734374036208
93696 45.75 -0.00177854365840444
94208 46 -0.00179098996687783
94720 46.25 -0.0018017879039115
95232 46.5 -0.00180956695759647
95744 46.75 -0.001816372099805
96256 47 -0.00182489354123079
96768 47.25 -0.00183513946175421
97280 47.5 -0.00184493988064131
97792 47.75 -0.0018531101950146
98304 48 -0.00186092630044496
98816 48.25 -0.00187020334046724
99328 48.5 -0.00188057410149418
99840 48.75 -0.00188946268454664
100352 49 -0.00189510144447008
100864 49.25 -0.00189918866898161
101376 49.5 -0.00190567893151577
101888 49.75 -0.00191647736168794
102400 50 -0.00192889371848378
102912 50.25 -0.00193816740257564
103424 50.5 -0.00194292374386167
103936 50.75 -0.00194676980572908
104448 51 -0.00195402899880079
104960 51.25 -0.00196496521876454
105472 51.5 -0.00197635980470483
105984 51.75 -0.00198585944423077
106496 52 -0.00199382662444256
107008 52.25 -0.00200116750225175
107520 52.5 -0.00200778948919547
108032 52.75 -0.00201415040797226
108544 53 -0.00202225341977798
109056 53.25 -0.00203323510306859
109568 53.5 -0.00204499055606118
110080 53.75 -0.00205409885287256
110592 54 -0.00205994993742273
111104 54.25 -0.00206554768857566
111616 54.5 -0.00207401332349521
112128 54.75 -0.00208521929445685
112640 55 -0.00209622749601898
113152 55.25 -0.00210459324862214
113664 55.5 -0.00211087647513103
114176 55.75 -0.00211778480603642
114688 56 -0.00212689130621717
115200 56.25 -0.0021368907396168
115712 56.5 -0.00214554937859912
116224 56.75 -0.00215301513639659
116736 57 -0.00216154240503993
117248 57.25 -0.00217189287834364
117760 57.5 -0.00218199672587394
118272 57.75 -0.00219017305662401
118784 58 -0.00219789195575256
119296 58.25 -0.00220733690524116
119808 58.5 -0.00221783301097189
120320 58.75 -0.00222652160596865
120832 59 -0.00223279089500273
121344 59.25 -0.00223945603153582
121856 59.5 -0.00224852216157806
122368 59.75 -0.0022579093355886
122880 60 -0.00226433709866122
123392 60.25 -0.00226829599293721
123904 60.5 -0.00227371056328054
124416 60.75 -0.00228257529420424
124928 61 -0.00229213147410871
125440 61.25 -0.00229845039726716
125952 61.5 -0.0023013680830719
126464 61.75 -0.00230439469378868
126976 62 -0.00231039387150377
127488 62.25 -0.00231870679979691
128000 62.5 -0.00232640228332088
128512 62.75 -0.00233136244538934
129024 63 -0.00233409254193465
129536 63.25 -0.00233709697273906
130048 63.5 -0.00234239226311237
130560 63.75 -0.00234932366904823
131072 64 -0.00235531638409339
131584 64.25 -0.00235907506550345
132096 64.5 -0.00236199512589048
132608 64.75 -0.00236564896898058
133120 65 -0.0023692838167547
133632 65.25 -0.00237147978349523
134144 65.5 -0.00237318177161339
134656 65.75 -0.00237663048499222
135168 66 -0.00238150436441045
135680 66.25 -0.00238474780328185
136192 66.5 -0.00238501918904046
136704 66.75 -0.00238558727583135
137216 67 -0.00238978920689961
137728 67.25 -0.00239736534007477
138240 67.5 -0.00240546571684788
138752 67.75 -0.00241232978514955
139264 68 -0.00241861207472857
139776 68.25 -0.00242577911047272
140288 68.5 -0.00243461628342443
140800 68.75 -0.00244506284324779
141312 69 -0.00245648621418778
141824 69.25 -0.0024681875999715
142336 69.5 -0.00248015156108721
142848 69.75 -0.00249293577448812
143360 70 -0.00250647145172189
143872 70.25 -0.00251976929358424
144384 70.5 -0.00253247948255348
144896 70.75 -0.00254585809156873
145408 71 -0.00256113199222192
145920 71.25 -0.00257756483587779
146432 71.5 -0.00259286970556074
146944 71.75 -0.00260593634671533
147456 72 -0.00261830191149789
147968 72.25 -0.00263087114925829
148480 72.5 -0.00264261591577592
148992 72.75 -0.00265238235212116
149504 73 -0.00266115240993508
150016 73.25 -0.00267131975936949
150528 73.5 -0.00268379129401076
151040 73.75 -0.00269661820914499
151552 74 -0.00270694927737324
152064 74.25 -0.00271420995147105
152576 74.5 -0.00272093490643186
153088 74.75 -0.00273014385388042
153600 75 -0.00274214792419113
154112 75.25 -0.00275461767621571
154624 75.5 -0.00276553058288565
155136 75.75 -0.00277499350643688
155648 76 -0.00278431853067741
156160 76.25 -0.00279342125255559
156672 76.5 -0.00280147751694337
157184 76.75 -0.00280928603381917
157696 77 -0.0028191868336282
158208 77.25 -0.00283200865935485
158720 77.5 -0.00284537384239379
159232 77.75 -0.00285606286598865
159744 78 -0.002863545656835
160256 78.25 -0.00287043704430092
160768 78.5 -0.00287976674633431
161280 78.75 -0.00289232293977491
161792 79 -0.00290633475962078
162304 79.25 -0.00291908949897683
162816 79.5 -0.00292888709723976
163328 79.75 -0.00293597554142308
163840 80 -0.00294195592539087
164352 80.25 -0.00294844832849117
164864 80.5 -0.00295618137038141
165376 80.75 -0.00296495515934087
165888 81 -0.00297374998612249
166400 81.25 -0.00298079822610823
166912 81.5 -0.00298442823344904
167424 81.75 -0.00298466652774883
167936 82 -0.00298383148860907
168448 82.25 -0.00298478298342673
168960 82.5 -0.0029876487524655
169472 82.75 -0.00298948155231948
169984 83 -0.00298713406327822
170496 83.25 -0.00297963329729239
171008 83.5 -0.00296941581147939
171520 83.75 -0.00295994934641169
172032 84 -0.00295260337375004
172544 84.25 -0.00294656578008996
173056 84.5 -0.00294034442796329
173568 84.75 -0.00293328801610576
174080 85 -0.00292548083424574
174592 85.25 -0.00291697913117198
175104 85.5 -0.0029083903904632
175616 85.75 -0.00290154850994498
176128 86 -0.00289832563728636
176640 86.25 -0.00289825288448704
177152 86.5 -0.00289832318461249
177664 86.75 -0.00289608317249136
178176 87 -0.00289280960818607
178688 87.25 -0.00289158529811545
179200 87.5 -0.00289337621185472
179712 87.75 -0.00289599119283375
180224 88 -0.00289705475578532
180736 88.25 -0.00289668180203192
181248 88.5 -0.00289652119417274
181760 88.75 -0.00289718875351344
182272 89 -0.00289782042097657
182784 89.25 -0.00289780073227132
183296 89.5 -0.00289773602598121
183808 89.75 -0.00289840629201002
184320 90 -0.0028995098774505
184832 90.25 -0.00290002161053605
185344 90.5 -0.00289952602912023
185856 90.75 -0.00289868028904942
186368 91 -0.00289831727484447
186880 91.25 -0.00289847572541981
187392 91.5 -0.00289858469592068
187904 91.75 -0.00289840981010554
