# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.31523532661537e-05
512 0.25 1.78034049126225e-05
1024 0.5 2.38534054807253e-05
1536 0.75 2.86830047454743e-05
2048 1 3.25081052501845e-05
2560 1.25 3.53878347897385e-05
3072 1.5 3.72293317589857e-05
3584 1.75 3.80984263263717e-05
4096 2 3.82723419027582e-05
4608 2.25 3.81318129317231e-05
5120 2.5 3.80194808393945e-05
5632 2.75 3.81415243812985e-05
6144 3 3.85299615526246e-05
6656 3.25 3.90735945360224e-05
7168 3.5 3.96003058092624e-05
7680 3.75 3.99616914919202e-05
8192 4 4.00947632752748e-05
8704 4.25 4.00420844048048e-05
9216 4.5 3.99155529128412e-05
9728 4.75 3.98409653126122e-05
10240 5 3.99037199230252e-05
10752 5.25 4.01101422341922e-05
11264 5.5 4.03895678464051e-05
11776 5.75 4.06413475805645e-05
12288 6 4.07973194444836e-05
12800 6.25 4.08465577046949e-05
13312 6.5 4.08273224207887e-05
13824 6.75 4.08034858136833e-05
14336 7 4.08383632566551e-05
14848 7.25 4.09659544701432e-05
15360 7.5 4.11654337718196e-05
15872 7.75 4.13760263660678e-05
16384 8 4.1537754206898e-05
16896 8.25 4.16248678534115e-05
17408 8.5 4.16568700114458e-05
17920 8.75 4.16756426195337e-05
18432 9 4.17168456392855e-05
18944 9.25 4.18006314386621e-05
19456 9.5 4.19319289872846e-05
19968 9.75 4.20938306338586e-05
20480 10 4.22503053027883e-05
20992 10.25 4.23676515920046e-05
21504 10.5 4.24332033576927e-05
22016 10.75 4.24672700067616e-05
22528 11 4.25141846570173e-05
23040 11.25 4.26081221931829e-05
23552 11.5 4.27482928214562e-05
24064 11.75 4.29079276107483e-05
24576 12 4.30648345556717e-05
25088 12.25 4.32062664996539e-05
25600 12.5 4.33202479044707e-05
26112 12.75 4.34082608888481e-05
26624 13 4.34930819176904e-05
27136 13.25 4.36034329631352e-05
27648 13.5 4.37523270144815e-05
28160 13.75 4.39279533475065e-05
28672 14 4.41055742093858e-05
29184 14.25 4.42659713573563e-05
29696 14.5 4.44070780163447e-05
30208 14.75 4.45422684966738e-05
30720 15 4.46805166474813e-05
31232 15.25 4.48195988538991e-05
31744 15.5 4.4962619483346e-05
32256 15.75 4.51244381708256e-05
32768 16 4.53119777741251e-05
33280 16.25 4.55100503270053e-05
33792 16.5 4.56965781015021e-05
34304 16.75 4.58648000360934e-05
34816 17 4.60236990116933e-05
35328 17.25 4.61806781802437e-05
35840 17.5 4.63403429971395e-05
36352 17.75 4.65130780146585e-05
36864 18 4.67107201256783e-05
37376 18.25 4.69323924890708e-05
37888 18.5 4.71624330225903e-05
38400 18.75 4.73822776121853e-05
38912 19 4.75815541596909e-05
39424 19.25 4.77672052271051e-05
39936 19.5 4.79619215918991e-05
40448 19.75 4.81820544390167e-05
40960 20 4.84246045829499e-05
41472 20.25 4.86721774777655e-05
41984 20.5 4.89082014765939e-05
42496 20.75 4.91282581577535e-05
43008 21 4.93379884158559e-05
43520 21.25 4.95512863167509e-05
44032 21.5 4.97843590300619e-05
44544 21.75 5.00451297405507e-05
45056 22 5.03265067165091e-05
45568 22.25 5.06108645118961e-05
46080 22.5 5.08831020809237e-05
46592 22.75 5.1137288645944e-05
47104 23 5.13779307124378e-05
47616 23.25 5.16161874830897e-05
48128 23.5 5.18580109996298e-05
48640 23.75 5.21007760330849e-05
49152 24 5.23460593994153e-05
49664 24.25 5.26072232418601e-05
50176 24.5 5.28974428628304e-05
50688 24.75 5.32087680845912e-05
51200 25 5.35131225419312e-05
51712 25.25 5.37898679882474e-05
52224 25.5 5.40420094149693e-05
52736 25.75 5.42874422613875e-05
53248 26 5.45414257119114e-05
53760 26.25 5.48067963000169e-05
54272 26.5 5.50796326460284e-05
54784 26.75 5.53596027991522e-05
55296 27 5.56522400222091e-05
55808 27.25 5.59580499816912e-05
56320 27.5 5.62635680027476e-05
56832 27.75 5.65564197377357e-05
57344 28 5.68362898723015e-05
57856 28.25 5.71085658814328e-05
58368 28.5 5.73793555083263e-05
58880 28.75 5.76547717625645e-05
59392 29 5.79405434830618e-05
59904 29.25 5.82351317444894e-05
60416 29.5 5.85325648323006e-05
60928 29.75 5.88328678193415e-05
61440 30 5.91376685156121e-05
61952 30.25 5.94432153831262e-05
62464 30.5 5.97411799344976e-05
62976 30.75 6.00283954201707e-05
63488 31 6.03108475457944e-05
64000 31.25 6.05950718636642e-05
64512 31.5 6.08847270179608e-05
65024 31.75 6.11818338973306e-05
65536 32 6.14882952505576e-05
66048 32.25 6.1802781386718e-05
66560 32.5 6.21158811441583e-05
67072 32.75 6.24174489545974e-05
67584 33 6.27077943387114e-05
68096 33.25 6.29978154785802e-05
68608 33.5 6.32938605983597e-05
69120 33.75 6.35916302714824e-05
