# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.08877222157266e-05 1.0887722215709e-05 1.08877222156914e-05
1024 0.5 1.52792523902053e-05 1.52792523902156e-05 1.5279252390196e-05
1536 0.75 1.58349862018148e-05 1.58349862017923e-05 1.58349862017685e-05
2048 1 9.41691401608487e-06 9.41691401608133e-06 9.41691401609545e-06
2560 1.25 9.49575064518824e-06 9.4957506451988e-06 9.49575064510137e-06
3072 1.5 1.27183688894952e-05 1.27183688894669e-05 1.27183688893751e-05
3584 1.75 1.37048565037386e-05 1.37048565037487e-05 1.37048565037589e-05
4096 2 1.49629540285346e-05 1.49629540285462e-05 1.49629540285578e-05
4608 2.25 1.53696648588767e-05 1.53696648588814e-05 1.53696648588867e-05
5120 2.5 1.48069357901856e-05 1.48069357901899e-05 1.48069357901951e-05
5632 2.75 1.64953663091255e-05 1.64953663096825e-05 1.64953663081291e-05
6144 3 1.6518329107454e-05 1.65183291074792e-05 1.65183291055273e-05
6656 3.25 1.95681058900771e-05 1.95681058873744e-05 1.95681058914248e-05
7168 3.5 2.72751629656048e-05 2.72751629698511e-05 2.72751629563741e-05
7680 3.75 2.60940071583232e-05 2.60940071494739e-05 2.60940071343576e-05
8192 4 1.87398199971682e-05 1.87398200144033e-05 1.87398205077473e-05
8704 4.25 2.31003546291314e-05 2.31003548598576e-05 2.31003558221876e-05
9216 4.5 1.93276865759748e-05 1.93276861607241e-05 1.93276864419542e-05
9728 4.75 2.55871930752549e-05 2.55871932892513e-05 2.55871912784261e-05
10240 5 1.89780808561933e-05 1.89780815020146e-05 1.89780783009884e-05
10752 5.25 1.88462980058563e-05 1.88462857637604e-05 1.88462957030984e-05
11264 5.5 2.05966354822364e-05 2.05966079545266e-05 2.05966273643405e-05
11776 5.75 1.5935929914798e-05 1.59359298130536e-05 1.59359342422405e-05
12288 6 2.27176246241332e-05 2.27176037348556e-05 2.27176220832657e-05
12800 6.25 2.21601781667111e-05 2.21601705772669e-05 2.21601788978128e-05
13312 6.5 2.07675785840846e-05 2.07676018991721e-05 2.07675853092987e-05
13824 6.75 2.19987752849669e-05 2.1998839747777e-05 2.19987871450708e-05
14336 7 1.48145375665853e-05 1.48145576481781e-05 1.48145354398885e-05
14848 7.25 1.6906007686371e-05 1.69060097707223e-05 1.69059866817751e-05
15360 7.5 1.36648165162918e-05 1.3664821497496e-05 1.36648244380932e-05
15872 7.75 1.67134257100288e-05 1.67134166675141e-05 1.67134266059316e-05
16384 8 2.11020745321326e-05 2.11020359150501e-05 2.11020512494034e-05
16896 8.25 1.40700940484978e-05 1.40700940470924e-05 1.40700858050894e-05
17408 8.5 1.8791781799219e-05 1.87917888488549e-05 1.87917748906137e-05
17920 8.75 1.32101764370295e-05 1.32101779751998e-05 1.32101524525326e-05
18432 9 1.24049110290297e-05 1.24049237946779e-05 1.24049076460823e-05
18944 9.25 1.39335085903291e-05 1.39335085770414e-05 1.39335085858752e-05
19456 9.5 1.62948099282058e-05 1.62948099125637e-05 1.62948099195836e-05
19968 9.75 1.67003534063404e-05 1.67003533975251e-05 1.67003534002183e-05
20480 10 1.72025258680217e-05 1.72025258641415e-05 1.72025258763983e-05
20992 10.25 1.8248002603758e-05 1.82480026176465e-05 1.82480026052113e-05
21504 10.5 2.01683269746152e-05 2.01683269889119e-05 2.01683270059666e-05
22016 10.75 2.10111279806541e-05 2.10111279824276e-05 2.10111280762764e-05
22528 11 2.32658870297612e-05 2.3265887018707e-05 2.32658867280914e-05
23040 11.25 2.50148448047459e-05 2.50148447982044e-05 2.50148443968981e-05
23552 11.5 2.6091440014854e-05 2.60914400411752e-05 2.6091440403127e-05
24064 11.75 2.85803092687423e-05 2.85803093262888e-05 2.8580308624992e-05
24576 12 2.96819436054179e-05 2.96819436870635e-05 2.96819439642406e-05
25088 12.25 2.91600231387176e-05 2.9160023543793e-05 2.91600191399402e-05
25600 12.5 2.80157485201923e-05 2.80157491103344e-05 2.8015741634242e-05
26112 12.75 2.56726347426706e-05 2.56726343786229e-05 2.56726268406809e-05
26624 13 2.56227429816617e-05 2.56227445361312e-05 2.56227212983416e-05
27136 13.25 2.38803082676497e-05 2.38803064254113e-05 2.38802836333437e-05
27648 13.5 2.19315802350213e-05 2.19315739137936e-05 2.19315647975126e-05
28160 13.75 2.36385170001309e-05 2.36385178852048e-05 2.36385152354916e-05
28672 14 2.39606197348958e-05 2.39606197297578e-05 2.39606198659613e-05
29184 14.25 2.55394937901503e-05 2.55394939639178e-05 2.55394912402142e-05
29696 14.5 2.68831966886335e-05 2.68831972028103e-05 2.68831931185537e-05
30208 14.75 2.70285460261793e-05 2.70285464944126e-05 2.70285465913762e-05
30720 15 2.60549391652995e-05 2.60549391564973e-05 2.60549449162186e-05
31232 15.25 2.33931783961888e-05 2.33931771554324e-05 2.33931804392612e-05
31744 15.5 2.02175323363703e-05 2.02175336321238e-05 2.02175357851484e-05
32256 15.75 2.14377698913178e-05 2.14377830984855e-05 2.14376767067025e-05
32768 16 2.33378728558116e-05 2.33378486992423e-05 2.3337799415655e-05
33280 16.25 2.56657557097795e-05 2.56657626622351e-05 2.56657822477742e-05
33792 16.5 2.7539950037276e-05 2.7539951064954e-05 2.75399457923323e-05
34304 16.75 2.45981600882073e-05 2.4598150593072e-05 2.45981266783759e-05
34816 17 1.93116765532793e-05 1.93117168657085e-05 1.93117334900239e-05
35328 17.25 2.17001771105595e-05 2.1700178293647e-05 2.17001526216595e-05
35840 17.5 2.01845965524087e-05 2.01846006486764e-05 2.01846092398213e-05
36352 17.75 2.04100006291012e-05 2.04102903994533e-05 2.04104131794449e-05
36864 18 2.43734710252559e-05 2.43726770217133e-05 2.43735087895182e-05
37376 18.25 2.64072489433236e-05 2.64061946930551e-05 2.640710617763e-05
37888 18.5 2.51088129575876e-05 2.51073970043234e-05 2.510824575565e-05
38400 18.75 2.6379987865555e-05 2.63784699106052e-05 2.63795598598579e-05
38912 19 2.35790543171186e-05 2.35775609959686e-05 2.35789467554831e-05
39424 19.25 2.36214635527582e-05 2.36230355629115e-05 2.3623167637851e-05
39936 19.5 2.77845298022005e-05 2.77878693238495e-05 2.77850654583145e-05
40448 19.75 3.11506457959239e-05 3.11550165194554e-05 3.11517706152765e-05
40960 20 3.1450059928782e-05 3.14585867597822e-05 3.14502040929076e-05
41472 20.25 3.06373109958498e-05 3.0615126576459e-05 3.06374488832022e-05
41984 20.5 2.80003340824354e-05 2.79754110168934e-05 2.80005158536531e-05
42496 20.75 2.33042949147139e-05 2.33011969718221e-05 2.33047246099307e-05
43008 21 2.36716675307144e-05 2.36698794712162e-05 2.36739053244628e-05
43520 21.25 2.54555901851683e-05 2.54520482247455e-05 2.54555753827928e-05
44032 21.5 2.49326783924186e-05 2.49287142663056e-05 2.49328196569187e-05
44544 21.75 2.35357408091243e-05 2.35305497910061e-05 2.35364774728813e-05
45056 22 2.15315308546459e-05 2.15311029595669e-05 2.15311315798552e-05
45568 22.25 2.13190667025095e-05 2.1318650610478e-05 2.13192119697617e-05
46080 22.5 1.969869289863e-05 1.9694473937075e-05 1.96950207377442e-05
