# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 3.17674832813759e-07 3.17674832822927e-07 3.17674832831251e-07
1024 0.5 5.42456500771439e-07 5.4245650101989e-07 5.4245650121823e-07
1536 0.75 8.62300946722966e-07 8.62300946243625e-07 8.62300945941825e-07
2048 1 1.27771504156923e-06 1.27771504184852e-06 1.27771504181918e-06
2560 1.25 1.77086682679904e-06 1.77086682662353e-06 1.77086682700031e-06
3072 1.5 2.19332179563854e-06 2.19332179604911e-06 2.19332179608276e-06
3584 1.75 2.44024719792775e-06 2.4402471979097e-06 2.4402471975965e-06
4096 2 2.49988184503876e-06 2.49988184414213e-06 2.49988184433241e-06
4608 2.25 2.42395989202721e-06 2.42395989239287e-06 2.42395989185405e-06
5120 2.5 2.3334916913138e-06 2.33349169091759e-06 2.33349168997916e-06
5632 2.75 2.33980584796807e-06 2.33980584956266e-06 2.33980584682581e-06
6144 3 2.44561160268215e-06 2.4456116029632e-06 2.44561160655486e-06
6656 3.25 2.55458698157823e-06 2.55458698126195e-06 2.55458698398026e-06
7168 3.5 2.59257479068958e-06 2.59257478561829e-06 2.59257479268143e-06
7680 3.75 2.5691675800101e-06 2.56916758751469e-06 2.56916758024602e-06
8192 4 2.54459651625739e-06 2.54459652315519e-06 2.54459651352172e-06
8704 4.25 2.55774451181099e-06 2.55774452607782e-06 2.55774453059929e-06
9216 4.5 2.59517473421731e-06 2.59517475252535e-06 2.59517474783039e-06
9728 4.75 2.62159834510992e-06 2.62159834766454e-06 2.62159834782469e-06
10240 5 2.61815763924975e-06 2.61815764210104e-06 2.61815764600807e-06
10752 5.25 2.59834000919731e-06 2.59834003299548e-06 2.59834003461905e-06
11264 5.5 2.57787476726604e-06 2.5778747672771e-06 2.57787474071154e-06
11776 5.75 2.56263923272493e-06 2.56263925498912e-06 2.56263923019196e-06
12288 6 2.54861566048725e-06 2.54861567056008e-06 2.54861567089476e-06
12800 6.25 2.53073598819505e-06 2.53073599370076e-06 2.5307360020868e-06
13312 6.5 2.50543929032187e-06 2.50543929877942e-06 2.50543933190208e-06
13824 6.75 2.47237362292541e-06 2.47237365831543e-06 2.47237366501837e-06
14336 7 2.43881433979e-06 2.43881438639315e-06 2.43881434414002e-06
14848 7.25 2.41027932678527e-06 2.41027939021513e-06 2.4102793523162e-06
15360 7.5 2.38937428816033e-06 2.38937429879674e-06 2.3893743101474e-06
15872 7.75 2.37592977108408e-06 2.37592977619774e-06 2.37592980214022e-06
16384 8 2.36599780501053e-06 2.36599778897743e-06 2.36599783568096e-06
16896 8.25 2.35579083608812e-06 2.35579079019303e-06 2.35579085198304e-06
17408 8.5 2.33978640903118e-06 2.33978634620047e-06 2.33978641192288e-06
17920 8.75 2.32222589339188e-06 2.32222580290866e-06 2.32222593881089e-06
18432 9 2.31000823205928e-06 2.31000813340332e-06 2.31000823177361e-06
18944 9.25 2.30770643718179e-06 2.30770640515664e-06 2.30770647231172e-06
19456 9.5 2.31186182299201e-06 2.31186180026154e-06 2.31186185037738e-06
19968 9.75 2.31192335410593e-06 2.31192341704933e-06 2.31192338233391e-06
20480 10 2.30836774843864e-06 2.30836777074255e-06 2.30836776390033e-06
20992 10.25 2.30849001093826e-06 2.30849004848529e-06 2.30849013217619e-06
21504 10.5 2.31270762507988e-06 2.31270756377415e-06 2.3127078601215e-06
22016 10.75 2.31694722372345e-06 2.31694714824869e-06 2.31694733823972e-06
22528 11 2.31549903869626e-06 2.31549895291066e-06 2.31549911779023e-06
23040 11.25 2.30390850407895e-06 2.30390848580801e-06 2.3039086698343e-06
23552 11.5 2.28342339156418e-06 2.28342343790296e-06 2.28342363663628e-06
24064 11.75 2.26122238269212e-06 2.26122237222361e-06 2.26122254431417e-06
24576 12 2.24724014132988e-06 2.24724005283884e-06 2.24724022917268e-06
25088 12.25 2.243449794979e-06 2.24344990624106e-06 2.24345005858479e-06
25600 12.5 2.23838618867703e-06 2.23838632122979e-06 2.23838648285943e-06
26112 12.75 2.21796011813499e-06 2.21796000391992e-06 2.2179601049239e-06
26624 13 2.18061872923526e-06 2.18061844336844e-06 2.18061849937694e-06
27136 13.25 2.13191751561245e-06 2.13191743391247e-06 2.13191728137832e-06
27648 13.5 2.08251094637181e-06 2.08251093271476e-06 2.0825110421757e-06
28160 13.75 2.05249599637025e-06 2.05249610502265e-06 2.05249666943077e-06
28672 14 2.04823923180311e-06 2.04823915897521e-06 2.04823934107436e-06
29184 14.25 2.05546382888273e-06 2.0554636695851e-06 2.05546307678514e-06
29696 14.5 2.05847572374691e-06 2.05847585606133e-06 2.05847553072256e-06
30208 14.75 2.0462568636823e-06 2.04625734611889e-06 2.04625764616808e-06
30720 15 2.01883388592415e-06 2.01883406579681e-06 2.01883363888714e-06
31232 15.25 1.98698032041828e-06 1.9869796608983e-06 1.98697875308097e-06
31744 15.5 1.96381083788828e-06 1.96381018534739e-06 1.96380985351512e-06
32256 15.75 1.95743512967471e-06 1.95743530599024e-06 1.95743567603719e-06
32768 16 1.96681604236457e-06 1.96681677843049e-06 1.96681688588876e-06
33280 16.25 1.98705305512747e-06 1.98705311630654e-06 1.9870530423065e-06
33792 16.5 2.0112419218664e-06 2.01124141847391e-06 2.01124175874082e-06
34304 16.75 2.03857150521736e-06 2.03857183472953e-06 2.03857315120094e-06
34816 17 2.07174603572768e-06 2.07174787786554e-06 2.07174965887153e-06
35328 17.25 2.10543167011772e-06 2.10543396563019e-06 2.10543527410256e-06
35840 17.5 2.13445002273698e-06 2.13445135252344e-06 2.13445286131176e-06
36352 17.75 2.16499058793834e-06 2.16499067647857e-06 2.16499273011114e-06
36864 18 2.20294161237067e-06 2.20294061408578e-06 2.20294262615941e-06
37376 18.25 2.25055066484473e-06 2.250548942053e-06 2.25055061271214e-06
37888 18.5 2.30201964085515e-06 2.30201736560904e-06 2.30201903989755e-06
38400 18.75 2.34950650014677e-06 2.34950304183731e-06 2.34950523962342e-06
38912 19 2.3906403968678e-06 2.39063627816494e-06 2.39063927922973e-06
39424 19.25 2.42683160539982e-06 2.42682831468284e-06 2.42683116817351e-06
39936 19.5 2.46319604268971e-06 2.46319515244033e-06 2.46319656591913e-06
40448 19.75 2.50323876066109e-06 2.50324113471858e-06 2.50323977785564e-06
40960 20 2.54390639819873e-06 2.54391064982712e-06 2.54390678191527e-06
