# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 21:18:01+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-19.17.52-432220
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.13877500338505e-05 1.13877500338766e-05 1.13877500339027e-05
1024 0.5 1.60410251547885e-05 1.60410251548165e-05 1.6041025154818e-05
1536 0.75 1.73420180464964e-05 1.73420180465016e-05 1.73420180464875e-05
2048 1 1.38333917101391e-05 1.38333917101687e-05 1.38333917101984e-05
2560 1.25 1.46534120416465e-05 1.46534120416736e-05 1.46534120416995e-05
3072 1.5 1.7588076723696e-05 1.75880767237212e-05 1.7588076723751e-05
3584 1.75 2.14355370098635e-05 2.1435537009793e-05 2.14355370098213e-05
4096 2 2.21268369698271e-05 2.21268369698504e-05 2.21268369697962e-05
4608 2.25 2.3717415125574e-05 2.37174151255512e-05 2.37174151255091e-05
5120 2.5 2.59240713274639e-05 2.59240713275387e-05 2.59240713276613e-05
5632 2.75 2.7996711718541e-05 2.79967117186657e-05 2.79967117183327e-05
6144 3 3.07310483589054e-05 3.0731048358855e-05 3.07310483587516e-05
6656 3.25 3.22820850474266e-05 3.22820850473694e-05 3.22820850471543e-05
7168 3.5 3.26391367276205e-05 3.26391367275333e-05 3.26391367274692e-05
7680 3.75 3.28737989716601e-05 3.28737989721532e-05 3.28737989716794e-05
8192 4 3.35004149919564e-05 3.35004149949327e-05 3.35004149911765e-05
8704 4.25 3.39060948158707e-05 3.39060948202611e-05 3.3906094816369e-05
9216 4.5 3.44683412973556e-05 3.44683412952192e-05 3.44683412961285e-05
9728 4.75 3.59153567676201e-05 3.59153567659427e-05 3.59153567670504e-05
10240 5 3.68842884673146e-05 3.68842884678455e-05 3.68842884677161e-05
10752 5.25 3.69434330712977e-05 3.6943433074125e-05 3.69434330719268e-05
11264 5.5 3.60023641044159e-05 3.60023641069512e-05 3.60023641070784e-05
11776 5.75 3.53407870771318e-05 3.53407870764353e-05 3.5340787081819e-05
12288 6 3.42455354578841e-05 3.42455354600889e-05 3.42455354568902e-05
12800 6.25 3.21140363193525e-05 3.21140363233919e-05 3.21140363136272e-05
13312 6.5 2.91849759063531e-05 2.91849759095271e-05 2.91849759018603e-05
13824 6.75 2.9850714335266e-05 2.98507143348007e-05 2.98507143320464e-05
14336 7 3.01506963857647e-05 3.01506694257099e-05 3.01506872877603e-05
14848 7.25 2.59857346705453e-05 2.59857346741688e-05 2.5985734673895e-05
15360 7.5 2.42735780186189e-05 2.42735780191732e-05 2.42735780215848e-05
15872 7.75 2.46218243417655e-05 2.4621824332467e-05 2.46218243442065e-05
16384 8 2.41858654705331e-05 2.41858654665061e-05 2.41858654978773e-05
16896 8.25 2.96654011130236e-05 2.96654081521649e-05 2.96654151861183e-05
17408 8.5 2.77767299130851e-05 2.77767400493573e-05 2.77767378654623e-05
17920 8.75 2.91516603622815e-05 2.91516525209801e-05 2.91516735354831e-05
