# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.6 0.669994538540317
1024 1.2 0.670391064755109
1536 1.8 0.671023102258503
2048 2.4 0.671819762599796
2560 3 0.67268461008637
3072 3.6 0.673522628626917
3584 4.2 0.674261138930154
4096 4.8 0.674854803857268
4608 5.4 0.675277475460211
5120 6 0.67551198887104
5632 6.6 0.6755483574077
6144 7.2 0.67539155684801
6656 7.8 0.675074100239634
7168 8.4 0.674656564216565
7680 9 0.674202018441132
8192 9.6 0.673740280064435
8704 10.2 0.673256948271229
9216 10.8 0.672723261428693
9728 11.4 0.67213841308484
10240 12 0.671538739535311
10752 12.6 0.670964325823329
11264 13.2 0.670421450900027
11776 13.8 0.669880493628535
12288 14.4 0.669307109576395
12800 15 0.668692354471824
13312 15.6 0.668053836210069
13824 16.2 0.667413204205067
14336 16.8 0.666775929231885
14848 17.4 0.666131203320339
15360 18 0.665465392975801
15872 18.6 0.664770971742537
16384 19.2 0.664047607496244
16896 19.8 0.663305280977444
17408 20.4 0.662566180921025
17920 21 0.661851251930616
18432 21.6 0.661160485612873
18944 22.2 0.660477139515755
19456 22.8 0.659796604810845
19968 23.4 0.659136807786574
20480 24 0.658507937444096
20992 24.6 0.657883204128831
21504 25.2 0.657217706112555
22016 25.8 0.65649515671378
22528 26.4 0.655743211698326
23040 27 0.655002329208079
23552 27.6 0.65428947094763
24064 28.2 0.65359144738561
24576 28.8 0.652881164602035
25088 29.4 0.652135416653902
25600 30 0.651347101151164
26112 30.6 0.650530677098621
26624 31.2 0.649713849790369
27136 31.8 0.648915519051841
27648 32.4 0.648128305089992
28160 33 0.647325238167948
28672 33.6 0.64648683871524
29184 34.2 0.645621884907158
29696 34.8 0.644760436557535
30208 35.4 0.643925705627603
30720 36 0.643112489232498
31232 36.6 0.642293679784008
31744 37.2 0.641448738830692
32256 37.8 0.640585680467042
32768 38.4 0.639733739087727
33280 39 0.638913848612112
33792 39.6 0.638118149975171
34304 40.2 0.637320631522824
34816 40.8 0.636506635815478
35328 41.4 0.635687793758403
35840 42 0.634886444290363
36352 42.6 0.634109557182744
36864 43.2 0.633343136897739
37376 43.8 0.632571324741989
37888 44.4 0.631794434757796
38400 45 0.631024380756517
38912 45.6 0.630266656545013
39424 46.2 0.629512884588024
39936 46.8 0.628752438308956
40448 47.4 0.627986652655173
40960 48 0.627227090029196
41472 48.6 0.626481372109765
41984 49.2 0.625745288082683
42496 49.8 0.625010393127429
43008 50.4 0.624276443768682
43520 51 0.623552773325995
44032 51.6 0.622847725242231
44544 52.2 0.622161195081971
45056 52.8 0.621487382497217
45568 53.4 0.620823834264562
46080 54 0.62017543604665
46592 54.6 0.619547801283757
47104 55.2 0.618939964340987
47616 55.8 0.618347743930398
48128 56.4 0.617772126647074
48640 57 0.61721871397295
49152 57.6 0.616688977472548
49664 58.2 0.616177963865807
50176 58.8 0.61568359909741
50688 59.4 0.615213662705871
51200 60 0.61477770780654
51712 60.6 0.614373793221286
52224 61.2 0.613989793890939
52736 61.8 0.613619222922367
53248 62.4 0.613269919762845
53760 63 0.612952805932653
54272 63.6 0.612666212026973
54784 64.2 0.612397690744348
55296 64.8 0.612140949005091
55808 65.4 0.611905588950374
