# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.6 -1.07927522198093e-06 -1.07927522198093e-06 -1.07927522198084e-06
1024 1.2 -3.50655841722274e-06 -3.50655841722278e-06 -3.50655841722277e-06
1536 1.8 -8.59660174401179e-06 -8.59660174401175e-06 -8.59660174401132e-06
2048 2.4 -1.41647452223038e-05 -1.41647452223038e-05 -1.41647452223023e-05
2560 3 -1.6920606401088e-05 -1.6920606401088e-05 -1.69206064010848e-05
3072 3.6 -1.98414493448435e-05 -1.98414493448435e-05 -1.9841449344837e-05
3584 4.2 -2.40674496111248e-05 -2.40674496111248e-05 -2.40674496111181e-05
4096 4.8 -3.03579255039942e-05 -3.03579255039943e-05 -3.0357925503997e-05
4608 5.4 -3.48859276413285e-05 -3.48859276413287e-05 -3.48859276413433e-05
5120 6 -4.19336543001496e-05 -4.19336543001498e-05 -4.19336543001265e-05
5632 6.6 -4.63271301966475e-05 -4.6327130196648e-05 -4.63271301965843e-05
6144 7.2 -4.77149414922812e-05 -4.7714941492272e-05 -4.77149414922544e-05
6656 7.8 -4.95333610457239e-05 -4.95333610457241e-05 -4.95333610456092e-05
7168 8.4 -5.05651622125453e-05 -5.05651622125113e-05 -5.05651622125547e-05
7680 9 -5.56193442753402e-05 -5.56193442752818e-05 -5.56193442754867e-05
8192 9.6 -5.52130133424393e-05 -5.52130133423262e-05 -5.52130133425563e-05
8704 10.2 -5.22903632839504e-05 -5.22903632840469e-05 -5.22903632839488e-05
9216 10.8 -4.89301063176606e-05 -4.89301063176027e-05 -4.89301063178879e-05
9728 11.4 -4.40741597600198e-05 -4.40741597600582e-05 -4.40741597601368e-05
10240 12 -4.27857449583963e-05 -4.27857449583607e-05 -4.27857449582863e-05
10752 12.6 -4.18681413735254e-05 -4.18681413732852e-05 -4.18681413736357e-05
11264 13.2 -3.97822230136478e-05 -3.97822230136326e-05 -3.97822230136539e-05
11776 13.8 -3.8955275312559e-05 -3.89552753126705e-05 -3.89552753126397e-05
12288 14.4 -3.79028079636482e-05 -3.7902807963719e-05 -3.7902807963462e-05
12800 15 -3.64098437943302e-05 -3.64098437942844e-05 -3.64098437942268e-05
13312 15.6 -3.54326488080969e-05 -3.54326488079026e-05 -3.54326488084798e-05
13824 16.2 -3.38495089969401e-05 -3.38495089970327e-05 -3.38495089969377e-05
14336 16.8 -3.31631746893298e-05 -3.31631746895088e-05 -3.31631746896153e-05
14848 17.4 -3.24492006989872e-05 -3.24492006989901e-05 -3.24492006989523e-05
15360 18 -3.1853155863304e-05 -3.1853155863487e-05 -3.18531558632802e-05
15872 18.6 -3.12923566822785e-05 -3.12923566822956e-05 -3.12923566822746e-05
16384 19.2 -3.08522272106734e-05 -3.08522272108917e-05 -3.08522272110315e-05
16896 19.8 -3.0285248813396e-05 -3.02852488133359e-05 -3.02852488134529e-05
17408 20.4 -2.97161062103938e-05 -2.97161062105488e-05 -2.97161062101848e-05
17920 21 -2.92727525431395e-05 -2.92727525429994e-05 -2.92727525429971e-05
18432 21.6 -2.81558873182145e-05 -2.81558873181783e-05 -2.81558873181566e-05
18944 22.2 -2.68794098063223e-05 -2.68794098063838e-05 -2.68794098064011e-05
19456 22.8 -2.61520643526368e-05 -2.61520643525296e-05 -2.61520643525485e-05
19968 23.4 -2.50377553144448e-05 -2.5037755314585e-05 -2.5037755314483e-05
20480 24 -2.35224340905386e-05 -2.35224340906623e-05 -2.35224340905318e-05
20992 24.6 -2.24022968437487e-05 -2.24022968436361e-05 -2.24022968436049e-05
21504 25.2 -2.13030252925497e-05 -2.13030252924872e-05 -2.1303025292578e-05
