# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 8.99999999999999e-09
512 0.6 8.99999999999999e-09
1024 1.2 8.99999999999999e-09
1536 1.8 8.99999999999999e-09
2048 2.4 8.99999999999999e-09
2560 3 8.99999999999999e-09
3072 3.6 8.99999999999999e-09
3584 4.2 8.99999999999999e-09
4096 4.8 8.99999999999999e-09
4608 5.4 8.99999999999999e-09
5120 6 8.99999999999999e-09
5632 6.6 8.99999999999999e-09
6144 7.2 8.99999999999999e-09
6656 7.8 8.99999999999999e-09
7168 8.4 8.99999999999999e-09
7680 9 8.99999999999999e-09
8192 9.6 8.99999999999999e-09
8704 10.2 8.99999999999999e-09
9216 10.8 8.99999999999999e-09
9728 11.4 8.99999999999999e-09
10240 12 8.99999999999999e-09
10752 12.6 8.99999999999999e-09
11264 13.2 8.99999999999999e-09
11776 13.8 8.99999999999999e-09
12288 14.4 8.99999999999999e-09
12800 15 8.99999999999999e-09
13312 15.6 8.99999999999999e-09
13824 16.2 8.99999999999999e-09
14336 16.8 8.99999999999999e-09
14848 17.4 8.99999999999999e-09
15360 18 8.99999999999999e-09
15872 18.6 8.99999999999999e-09
16384 19.2 8.99999999999999e-09
16896 19.8 8.99999999999999e-09
17408 20.4 8.99999999999999e-09
17920 21 8.99999999999999e-09
18432 21.6 8.99999999999999e-09
18944 22.2 8.99999999999999e-09
19456 22.8 8.99999999999999e-09
19968 23.4 8.99999999999999e-09
20480 24 8.99999999999999e-09
20992 24.6 8.99999999999999e-09
21504 25.2 8.99999999999999e-09
22016 25.8 8.99999999999999e-09
22528 26.4 8.99999999999999e-09
23040 27 8.99999999999999e-09
23552 27.6 8.99999999999999e-09
24064 28.2 8.99999999999999e-09
24576 28.8 8.99999999999999e-09
25088 29.4 8.99999999999999e-09
25600 30 8.99999999999999e-09
26112 30.6 8.99999999999999e-09
26624 31.2 8.99999999999999e-09
27136 31.8 8.99999999999999e-09
27648 32.4 8.99999999999999e-09
28160 33 8.99999999999999e-09
28672 33.6 8.99999999999999e-09
29184 34.2 8.99999999999999e-09
29696 34.8 8.99999999999999e-09
30208 35.4 8.99999999999999e-09
30720 36 8.99999999999999e-09
31232 36.6 8.99999999999999e-09
31744 37.2 8.99999999999999e-09
32256 37.8 8.99999999999999e-09
32768 38.4 8.99999999999999e-09
33280 39 8.99999999999999e-09
33792 39.6 8.99999999999999e-09
34304 40.2 8.99999999999999e-09
34816 40.8 8.99999999999999e-09
35328 41.4 8.99999999999999e-09
35840 42 8.99999999999999e-09
36352 42.6 8.99999999999999e-09
36864 43.2 8.99999999999999e-09
37376 43.8 8.99999999999999e-09
37888 44.4 8.99999999999999e-09
38400 45 8.99999999999999e-09
38912 45.6 8.99999999999999e-09
39424 46.2 8.99999999999999e-09
39936 46.8 8.99999999999999e-09
40448 47.4 8.99999999999999e-09
40960 48 8.99999999999999e-09
41472 48.6 8.99999999999999e-09
41984 49.2 8.99999999999999e-09
42496 49.8 8.99999999999999e-09
43008 50.4 8.99999999999999e-09
43520 51 8.99999999999999e-09
44032 51.6 8.99999999999999e-09
44544 52.2 8.99999999999999e-09
45056 52.8 8.99999999999999e-09
45568 53.4 8.99999999999999e-09
46080 54 8.99999999999999e-09
46592 54.6 8.99999999999999e-09
47104 55.2 8.99999999999999e-09
47616 55.8 8.99999999999999e-09
48128 56.4 8.99999999999999e-09
48640 57 8.99999999999999e-09
49152 57.6 8.99999999999999e-09
49664 58.2 8.99999999999999e-09
50176 58.8 8.99999999999999e-09
50688 59.4 8.99999999999999e-09
51200 60 8.99999999999999e-09
51712 60.6 8.99999999999999e-09
52224 61.2 8.99999999999999e-09
52736 61.8 8.99999999999999e-09
53248 62.4 8.99999999999999e-09
53760 63 8.99999999999999e-09
54272 63.6 8.99999999999999e-09
54784 64.2 8.99999999999999e-09
55296 64.8 8.99999999999999e-09
55808 65.4 8.99999999999999e-09
56320 66 8.99999999999999e-09
56832 66.6 8.99999999999999e-09
57344 67.2 8.99999999999999e-09
57856 67.8 8.99999999999999e-09
58368 68.4 8.99999999999999e-09
58880 69 8.99999999999999e-09
59392 69.6 8.99999999999999e-09
59904 70.2 8.99999999999999e-09
60416 70.8 8.99999999999999e-09
60928 71.4 8.99999999999999e-09
61440 72 8.99999999999999e-09
61952 72.6 8.99999999999999e-09
62464 73.2 8.99999999999999e-09
62976 73.8 8.99999999999999e-09
63488 74.4 8.99999999999999e-09
64000 75 8.99999999999999e-09
64512 75.6 8.99999999999999e-09
65024 76.2 8.99999999999999e-09
65536 76.8 8.99999999999999e-09
66048 77.4 8.99999999999999e-09
66560 78 8.99999999999999e-09
67072 78.6 8.99999999999999e-09
67584 79.2 8.99999999999999e-09
68096 79.8 8.99999999999999e-09
68608 80.4 8.99999999999999e-09
69120 81 8.99999999999999e-09
69632 81.6 8.99999999999999e-09
70144 82.2 8.99999999999999e-09
70656 82.8 8.99999999999999e-09
71168 83.4 8.99999999999999e-09
71680 84 8.99999999999999e-09
72192 84.6 8.99999999999999e-09
72704 85.2 8.99999999999999e-09
73216 85.8 8.99999999999999e-09
73728 86.4 8.99999999999999e-09
74240 87 8.99999999999999e-09
74752 87.6 8.99999999999999e-09
75264 88.2 8.99999999999999e-09
75776 88.8 8.99999999999999e-09
76288 89.4 8.99999999999999e-09
76800 90 8.99999999999999e-09
77312 90.6 8.99999999999999e-09
77824 91.2 8.99999999999999e-09
78336 91.8 8.99999999999999e-09
78848 92.4 8.99999999999999e-09
79360 93 8.99999999999999e-09
79872 93.6 8.99999999999999e-09
80384 94.2 8.99999999999999e-09
80896 94.8 8.99999999999999e-09
81408 95.4 8.99999999999999e-09
81920 96 8.99999999999999e-09
82432 96.6 8.99999999999999e-09
82944 97.2 8.99999999999999e-09
83456 97.8 8.99999999999999e-09
83968 98.4 8.99999999999999e-09
84480 99 8.99999999999999e-09
84992 99.6 8.99999999999999e-09
85504 100.2 8.99999999999999e-09
86016 100.8 8.99999999999999e-09
86528 101.4 8.99999999999999e-09
87040 102 8.99999999999999e-09
87552 102.6 8.99999999999999e-09
88064 103.2 8.99999999999999e-09
88576 103.8 8.99999999999999e-09
89088 104.4 8.99999999999999e-09
89600 105 8.99999999999999e-09
90112 105.6 8.99999999999999e-09
90624 106.2 8.99999999999999e-09
91136 106.8 8.99999999999999e-09
91648 107.4 8.99999999999999e-09
92160 108 8.99999999999999e-09
92672 108.6 8.99999999999999e-09
93184 109.2 8.99999999999999e-09
93696 109.8 8.99999999999999e-09
94208 110.4 8.99999999999999e-09
94720 111 8.99999999999999e-09
95232 111.6 8.99999999999999e-09
95744 112.2 8.99999999999999e-09
96256 112.8 8.99999999999999e-09
96768 113.4 8.99999999999999e-09
97280 114 8.99999999999999e-09
97792 114.6 8.99999999999999e-09
98304 115.2 8.99999999999999e-09
98816 115.8 8.99999999999999e-09
99328 116.4 8.99999999999999e-09
99840 117 8.99999999999999e-09
100352 117.6 8.99999999999999e-09
100864 118.2 8.99999999999999e-09
101376 118.8 8.99999999999999e-09
101888 119.4 8.99999999999999e-09
102400 120 8.99999999999999e-09
102912 120.6 8.99999999999999e-09
103424 121.2 8.99999999999999e-09
103936 121.8 8.99999999999999e-09
104448 122.4 8.99999999999999e-09
104960 123 8.99999999999999e-09
105472 123.6 8.99999999999999e-09
105984 124.2 8.99999999999999e-09
106496 124.8 8.99999999999999e-09
107008 125.4 8.99999999999999e-09
107520 126 8.99999999999999e-09
108032 126.6 8.99999999999999e-09
108544 127.2 8.99999999999999e-09
109056 127.8 8.99999999999999e-09
109568 128.4 8.99999999999999e-09
110080 129 8.99999999999999e-09
110592 129.6 8.99999999999999e-09
111104 130.2 8.99999999999999e-09
111616 130.8 8.99999999999999e-09
112128 131.4 8.99999999999999e-09
112640 132 8.99999999999999e-09
113152 132.6 8.99999999999999e-09
113664 133.2 8.99999999999999e-09
114176 133.8 8.99999999999999e-09
