# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.6 0.0012758904826715
1024 1.2 0.00127220629668378
1536 1.8 0.00126899826299427
2048 2.4 0.00126631990192107
2560 3 0.00126415762821052
3072 3.6 0.00126251120090907
3584 4.2 0.00126144451047678
4096 4.8 0.00126100733642031
4608 5.4 0.0012612413358276
5120 6 0.00126221663914531
5632 6.6 0.00126436438716757
6144 7.2 0.00126782265353345
6656 7.8 0.001272342616063
7168 8.4 0.00127775398827436
7680 9 0.00128384873669266
8192 9.6 0.00129040828540849
8704 10.2 0.00129723547475003
9216 10.8 0.00130416604466635
9728 11.4 0.00131105688370728
10240 12 0.0013177790482778
10752 12.6 0.00132418981489367
11264 13.2 0.00133017180669855
11776 13.8 0.00133577467970831
12288 14.4 0.001341100941378
12800 15 0.00134634622861706
13312 15.6 0.00135164340192827
13824 16.2 0.00135706510396621
14336 16.8 0.00136268626721876
14848 17.4 0.0013685743155
15360 18 0.00137477920651409
15872 18.6 0.0013813289948543
16384 19.2 0.0013882284067438
16896 19.8 0.00139548856953194
17408 20.4 0.00140312403539685
17920 21 0.00141108008995709
18432 21.6 0.00141928529364624
18944 22.2 0.00142764066247599
19456 22.8 0.00143603946275851
19968 23.4 0.00144438106352305
20480 24 0.00145258708536455
20992 24.6 0.0014606116729183
21504 25.2 0.00146843036887253
22016 25.8 0.00147602777606752
22528 26.4 0.00148339813936507
23040 27 0.00149055223237279
23552 27.6 0.00149754107280145
24064 28.2 0.0015043998361624
24576 28.8 0.00151115679034839
25088 29.4 0.00151783957058763
25600 30 0.00152447113044098
26112 30.6 0.00153106778895746
26624 31.2 0.00153763973441664
27136 31.8 0.00154418394237569
27648 32.4 0.00155072670580572
28160 33 0.0015572987347613
28672 33.6 0.00156393684317963
29184 34.2 0.0015706686655783
29696 34.8 0.00157749179757416
30208 35.4 0.00158440660062085
30720 36 0.0015914144315849
31232 36.6 0.00159850819149968
31744 37.2 0.00160566522776856
32256 37.8 0.00161285068656931
32768 38.4 0.00162002995155121
33280 39 0.00162718017435072
33792 39.6 0.00163429156831586
34304 40.2 0.0016413592154711
34816 40.8 0.00164837545191175
35328 41.4 0.00165533114989052
35840 42 0.0016622236929004
36352 42.6 0.00166906215413703
36864 43.2 0.00167586401513136
37376 43.8 0.00168264731106685
37888 44.4 0.001689425340081
38400 45 0.0016961332791328
38912 45.6 0.00170280816336236
39424 46.2 0.00170952188755773
39936 46.8 0.00171630486986496
40448 47.4 0.00172317011020469
40960 48 0.0017301225839048
41472 48.6 0.00173716352847089
41984 49.2 0.001744293661919
42496 49.8 0.00175150675515807
43008 50.4 0.00175878832979953
43520 51 0.00176610759618476
44032 51.6 0.00177314425829637
44544 52.2 0.00177990960990732
45056 52.8 0.00178653184657677
45568 53.4 0.00179306426390658
46080 54 0.00179953920679797
46592 54.6 0.00180596184005006
47104 55.2 0.00181226953132762
47616 55.8 0.00181845089708728
48128 56.4 0.00182451713896277
48640 57 0.00183043658446148
49152 57.6 0.00183615607232652
49664 58.2 0.00184167172493796
50176 58.8 0.00184698791439866
50688 59.4 0.00185210396791154
51200 60 0.00185701935984804
51712 60.6 0.00186174026936923
52224 61.2 0.00186626783011502
52736 61.8 0.00187055577528182
53248 62.4 0.00187457863723603
53760 63 0.00187835135271258
54272 63.6 0.00188190398790835
54784 64.2 0.00188525822329104
55296 64.8 0.00188840551829912
55808 65.4 0.0018913204683769
56320 66 0.00189398309234089
56832 66.6 0.00189638645097931
57344 67.2 0.00189853101523827
57856 67.8 0.00190463225256463
58368 68.4 0.00191103696754742
58880 69 0.0019134327241167
59392 69.6 0.00191867425735338
59904 70.2 0.0019320914109661
60416 70.8 0.00193528643248777
60928 71.4 0.00194796521468392
61440 72 0.00195694537964483
61952 72.6 0.00196250903176638
62464 73.2 0.00196512573802081
62976 73.8 0.00196510964962585
63488 74.4 0.00196276943431414
64000 75 0.00195834051346591
64512 75.6 0.00195220146896473
65024 76.2 0.00194473766194128
65536 76.8 0.00193631527540798
66048 77.4 0.00192745817647771
66560 78 0.00191874909866555
67072 78.6 0.00191021289117809
67584 79.2 0.00190189869772278
68096 79.8 0.00189377778909283
68608 80.4 0.0018858567442798
69120 81 0.00187818200139118
69632 81.6 0.00187076923778674
70144 82.2 0.00186361565283623
70656 82.8 0.00185671853166261
71168 83.4 0.0018500742711589
71680 84 0.00184367346305971
72192 84.6 0.00183757535767401
72704 85.2 0.00183191984533915
73216 85.8 0.00182669637304055
73728 86.4 0.00182185608740521
74240 87 0.00181732297594074
74752 87.6 0.00181301502513468
75264 88.2 0.00180886176420539
75776 88.8 0.00180480614797236
76288 89.4 0.00180079672825212
76800 90 0.00179678324674563
77312 90.6 0.00179271929424526
77824 91.2 0.00178856922194828
78336 91.8 0.00178431136211676
78848 92.4 0.00177992968986245
79360 93 0.00177540587901464
79872 93.6 0.00177072809909567
80384 94.2 0.00176591204550907
80896 94.8 0.0017609890686793
81408 95.4 0.00175598777573653
81920 96 0.00175093376259886
82432 96.6 0.00174584949157964
82944 97.2 0.00174075357260838
83456 97.8 0.00173566055036847
83968 98.4 0.00173058091748991
84480 99 0.00172552172597118
84992 99.6 0.00172048781042063
85504 100.2 0.00171548319934594
86016 100.8 0.00171051212554209
86528 101.4 0.00170557904963715
87040 102 0.0017006877210346
87552 102.6 0.00169584052608436
88064 103.2 0.0016910395881813
88576 103.8 0.00168628922977138
89088 104.4 0.00168159721806415
89600 105 0.00167697250542113
90112 105.6 0.00167242217121924
90624 106.2 0.00166795129449657
91136 106.8 0.00166356548327255
91648 107.4 0.00165927211734622
92160 108 0.00165507839792808
92672 108.6 0.00165098901075332
93184 109.2 0.00164700794869097
93696 109.8 0.00164314126328361
94208 110.4 0.00163939649869679
94720 111 0.00163578052121514
95232 111.6 0.00163229779936742
95744 112.2 0.00162895139983088
96256 112.8 0.00162574447912439
96768 113.4 0.00162267966292399
97280 114 0.00161975731715984
97792 114.6 0.00161697558025321
98304 115.2 0.00161433223064249
98816 115.8 0.00161182571620029
99328 116.4 0.00160945409973374
99840 117 0.00160721333621326
100352 117.6 0.00160509690567691
100864 118.2 0.00160309711078604
101376 118.8 0.00160120639184383
101888 119.4 0.00159941699986704
102400 120 0.00159771945883762
102912 120.6 0.00159610258986537
103424 121.2 0.0015945552007906
103936 121.8 0.00159306648299377
104448 122.4 0.00159162804021634
104960 123 0.0015902330897559
105472 123.6 0.00158887380042685
105984 124.2 0.00158754261997726
106496 124.8 0.00158623464196112
107008 125.4 0.00158494768646171
107520 126 0.00158368060166545
108032 126.6 0.00158243263120162
108544 127.2 0.00158120413982562
109056 127.8 0.00157999661979875
109568 128.4 0.0015788118596116
110080 129 0.0015776523154885
110592 129.6 0.00157652264515537
111104 130.2 0.00157542966864555
111616 130.8 0.00157437987281107
112128 131.4 0.00157337739771042
112640 132 0.00157242515515143
113152 132.6 0.00157152760868303
113664 133.2 0.00157069169798005
114176 133.8 0.00156992492449109
114688 134.4 0.00156923290541223
115200 135 0.00156861877692667
115712 135.6 0.00156808449180518
116224 136.2 0.00156763248388116
116736 136.8 0.0015672664068602
117248 137.4 0.00156699054765399
117760 138 0.00156680831560418
118272 138.6 0.00156672095282423
118784 139.2 0.0015667277342466
119296 139.8 0.00156682768192576
119808 140.4 0.00156702113665307
120320 141 0.00156730953914072
120832 141.6 0.00156769372036562
121344 142.2 0.0015681725831993
121856 142.8 0.00156874344975967
122368 143.4 0.00156940345523292
122880 144 0.00157015058362801
123392 144.6 0.00157098365771388
123904 145.2 0.0015719015305423
124416 145.8 0.00157290214406696
124928 146.4 0.0015739822025794
125440 147 0.0015751379106682
125952 147.6 0.00157517806935578
126464 148.2 0.00157585911619187
126976 148.8 0.00157635515170951
127488 149.4 0.00157743838641666
128000 150 0.00157880378047227
128512 150.6 0.001580307624273
129024 151.2 0.00158193864271682
129536 151.8 0.00158368378823646
130048 152.4 0.00158553092158244
130560 153 0.00158746605384946
131072 153.6 0.001589475766271
131584 154.2 0.00159155255982939
132096 154.8 0.00159369265076599
132608 155.4 0.00159589256465909
133120 156 0.00159814601460775
133632 156.6 0.00160044179869201
134144 157.2 0.00160277399041855
134656 157.8 0.00160513983734308
135168 158.4 0.00160753400532555
135680 159 0.0016099329270018
136192 159.6 0.00161234336265688
136704 160.2 0.00161477206077599
137216 160.8 0.00161722158294597
137728 161.4 0.00161968856591094
138240 162 0.00162216227374845
138752 162.6 0.00162464003680628
139264 163.2 0.00162712499862969
139776 163.8 0.00162962022956226
140288 164.4 0.00163212793625018
140800 165 0.00163465078278485
141312 165.6 0.00163719170948024
141824 166.2 0.00163975296568494
142336 166.8 0.00164233543770029
142848 167.4 0.00164494180690041
143360 168 0.00164757334123187
143872 168.6 0.00165022886049825
144384 169.2 0.00165290577968274
144896 169.8 0.00165560033421989
145408 170.4 0.00165830773072497
145920 171 0.00166101995233207
146432 171.6 0.00166373369699898
146944 172.2 0.00166644968008739
147456 172.8 0.00166916961217359
147968 173.4 0.00167189434315201
148480 174 0.00167461863456842
148992 174.6 0.00167734034100176
149504 175.2 0.00168006327238709
150016 175.8 0.00168279165357895
150528 176.4 0.00168552840846302
151040 177 0.00168827561917793
151552 177.6 0.00169103580114723
152064 178.2 0.00169381147143644
152576 178.8 0.00169660443337679
153088 179.4 0.00169941586574722
153600 180 0.00170224644474065
154112 180.6 0.00170509705919332
154624 181.2 0.00170796915710562
155136 181.8 0.00171086385456498
155648 182.4 0.00171378235664602
156160 183 0.00171672646688084
156672 183.6 0.00171969838515925
157184 184.2 0.00172270041950656
157696 184.8 0.00172573365705864
158208 185.4 0.00172879615419278
158720 186 0.00173188489134528
159232 186.6 0.00173499737235676
159744 187.2 0.00173813201716952
160256 187.8 0.00174128831918187
160768 188.4 0.00174446635115246
161280 189 0.00174766596169747
161792 189.6 0.00175088854635884
162304 190.2 0.00175413403040678
162816 190.8 0.00175740195941039
163328 191.4 0.00176069303362332
163840 192 0.00176400890853122
164352 192.6 0.0017673508971528
164864 193.2 0.00177071880482927
165376 193.8 0.00177410431781964
165888 194.4 0.00177749815971909
166400 195 0.00178089455218584
166912 195.6 0.0017842891061723
167424 196.2 0.00178767589904671
167936 196.8 0.0017910470335978
168448 197.4 0.00179439861016206
168960 198 0.00179773097455474
169472 198.6 0.00180104752586558
169984 199.2 0.00180435302258743
170496 199.8 0.00180765161283382
171008 200.4 0.00181095443261731
171520 201 0.00181465613789863
172032 201.6 0.00181884016169157
172544 202.2 0.00182333837357847
173056 202.8 0.00182803445295108
173568 203.4 0.00183285144907066
174080 204 0.00183774384743802
174592 204.6 0.00184268898528551
175104 205.2 0.00184767998747116
175616 205.8 0.00185272022872477
176128 206.4 0.00185783857974191
176640 207 0.00186316079945544
177152 207.6 0.0018687682230664
177664 208.2 0.00187467064666393
178176 208.8 0.00188083733526401
178688 209.4 0.00188721700181832
179200 210 0.00189375069489998
179712 210.6 0.00190038383692052
180224 211.2 0.00190707543196066
180736 211.8 0.00191380314555164
181248 212.4 0.00192057322748547
181760 213 0.00192740777292329
182272 213.6 0.00193433056026069
182784 214.2 0.00194136167347827
183296 214.8 0.00194851461485725
183808 215.4 0.00195579244137024
184320 216 0.00196318641416226
184832 216.6 0.0019706803261723
185344 217.2 0.00197825593899233
185856 217.8 0.00198589584450985
186368 218.4 0.00199358325885244
186880 219 0.00200130152722602
187392 219.6 0.00200903602014455
187904 220.2 0.00201677859721519
188416 220.8 0.00202453406010922
188928 221.4 0.0020323196904797
189440 222 0.00204015880806883
189952 222.6 0.00204807621129893
190464 223.2 0.00205609628088487
190976 223.8 0.00206424456710701
191488 224.4 0.00207254880054076
192000 225 0.0020810369868972
192512 225.6 0.00208973460358638
193024 226.2 0.00209866321586195
193536 226.8 0.00210784020307608
194048 227.4 0.00211727882664211
194560 228 0.00212698839023986
195072 228.6 0.00213697485321055
195584 229.2 0.00214724218559771
196096 229.8 0.0021577934956543
196608 230.4 0.00216863087676725
197120 231 0.0021797564630031
197632 231.6 0.00219117148272104
198144 232.2 0.00220287422268803
198656 232.8 0.00221486139673842
199168 233.4 0.00222713016907044
199680 234 0.0022396793182843
200192 234.6 0.00225250972915461
200704 235.2 0.0022656243122927
201216 235.8 0.00227902739954189
201728 236.4 0.00229272414871578
202240 237 0.00230672046653644
202752 237.6 0.00232102233051338
203264 238.2 0.00233563496277503
203776 238.8 0.00235056283899068
204288 239.4 0.00236581061655868
204800 240 0.00238138357746419
205312 240.6 0.00239728719596063
205824 241.2 0.00241352785050957
206336 241.8 0.00243011367407212
206848 242.4 0.00244705464541147
207360 243 0.00246436182343009
207872 243.6 0.00248204730436924
208384 244.2 0.00250012501416584
208896 244.8 0.00251861101425511
209408 245.4 0.0025375232959041
209920 246 0.00255688104001602
210432 246.6 0.002576703563303
210944 247.2 0.00259700945225387
211456 247.8 0.00261781637579799
211968 248.4 0.00263914181791336
212480 249 0.00266100403549258
212992 249.6 0.00268342258132877
213504 250.2 0.0027064183163017
214016 250.8 0.00273001301100172
214528 251.4 0.00275422862664528
215040 252 0.00277908677213875
215552 252.6 0.00280460837003233
216064 253.2 0.00283081335191439
216576 253.8 0.00285772043719511
217088 254.4 0.00288534723102641
217600 255 0.00291371032279185
218112 255.6 0.00294282505110534
218624 256.2 0.00297270503358163
219136 256.8 0.00300336165255304
219648 257.4 0.00303480342959186
220160 258 0.003067035618501
220672 258.6 0.00310005976417323
221184 259.2 0.00313387289422596
221696 259.8 0.00316846675741579
222208 260.4 0.0032038268948678
222720 261 0.00323993190838754
223232 261.6 0.00327675195743254
223744 262.2 0.00331424560555413
224256 262.8 0.00335235857699295
224768 263.4 0.00339102270092548
225280 264 0.00343015409835634
225792 264.6 0.00346965302888794
226304 265.2 0.00350941508228871
226816 265.8 0.00354931402793012
227328 266.4 0.0035891931330443
227840 267 0.00362886287770995
228352 267.6 0.00366809785295066
228864 268.2 0.00370663385352125
229376 268.8 0.00374416483064457
229888 269.4 0.00378033942742927
230400 270 0.00381475733877005
230912 270.6 0.00384696579688107
231424 271.2 0.00387645644034679
231936 271.8 0.00390266282700314
232448 272.4 0.0039249586698302
232960 273 0.00394265710349659
233472 273.6 0.00395501168152975
233984 274.2 0.00396121974494113
234496 274.8 0.00396037778552682
235008 275.4 0.00395155067485903
235520 276 0.00393384726633664
236032 276.6 0.00390635648371646
236544 277.2 0.00386805661986339
237056 277.8 0.00381785859629808
237568 278.4 0.00375492734870566
238080 279 0.00367797030972343
238592 279.6 0.00358315521947735
239104 280.2 0.00347014581973246
239616 280.8 0.00333880635574109
240128 281.4 0.00318892612644754
