# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.6 0.0284247136156258 0.0284247136156258 0.0284247136156258
1024 1.2 0.0244693595309284 0.0244693595309284 0.0244693595309284
1536 1.8 0.0205341206852514 0.0205341206852514 0.0205341206852514
2048 2.4 0.0166231083372658 0.0166231083372658 0.0166231083372658
2560 3 0.0127659439014247 0.0127659439014247 0.0127659439014247
3072 3.6 0.00897348178354368 0.00897348178354367 0.00897348178354361
3584 4.2 0.00593342904990761 0.00593342904990761 0.00593342904990757
4096 4.8 0.00307245922572276 0.00307245922572277 0.00307245922572277
4608 5.4 5.17881323646944e-05 5.17881323646975e-05 5.17881323646985e-05
5120 6 1.08790649774164e-19 1.89226111809742e-19 5.391494934559e-19
5632 6.6 2.97798900887089e-19 1.59619100683517e-19 1.79373158468917e-19
6144 7.2 4.88222043165226e-19 4.86644461470793e-19 2.51964512804673e-19
6656 7.8 3.99052392769077e-19 3.97607625833309e-19 2.04562862282738e-19
7168 8.4 1.88795972911435e-19 1.78647193160666e-19 1.65886198041828e-19
7680 9 2.01836240457722e-19 2.64342775219303e-19 1.35027359144617e-19
8192 9.6 3.17909580424457e-19 3.7675337132119e-19 1.1433828302928e-19
8704 10.2 2.74958306344289e-19 1.99529034716376e-19 3.40615933709294e-19
9216 10.8 5.03833177359562e-19 5.00012080499606e-19 2.75168467863137e-19
9728 11.4 2.73210486757927e-19 2.46332010210942e-19 2.21762870445492e-19
10240 12 2.73113057124664e-19 2.8274465574713e-19 5.41298007822108e-19
10752 12.6 2.22412975849275e-19 2.49171541946937e-19 9.89350527424113e-20
11264 13.2 2.73236492339406e-19 3.15353520811655e-19 8.50058203823659e-20
11776 13.8 4.04114598966482e-19 2.82825685317821e-19 1.46368370201157e-19
12288 14.4 5.39122885717981e-19 3.78580452855744e-19 2.83927050928955e-19
12800 15 8.84735998842153e-19 6.73207772102931e-19 3.39524047106765e-19
13312 15.6 7.30960432200488e-19 7.18807392990512e-19 3.44919391165934e-19
13824 16.2 9.74295099744139e-19 5.52872368423834e-19 5.22508977970986e-19
14336 16.8 8.92706798245848e-19 6.18706384894355e-19 4.77434232292262e-19
14848 17.4 5.58663866249141e-19 5.99044069471529e-19 3.76108403193319e-19
15360 18 7.53637734963698e-19 5.36809102100503e-19 2.12040567149415e-19
15872 18.6 4.15415482154113e-19 4.15538407989506e-19 1.59622372330748e-19
16384 19.2 4.71283302651608e-19 3.64577797527088e-19 1.72239601515555e-19
16896 19.8 7.46254502822976e-19 7.22458699985892e-19 2.51737462717818e-19
17408 20.4 9.83702930564482e-19 6.65738427498588e-19 2.84748453768172e-19
17920 21 1.30708767659647e-18 7.19543857364964e-19 4.42135804456605e-19
18432 21.6 1.53534105449611e-18 1.131815729553e-18 7.21677088257144e-19
18944 22.2 1.32360989319514e-18 8.45829280908564e-19 6.90237867971911e-19
19456 22.8 9.58288232117963e-19 6.71004095347647e-19 5.54502123604946e-19
19968 23.4 8.13893897155205e-19 4.24804009622972e-19 3.18782461720109e-19
20480 24 4.85213205299537e-19 5.25875159826163e-19 1.81461273106032e-19
20992 24.6 7.98738152379209e-19 5.09935060552259e-19 2.35865241142952e-19
21504 25.2 7.14851673478272e-19 9.30575507089928e-19 4.33957971583157e-19
22016 25.8 2.35391051086942e-18 1.51502182046284e-18 4.56787922053137e-19
22528 26.4 1.98785210788455e-18 1.62412235177552e-18 4.57679571977666e-19
23040 27 1.33931173952899e-18 1.04961079342177e-18 2.8886018433765e-19
