# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.6 -0.0049784212633608 -0.0049784212633608 -0.0049784212633608
1024 1.2 -0.00984797652562347 -0.00984797652562347 -0.00984797652562347
1536 1.8 -0.0145864814750614 -0.0145864814750614 -0.0145864814750614
2048 2.4 -0.0193970347517953 -0.0193970347517953 -0.0193970347517952
2560 3 -0.0242508389065008 -0.0242508389065008 -0.0242508389065008
3072 3.6 -0.0290507171617418 -0.0290507171617418 -0.0290507171617418
3584 4.2 -0.0337740565178744 -0.0337740565178744 -0.0337740565178743
4096 4.8 -0.0383959543685306 -0.0383959543685306 -0.0383959543685304
4608 5.4 -0.0428963430493626 -0.0428963430493626 -0.0428963430493626
5120 6 -0.0472593270756878 -0.0472593270756878 -0.0472593270756878
5632 6.6 -0.0514728551578193 -0.0514728551578193 -0.0514728551578192
6144 7.2 -0.0555314782086273 -0.0555314782086273 -0.055531478208627
6656 7.8 -0.0599257180892488 -0.0599257180892488 -0.0599257180892491
7168 8.4 -0.0642723756112645 -0.0642723756112647 -0.0642723756112646
7680 9 -0.0684992537666957 -0.0684992537666956 -0.0684992537666954
8192 9.6 -0.072605258550248 -0.0726052585502479 -0.0726052585502479
8704 10.2 -0.0765869404563238 -0.0765869404563239 -0.0765869404563239
9216 10.8 -0.080442567990059 -0.0804425679900589 -0.0804425679900592
9728 11.4 -0.083863776033426 -0.0838637760334258 -0.0838637760334262
10240 12 -0.0869127206659104 -0.0869127206659102 -0.0869127206659104
10752 12.6 -0.0898059133467478 -0.0898059133467478 -0.0898059133467477
11264 13.2 -0.0934953711193178 -0.0934953711193177 -0.0934953711193179
11776 13.8 -0.0979782225566066 -0.0979782225566068 -0.0979782225566068
12288 14.4 -0.102400618624466 -0.102400618624466 -0.102400618624466
12800 15 -0.106759308062161 -0.106759308062161 -0.106759308062161
13312 15.6 -0.111051104202365 -0.111051104202365 -0.111051104202365
13824 16.2 -0.115271855347042 -0.115271855347042 -0.115271855347042
14336 16.8 -0.119494033487204 -0.119494033487204 -0.119494033487205
14848 17.4 -0.123845703216261 -0.123845703216261 -0.123845703216262
15360 18 -0.128115658368067 -0.128115658368067 -0.128115658368067
15872 18.6 -0.132298006658698 -0.132298006658697 -0.132298006658697
16384 19.2 -0.136390084651167 -0.136390084651166 -0.136390084651166
16896 19.8 -0.140387242315521 -0.140387242315521 -0.140387242315522
17408 20.4 -0.144290828345851 -0.144290828345851 -0.144290828345851
17920 21 -0.148631850074069 -0.148631850074069 -0.148631850074069
18432 21.6 -0.153073041542878 -0.153073041542878 -0.153073041542878
18944 22.2 -0.157432779491189 -0.157432779491189 -0.157432779491189
19456 22.8 -0.161711225620286 -0.161711225620285 -0.161711225620286
19968 23.4 -0.165905050061062 -0.165905050061061 -0.165905050061062
20480 24 -0.170009773244475 -0.170009773244474 -0.170009773244474
20992 24.6 -0.174024016953093 -0.174024016953093 -0.174024016953092
21504 25.2 -0.17794981831534 -0.17794981831534 -0.177949818315339
22016 25.8 -0.181797035865523 -0.181797035865522 -0.181797035865522
22528 26.4 -0.185684677995579 -0.185684677995578 -0.185684677995579
23040 27 -0.189752794455994 -0.189752794455993 -0.189752794455994
23552 27.6 -0.193748928292215 -0.193748928292214 -0.193748928292215
24064 28.2 -0.197675686253915 -0.197675686253914 -0.197675686253914
24576 28.8 -0.201536063571246 -0.201536063571245 -0.201536063571246
25088 29.4 -0.205375752763716 -0.205375752763715 -0.205375752763716
25600 30 -0.209467504999412 -0.209467504999413 -0.209467504999414
26112 30.6 -0.21349779015231 -0.213497790152311 -0.21349779015231
26624 31.2 -0.217470808175179 -0.217470808175178 -0.217470808175177
27136 31.8 -0.221392415756464 -0.221392415756463 -0.221392415756464
27648 32.4 -0.225269229957201 -0.2252692299572 -0.225269229957201
28160 33 -0.22910883327961 -0.229108833279609 -0.22910883327961
28672 33.6 -0.232918881655647 -0.232918881655646 -0.232918881655647
29184 34.2 -0.23670399187221 -0.236703991872209 -0.23670399187221
29696 34.8 -0.2404621410863 -0.240462141086298 -0.240462141086299
30208 35.4 -0.244183248243482 -0.24418324824348 -0.244183248243483
