# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 3.08385115551622e-05
512 0.6 3.63533252590889e-05
1024 1.2 4.2483029243208e-05
1536 1.8 4.5433597459191e-05
2048 2.4 4.64347837940287e-05
2560 3 4.73325586371994e-05
3072 3.6 4.87769685472297e-05
3584 4.2 5.06316417120583e-05
4096 4.8 5.2369946929072e-05
4608 5.4 5.38774663463066e-05
5120 6 5.55400193973332e-05
5632 6.6 5.74310671905888e-05
6144 7.2 5.90080745339144e-05
6656 7.8 6.0031999640609e-05
7168 8.4 6.08227157144091e-05
7680 9 6.17361514188182e-05
8192 9.6 6.26858541452881e-05
8704 10.2 6.34737798615191e-05
9216 10.8 6.41859052393637e-05
9728 11.4 6.49807023761348e-05
10240 12 6.58882988880433e-05
10752 12.6 6.70019236550318e-05
11264 13.2 6.85273559383261e-05
11776 13.8 7.03877225604505e-05
12288 14.4 7.2362230423469e-05
12800 15 7.44857905606161e-05
13312 15.6 7.68856555102383e-05
13824 16.2 7.95256425193794e-05
14336 16.8 8.22388353709362e-05
14848 17.4 8.49490451510111e-05
15360 18 8.76923839355521e-05
15872 18.6 9.04930294432622e-05
16384 19.2 9.33339642914774e-05
16896 19.8 9.60931443713452e-05
17408 20.4 9.87059355588299e-05
17920 21 0.000101284231142851
18432 21.6 0.000103965120162398
18944 22.2 0.000106740944423671
19456 22.8 0.000109479465551022
19968 23.4 0.000112121503306422
20480 24 0.00011473982868337
20992 24.6 0.000117435318693508
21504 25.2 0.000120250212552467
22016 25.8 0.000123111893433305
22528 26.4 0.000125986472970592
23040 27 0.000128926930018862
23552 27.6 0.000132009829232476
24064 28.2 0.000135245058113901
24576 28.8 0.000138562005438662
25088 29.4 0.000141866300044813
25600 30 0.000145133383332703
26112 30.6 0.000148433265065606
26624 31.2 0.000151870049558877
