# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.6 -1.80979794608979e-05 -1.80979794608996e-05 -1.80979794608899e-05
1024 1.2 -3.39900596862856e-05 -3.39900596862855e-05 -3.39900596862806e-05
1536 1.8 -5.10552130592018e-05 -5.1055213059202e-05 -5.10552130592149e-05
2048 2.4 -6.41971710424977e-05 -6.41971710424989e-05 -6.41971710424934e-05
2560 3 -7.10427081164953e-05 -7.10427081164956e-05 -7.10427081165215e-05
3072 3.6 -7.0933501915685e-05 -7.09335019156852e-05 -7.09335019158241e-05
3584 4.2 -6.63936026893125e-05 -6.6393602689316e-05 -6.63936026892911e-05
4096 4.8 -5.48081302063165e-05 -5.48081302063127e-05 -5.48081302063014e-05
4608 5.4 -6.79088149404223e-05 -6.79088149404262e-05 -6.79088149399791e-05
5120 6 -8.51933064579561e-05 -8.51933064579036e-05 -8.5193306457764e-05
5632 6.6 -8.93098345924107e-05 -8.9309834592343e-05 -8.93098345926269e-05
6144 7.2 -8.01492414395718e-05 -8.01492414395711e-05 -8.01492414402993e-05
6656 7.8 -6.58147686358914e-05 -6.58147686358844e-05 -6.58147686357695e-05
7168 8.4 -5.95496315220723e-05 -5.9549631522017e-05 -5.95496315214674e-05
7680 9 -5.09805515789762e-05 -5.0980551578955e-05 -5.09805515781676e-05
8192 9.6 -4.78884040434662e-05 -4.78884040432471e-05 -4.78884040435002e-05
8704 10.2 -3.73797747553757e-05 -3.7379774755473e-05 -3.73797747552704e-05
9216 10.8 -5.07402740371401e-05 -5.07402740364049e-05 -5.07402740378158e-05
9728 11.4 -4.29469173216313e-05 -4.29469173214122e-05 -4.29469173216427e-05
10240 12 -4.99561869495167e-05 -4.99561869492089e-05 -4.99561869500602e-05
10752 12.6 -3.44093095683469e-05 -3.44093095687353e-05 -3.44093095686182e-05
11264 13.2 -5.02941295284183e-05 -5.02941295283793e-05 -5.02941295291348e-05
11776 13.8 -4.25194214379902e-05 -4.25194214378016e-05 -4.25194214385692e-05
12288 14.4 -2.62493632457129e-05 -2.62493632461821e-05 -2.62493632435115e-05
12800 15 -2.79985169112916e-05 -2.79985169113961e-05 -2.79985169112336e-05
13312 15.6 -2.34942504888753e-05 -2.34942504878909e-05 -2.34942504882799e-05
13824 16.2 -2.07894715232723e-05 -2.07894715195101e-05 -2.07894715172313e-05
14336 16.8 -2.25762027987116e-05 -2.2576202801931e-05 -2.2576202799427e-05
14848 17.4 -2.14469225662572e-05 -2.1446922566073e-05 -2.14469225653626e-05
15360 18 -2.1743734771107e-05 -2.17437347713045e-05 -2.17437347700849e-05
15872 18.6 -2.9850088096801e-05 -2.98500880972316e-05 -2.98500880964036e-05
16384 19.2 -3.3574171135742e-05 -3.35741711363385e-05 -3.35741711353546e-05
16896 19.8 -3.78664592094721e-05 -3.78664592099547e-05 -3.78664592091679e-05
17408 20.4 -5.34368583446865e-05 -5.34368583428898e-05 -5.34368583432257e-05
17920 21 -5.52270775897428e-05 -5.52270775877566e-05 -5.52270775878844e-05
18432 21.6 -5.28147098211236e-05 -5.28147098212066e-05 -5.28147098200996e-05
18944 22.2 -5.35681313916794e-05 -5.3568131391864e-05 -5.35681313924973e-05
19456 22.8 -5.40732624582548e-05 -5.40732624581464e-05 -5.40732624603004e-05
19968 23.4 -5.43012389068584e-05 -5.43012389064024e-05 -5.43012389075144e-05
20480 24 -5.34438309590825e-05 -5.34438309584916e-05 -5.3443830958305e-05
20992 24.6 -5.48919230048518e-05 -5.48919230040199e-05 -5.48919230036632e-05
21504 25.2 -6.20661409650875e-05 -6.20661409650597e-05 -6.20661409633458e-05
22016 25.8 -7.12574324958889e-05 -7.12574324966847e-05 -7.12574324937575e-05
22528 26.4 -7.41589099300237e-05 -7.41589099310053e-05 -7.4158909929693e-05
23040 27 -7.60667321001044e-05 -7.60667321007178e-05 -7.60667321034897e-05
23552 27.6 -7.57558166492018e-05 -7.57558166495679e-05 -7.57558166516268e-05
24064 28.2 -6.27733557470957e-05 -6.27733557470195e-05 -6.27733557449842e-05
24576 28.8 -5.102254927807e-05 -5.10225492769722e-05 -5.10225492767403e-05
25088 29.4 -5.76183098751981e-05 -5.76183098744894e-05 -5.76183098737344e-05
25600 30 -6.13682621308043e-05 -6.1368262130924e-05 -6.13682621300093e-05
26112 30.6 -5.92461715288496e-05 -5.92461715266338e-05 -5.92461715236505e-05
26624 31.2 -5.63033678851261e-05 -5.6303367883925e-05 -5.63033678852924e-05
27136 31.8 -6.8314872802731e-05 -6.83148728006714e-05 -6.83148728016281e-05
27648 32.4 -7.82991441857559e-05 -7.8299144183348e-05 -7.82991441828647e-05
28160 33 -7.80753934580576e-05 -7.80753934571088e-05 -7.80753934574819e-05
28672 33.6 -8.41762563520281e-05 -8.41762563520777e-05 -8.41762563516489e-05
29184 34.2 -8.36362660181862e-05 -8.36362660190516e-05 -8.36362660182653e-05
29696 34.8 -8.11686928288799e-05 -8.11686928299304e-05 -8.11686928306142e-05
30208 35.4 -8.15032541146511e-05 -8.15032541155632e-05 -8.15032541174696e-05
30720 36 -8.50224209614261e-05 -8.5022420962564e-05 -8.50224209625579e-05
31232 36.6 -8.89335946952044e-05 -8.89335946955534e-05 -8.89335946940037e-05
31744 37.2 -9.15774471873307e-05 -9.15774471859989e-05 -9.1577447186226e-05
32256 37.8 -9.41191255801016e-05 -9.41191255783098e-05 -9.41191255800316e-05
32768 38.4 -9.79715598867894e-05 -9.79715598864255e-05 -9.79715598874159e-05
33280 39 -0.000102159055517957 -0.000102159055518643 -0.000102159055518672
33792 39.6 -0.000104090498026537 -0.000104090498026852 -0.000104090498026659
34304 40.2 -0.000102040201536775 -0.000102040201537216 -0.000102040201535974
34816 40.8 -9.63087853278373e-05 -9.63087853290206e-05 -9.6308785327549e-05
35328 41.4 -8.85565810440255e-05 -8.85565810448695e-05 -8.8556581045267e-05
35840 42 -9.24454572277279e-05 -9.24454572282364e-05 -9.24454572252687e-05
36352 42.6 -9.45309342133549e-05 -9.45309342118673e-05 -9.45309342130034e-05
36864 43.2 -9.38940446671818e-05 -9.38940446659954e-05 -9.38940446684509e-05
37376 43.8 -9.12870273105082e-05 -9.12870273119655e-05 -9.12870273108883e-05
37888 44.4 -8.67008921929339e-05 -8.6700892194841e-05 -8.67008921930255e-05
38400 45 -8.10166527269908e-05 -8.10166527265299e-05 -8.10166527283486e-05
38912 45.6 -7.68583475054706e-05 -7.6858347504455e-05 -7.68583475060287e-05
39424 46.2 -7.59259147894373e-05 -7.59259147889244e-05 -7.59259147858669e-05
