# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.6 1.1922712581083e-06 1.1922712581083e-06 1.1922712581083e-06
1024 1.2 2.00764233624119e-06 2.00764233624121e-06 2.00764233624063e-06
1536 1.8 2.8685940635074e-06 2.86859406350741e-06 2.86859406350796e-06
2048 2.4 3.29877565722219e-06 3.29877565722217e-06 3.29877565722487e-06
2560 3 3.54430106435164e-06 3.54430106435151e-06 3.544301064354e-06
3072 3.6 3.81358052744304e-06 3.81358052744306e-06 3.81358052744428e-06
3584 4.2 3.91511798376259e-06 3.9151179837625e-06 3.91511798376253e-06
4096 4.8 3.9161201627818e-06 3.9161201627825e-06 3.91612016278284e-06
4608 5.4 3.96839238604444e-06 3.96839238604453e-06 3.9683923860463e-06
5120 6 4.03220506332826e-06 4.03220506332752e-06 4.03220506333267e-06
5632 6.6 4.01014108803063e-06 4.01014108803007e-06 4.01014108803367e-06
6144 7.2 3.98687622639737e-06 3.9868762263972e-06 3.98687622639632e-06
6656 7.8 3.95964871194545e-06 3.95964871194586e-06 3.95964871194719e-06
7168 8.4 3.92506358857609e-06 3.92506358857754e-06 3.925063588578e-06
7680 9 3.88867670569133e-06 3.88867670568992e-06 3.88867670569292e-06
8192 9.6 3.85836650055753e-06 3.85836650055938e-06 3.85836650055921e-06
8704 10.2 3.84002374776893e-06 3.84002374777127e-06 3.84002374777102e-06
9216 10.8 3.84268728391656e-06 3.84268728392105e-06 3.84268728392426e-06
9728 11.4 3.84437680666892e-06 3.84437680667183e-06 3.84437680667109e-06
10240 12 3.78596913611236e-06 3.78596913611549e-06 3.78596913611134e-06
10752 12.6 3.65618964161805e-06 3.65618964162892e-06 3.65618964162219e-06
11264 13.2 3.46481266154316e-06 3.46481266154709e-06 3.46481266155621e-06
11776 13.8 3.33563734112277e-06 3.33563734112071e-06 3.33563734113115e-06
12288 14.4 3.33062328459201e-06 3.33062328459653e-06 3.33062328460623e-06
12800 15 3.2507132836566e-06 3.25071328365655e-06 3.25071328366384e-06
13312 15.6 3.09793389322385e-06 3.09793389322046e-06 3.09793389322534e-06
13824 16.2 3.04732646625504e-06 3.04732646625599e-06 3.04732646625569e-06
14336 16.8 3.07757817809902e-06 3.07757817810451e-06 3.07757817810237e-06
14848 17.4 3.15326484297778e-06 3.15326484297378e-06 3.15326484297085e-06
15360 18 3.34625759285119e-06 3.34625759284723e-06 3.34625759283918e-06
15872 18.6 3.63580183518144e-06 3.63580183518669e-06 3.63580183518004e-06
16384 19.2 3.87114875396444e-06 3.87114875397535e-06 3.87114875397659e-06
16896 19.8 3.97801778803504e-06 3.97801778804582e-06 3.97801778805329e-06
17408 20.4 3.99759511218157e-06 3.99759511218565e-06 3.99759511219516e-06
17920 21 4.05989339365919e-06 4.05989339365975e-06 4.05989339366367e-06
18432 21.6 4.1608446402166e-06 4.1608446402129e-06 4.1608446402213e-06
18944 22.2 4.17127371901473e-06 4.17127371900857e-06 4.17127371901865e-06
19456 22.8 4.11763720785563e-06 4.11763720786049e-06 4.11763720785441e-06
19968 23.4 4.04563901230578e-06 4.04563901231099e-06 4.04563901230034e-06
20480 24 3.94977555654039e-06 3.94977555653793e-06 3.94977555653979e-06
20992 24.6 3.9200928690008e-06 3.92009286899445e-06 3.92009286899848e-06
21504 25.2 3.98085717872433e-06 3.98085717872189e-06 3.98085717871902e-06
22016 25.8 4.03861569476611e-06 4.03861569477124e-06 4.0386156947716e-06
22528 26.4 4.03773882202766e-06 4.03773882204626e-06 4.03773882204412e-06
23040 27 3.98634759501734e-06 3.98634759503722e-06 3.98634759502746e-06
23552 27.6 3.94562288838468e-06 3.94562288838616e-06 3.94562288838114e-06
24064 28.2 3.97058373610973e-06 3.9705837361104e-06 3.97058373611591e-06
24576 28.8 4.06213738400164e-06 4.062137384009e-06 4.06213738401651e-06
25088 29.4 4.21286243060192e-06 4.21286243060094e-06 4.21286243060373e-06
25600 30 4.38344770296035e-06 4.38344770295979e-06 4.38344770296077e-06
26112 30.6 4.50730871560921e-06 4.50730871561846e-06 4.50730871562666e-06
26624 31.2 4.60800800417763e-06 4.60800800418497e-06 4.60800800419474e-06
27136 31.8 4.74301016279599e-06 4.74301016279678e-06 4.74301016280022e-06
27648 32.4 4.84353314095902e-06 4.84353314095566e-06 4.84353314095245e-06
28160 33 4.84753363683891e-06 4.84753363683744e-06 4.84753363683387e-06
28672 33.6 4.7953152450697e-06 4.79531524508036e-06 4.79531524507144e-06
29184 34.2 4.72853936977421e-06 4.72853936980136e-06 4.72853936978471e-06
29696 34.8 4.65668628460965e-06 4.65668628463424e-06 4.65668628461889e-06
30208 35.4 4.59357223201339e-06 4.59357223202337e-06 4.59357223202963e-06
30720 36 4.55991765227331e-06 4.55991765227241e-06 4.55991765228816e-06
31232 36.6 4.54112643365975e-06 4.54112643365231e-06 4.54112643366527e-06
31744 37.2 4.51369917331954e-06 4.51369917332004e-06 4.51369917332641e-06
32256 37.8 4.48419026887281e-06 4.48419026887815e-06 4.48419026887598e-06
32768 38.4 4.47896618082904e-06 4.47896618083112e-06 4.47896618083609e-06
33280 39 4.52945940313157e-06 4.52945940314001e-06 4.52945940316039e-06
33792 39.6 4.61987377803844e-06 4.61987377805266e-06 4.61987377806317e-06
34304 40.2 4.71597065529588e-06 4.71597065530444e-06 4.71597065529784e-06
34816 40.8 4.806475437991e-06 4.80647543799558e-06 4.80647543798904e-06
35328 41.4 4.85361622374729e-06 4.85361622374924e-06 4.8536162237516e-06
35840 42 4.82529455842311e-06 4.82529455842436e-06 4.82529455843178e-06
36352 42.6 4.76379470806429e-06 4.76379470807004e-06 4.76379470807658e-06
36864 43.2 4.72533200606178e-06 4.7253320060652e-06 4.72533200607039e-06
37376 43.8 4.70807030887366e-06 4.70807030886803e-06 4.7080703088785e-06
37888 44.4 4.70849000740821e-06 4.70849000740291e-06 4.70849000741347e-06
38400 45 4.75520734960326e-06 4.75520734960623e-06 4.75520734960782e-06
38912 45.6 4.8519991156614e-06 4.85199911567049e-06 4.85199911566488e-06
39424 46.2 4.95395737556902e-06 4.95395737558307e-06 4.95395737557666e-06
39936 46.8 5.00528781801932e-06 5.00528781802705e-06 5.00528781803261e-06
40448 47.4 5.0093843587481e-06 5.0093843587401e-06 5.00938435875658e-06
40960 48 4.9930262563382e-06 4.99302625633348e-06 4.99302625634627e-06
41472 48.6 4.97847588857474e-06 4.97847588857934e-06 4.97847588858799e-06
41984 49.2 4.97512875042582e-06 4.97512875044409e-06 4.97512875043909e-06
42496 49.8 4.99742826411583e-06 4.99742826414155e-06 4.99742826412107e-06
43008 50.4 5.05238149731392e-06 5.05238149733984e-06 5.05238149731873e-06
43520 51 5.12347239706376e-06 5.12347239707183e-06 5.1234723970676e-06
44032 51.6 5.21611690139715e-06 5.21611690138122e-06 5.21611690140071e-06
44544 52.2 5.32042919071859e-06 5.32042919069804e-06 5.32042919072717e-06
45056 52.8 5.39796911480789e-06 5.39796911479491e-06 5.3979691148167e-06
45568 53.4 5.44675123071108e-06 5.44675123070763e-06 5.44675123071519e-06
46080 54 5.50311904098277e-06 5.50311904098868e-06 5.50311904098976e-06
46592 54.6 5.58331983220703e-06 5.58331983222107e-06 5.58331983221798e-06
47104 55.2 5.66112037624926e-06 5.66112037626721e-06 5.66112037625791e-06
47616 55.8 5.70024546257273e-06 5.70024546258805e-06 5.70024546257672e-06
48128 56.4 5.70109337631678e-06 5.70109337632545e-06 5.70109337632041e-06
48640 57 5.70062425632172e-06 5.70062425632045e-06 5.70062425633022e-06
49152 57.6 5.73413182564347e-06 5.73413182563897e-06 5.73413182565319e-06
49664 58.2 5.81499344962931e-06 5.81499344963659e-06 5.81499344963749e-06
50176 58.8 5.92758043002363e-06 5.92758043003708e-06 5.92758043002591e-06
50688 59.4 6.02915096091889e-06 6.02915096093193e-06 6.02915096091852e-06
51200 60 6.092123661066e-06 6.09212366107124e-06 6.09212366107015e-06
51712 60.6 6.13308643179661e-06 6.13308643178476e-06 6.13308643180359e-06
52224 61.2 6.17859707730828e-06 6.17859707728895e-06 6.17859707731135e-06
52736 61.8 6.23843763943113e-06 6.23843763941467e-06 6.23843763942689e-06
53248 62.4 6.30103821486102e-06 6.30103821485659e-06 6.30103821485631e-06
53760 63 6.34515616899819e-06 6.34515616901748e-06 6.34515616901017e-06
54272 63.6 6.37668024296702e-06 6.3766802429976e-06 6.37668024299121e-06
54784 64.2 6.41637298922421e-06 6.41637298923986e-06 6.41637298923912e-06
55296 64.8 6.47029799057479e-06 6.4702979905758e-06 6.47029799058075e-06
55808 65.4 6.53317279254578e-06 6.53317279254342e-06 6.53317279255079e-06
56320 66 6.6027316370596e-06 6.60273163705493e-06 6.60273163705693e-06
56832 66.6 6.67772401679436e-06 6.67772401679051e-06 6.67772401678755e-06
57344 67.2 6.78481963030919e-06 6.78481963030869e-06 6.7848196303071e-06
57856 67.8 6.88109801848917e-06 6.88109801849236e-06 6.88109801849035e-06
58368 68.4 6.99765024358648e-06 6.99765024358743e-06 6.99765024358328e-06
58880 69 7.01974568125959e-06 7.01974568125628e-06 7.01974568125144e-06
59392 69.6 6.98284685204551e-06 6.98284685203631e-06 6.98284685204075e-06
59904 70.2 6.81028376012361e-06 6.81028376010961e-06 6.81028376012548e-06
60416 70.8 6.82430422790187e-06 6.82430422789265e-06 6.82430422790568e-06
60928 71.4 6.42526232623284e-06 6.42526232623816e-06 6.42526232623197e-06
61440 72 6.16163000605413e-06 6.16163000607437e-06 6.16163000605626e-06
61952 72.6 5.87548696748444e-06 5.8754869675e-06 5.87548696748918e-06
