# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 8.80155491828918 0 0.153951406478882 0 8.70346307754517 0 0 0 0 0 0 0 0 0 9.01983999306547 10479.6664042508 0 10479.6664042508 160 327251 2003 325248 0 0 0 0 8.79947972297668 1752346418.53481 266
512 0.6 3145.60239434884 3145.60239434884 9.5525598526001 0.686672925949097 0.841845035552979 0 8.71250891685486 3 228627.042172969 228627.042172969 156992 156992 99028.2235257967 99028.2235257967 68000 68000 20.8938076636169 38937.9066039702 1599.06509311274 37338.8415108574 186 339373 14125 325248 0 0 0 0 9.54043793678284 1752346419.28582 905
1024 1.2 3449.34654967178 3449.34654967178 10.1182980537415 1.25241112709045 1.37386846542358 0 8.77039885520935 6 250703.617373181 250703.617373181 313984 313984 108590.539526704 108590.539526704 136000 136000 27.9034781555074 39475.9882864359 1754.14529273495 37721.842993701 284 352883 15539 337344 0 0 0 0 10.096607208252 1752346419.85156 1544
1536 1.8 2804.5027830824 2804.5027830824 11.1764569282532 2.31057000160217 2.39909195899963 0 8.77990889549255 9 203835.417093367 203835.417093367 470976 470976 88289.9024303719 88289.9024303719 204000 204000 34.8623990311324 40344.3403846651 1910.93797042217 38433.4024142429 310 354317 16973 337344 0 0 0 0 11.1438553333282 1752346420.90971 2183
2048 2.4 2705.59892274137 2705.59892274137 12.0592648983002 3.19337797164917 3.21969938278198 0 8.89168381690979 12 196646.937999543 196646.937999543 627968 627968 85176.2623825985 85176.2623825985 272000 272000 46.3823701832663 50474.5396384841 2059.49036386918 48415.0492746149 492 680998 18406 662592 0 0 0 0 12.0179803371429 1752346421.79252 2822
2560 3 2665.13463557859 2665.13463557859 12.9182150363922 4.05232810974121 4.01973080635071 0 8.90103602409363 15 193705.93366146 193705.93366146 784960 784960 83902.3866756221 83902.3866756221 340000 340000 57.7626466162319 76668.3383779866 2207.11746992762 74461.220908059 518 682424 19832 662592 0 0 0 0 12.8668687343597 1752346422.65147 3461
3072 3.6 2591.57699927957 2591.57699927957 13.8667030334473 5.00081610679626 4.92553734779358 0 8.97582006454468 18 188359.655680971 188359.655680971 941952 941952 81586.6833106531 81586.6833106531 408000 408000 64.4211303369767 76972.2902131507 2351.14757281931 74621.1426403314 616 695911 21223 674688 0 0 0 0 13.8039193153381 1752346423.59996 4100
3584 4.2 2634.93861451103 2634.93861451103 14.6041610240936 5.73827409744263 5.61749839782715 0 8.98848247528076 21 191511.242115424 191511.242115424 1098944 1098944 82951.7711975694 82951.7711975694 476000 476000 70.9940972008046 77575.6283497682 2499.03673187409 75076.5916178941 642 697346 22658 674688 0 0 0 0 14.5300240516663 1752346424.33742 4739
4096 4.8 2689.99528084502 2638.32448806398 15.2896900177002 6.42380309104919 6.23981976509094 0 9.11044979095459 24 195512.84219001 195512.84219001 1255936 1255936 84685.0366191951 84685.0366191951 544000 544000 81.9901257463959 87206.5541240722 2640.47984479229 84566.0742792799 824 1024032 24096 999936 0 0 0 0 15.2070832252502 1752346425.02295 5378
4608 5.4 2726.72686311172 2643.90900275247 15.9953138828278 7.12942695617676 6.87510538101196 0 9.12264847755432 27 198182.548006313 198182.548006313 1412928 1412928 85841.4012461098 85841.4012461098 612000 612000 92.7610371880824 112417.495696055 2777.8970179197 109639.598678135 850 1025472 25536 999936 0 0 0 0 15.9026243686676 1752346425.72857 6017
