# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.1053990159357e-10
512 0.6 1.1053990159357e-10
1024 1.2 1.1053990159357e-10
1536 1.8 1.1053990159357e-10
2048 2.4 1.1053990159357e-10
2560 3 1.1053990159357e-10
3072 3.6 1.1053990159357e-10
3584 4.2 1.1053990159357e-10
4096 4.8 1.1053990159357e-10
4608 5.4 1.1053990159357e-10
5120 6 1.1053990159357e-10
5632 6.6 1.1053990159357e-10
6144 7.2 1.10540372898317e-10
6656 7.8 1.10540997223704e-10
7168 8.4 1.10541636723638e-10
7680 9 1.10542290769627e-10
8192 9.6 1.10542959746532e-10
8704 10.2 1.10543643200171e-10
9216 10.8 1.10544340169081e-10
9728 11.4 1.10545050249337e-10
10240 12 1.10545773479529e-10
10752 12.6 1.1054650957929e-10
11264 13.2 1.10547257833713e-10
11776 13.8 1.10548017724489e-10
12288 14.4 1.10548789062191e-10
12800 15 1.10549571426454e-10
13312 15.6 1.10550364061322e-10
13824 16.2 1.10551166299993e-10
14336 16.8 1.10551977635693e-10
14848 17.4 1.10552797403781e-10
15360 18 1.10553624685145e-10
15872 18.6 1.1055445853734e-10
16384 19.2 1.10555298107425e-10
16896 19.8 1.10556142434277e-10
17408 20.4 1.10556990330233e-10
17920 21 1.10557840553485e-10
18432 21.6 1.10558691903723e-10
18944 22.2 1.10559543080183e-10
19456 22.8 1.1056039272511e-10
19968 23.4 1.10561239846918e-10
20480 24 1.10562083580776e-10
20992 24.6 1.10562920611774e-10
21504 25.2 1.10563742236704e-10
22016 25.8 1.10564539233469e-10
22528 26.4 1.10565316047315e-10
23040 27 1.10566092997895e-10
23552 27.6 1.10566880752481e-10
24064 28.2 1.10567668420429e-10
24576 28.8 1.10568470764819e-10
25088 29.4 1.10569363949426e-10
