# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.0136261151754632
512 0.6 0.013626115176231
1024 1.2 0.01362611517918
1536 1.8 0.0136261151853542
2048 2.4 0.0136261151960768
2560 3 0.0136261152112798
3072 3.6 0.013626115230585
3584 4.2 0.0136261152542006
4096 4.8 0.0136261152817366
4608 5.4 0.0136261153136756
5120 6 0.0136261153495265
5632 6.6 0.0136261153896776
6144 7.2 0.0136261154346964
6656 7.8 0.0136261154840272
7168 8.4 0.0136261155370243
7680 9 0.0136261155931046
8192 9.6 0.0136261156528048
8704 10.2 0.0136261157181535
9216 10.8 0.0136261157858178
9728 11.4 0.0136261158587783
10240 12 0.0136261159359329
10752 12.6 0.0136261160159548
11264 13.2 0.0136261160992361
11776 13.8 0.0136261161850582
12288 14.4 0.0136261162743814
12800 15 0.0136261163664672
13312 15.6 0.013626116461649
13824 16.2 0.0136261165620231
14336 16.8 0.0136261166645842
14848 17.4 0.0136261167697863
15360 18 0.0136261168772886
15872 18.6 0.01362611698678
16384 19.2 0.0136261170980631
16896 19.8 0.0136261172081265
17408 20.4 0.0136261173224379
17920 21 0.0136261174393297
18432 21.6 0.0136261175552032
18944 22.2 0.0136261176727013
19456 22.8 0.0136261177951761
19968 23.4 0.0136261179205031
20480 24 0.0136261180492844
20992 24.6 0.0136261181798329
21504 25.2 0.0136261183137664
22016 25.8 0.0136261184536248
22528 26.4 0.0136261185937188
23040 27 0.0136261187334056
23552 27.6 0.0136261188736596
24064 28.2 0.0136261190135033
24576 28.8 0.0136261191553375
25088 29.4 0.0136261193023256
25600 30 0.0136261194493054
26112 30.6 0.0136261196003833
26624 31.2 0.0136261197530772
27136 31.8 0.0136261199043608
27648 32.4 0.013626120055857
28160 33 0.0136261202065297
28672 33.6 0.0136261203546231
29184 34.2 0.0136261205050582
29696 34.8 0.0136261206574533
30208 35.4 0.0136261208126761
30720 36 0.0136261209712112
31232 36.6 0.0136261211326972
31744 37.2 0.0136261212941868
32256 37.8 0.0136261214627043
32768 38.4 0.0136261216285317
33280 39 0.0136261217942059
33792 39.6 0.0136261219621429
34304 40.2 0.013626122129689
34816 40.8 0.0136261222962292
35328 41.4 0.0136261224639358
35840 42 0.0136261226275583
36352 42.6 0.013626122789417
36864 43.2 0.0136261229517911
37376 43.8 0.0136261231201033
37888 44.4 0.0136261232889563
38400 45 0.013626123453704
38912 45.6 0.0136261236206861
39424 46.2 0.0136261237889154
39936 46.8 0.0136261239565674
40448 47.4 0.0136261241270941
40960 48 0.0136261242973524
41472 48.6 0.0136261244654084
41984 49.2 0.0136261246327557
42496 49.8 0.0136261247990394
43008 50.4 0.0136261249692729
43520 51 0.0136261251383337
44032 51.6 0.0136261253123844
44544 52.2 0.0136261254858809
45056 52.8 0.0136261256593853
45568 53.4 0.0136261258332504
46080 54 0.0136261260096609
46592 54.6 0.0136261261860593
47104 55.2 0.013626126363052
47616 55.8 0.0136261265435752
48128 56.4 0.013626126727006
48640 57 0.013626126911535
49152 57.6 0.0136261270988892
49664 58.2 0.0136261272847533
50176 58.8 0.0136261274708379
50688 59.4 0.0136261276536922
51200 60 0.0136261278298832
51712 60.6 0.0136261280140067
52224 61.2 0.0136261282052472
52736 61.8 0.0136261283965481
53248 62.4 0.0136261285916187
53760 63 0.0136261287890982
54272 63.6 0.0136261289927047
54784 64.2 0.0136261291965853
55296 64.8 0.0136261294009911
55808 65.4 0.013626129604337
56320 66 0.0136261298101885
56832 66.6 0.0136261300151189
57344 67.2 0.0136261302299347
57856 67.8 0.0136261304485031
58368 68.4 0.0136261306690393
58880 69 0.0136261308924855
59392 69.6 0.0136261311141139
59904 70.2 0.0136261313379157
60416 70.8 0.0136261315637587
60928 71.4 0.0136261317930417
61440 72 0.0136261320200063
61952 72.6 0.0136261322525884
62464 73.2 0.0136261324825464
62976 73.8 0.013626132712555
63488 74.4 0.0136261329437333
64000 75 0.0136261331760766
64512 75.6 0.013626133408331
65024 76.2 0.0136261336374611
65536 76.8 0.013626133861175
66048 77.4 0.013626134097912
66560 78 0.0136261343362245
67072 78.6 0.0136261345752637
67584 79.2 0.0136261348127197
68096 79.8 0.0136261350503659
68608 80.4 0.0136261352828489
69120 81 0.0136261355128586
69632 81.6 0.0136261357429818
70144 82.2 0.0136261359705679
70656 82.8 0.0136261361916044
71168 83.4 0.0136261364221083
71680 84 0.0136261366647349
72192 84.6 0.0136261369049224
72704 85.2 0.0136261371465129
73216 85.8 0.0136261373868538
73728 86.4 0.0136261376260752
74240 87 0.0136261378662753
74752 87.6 0.0136261381081444
75264 88.2 0.01362613835453
