# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000155647998163655
512 0.6 0.000154616277998758
1024 1.2 0.000153666356447878
1536 1.8 0.000152811963931269
2048 2.4 0.00015206399428194
2560 3 0.000151413070427796
3072 3.6 0.000150861879819848
3584 4.2 0.00015042542670118
4096 4.8 0.000150115580512025
4608 5.4 0.000150024644792667
5120 6 0.000150199462148682
5632 6.6 0.000150585418906516
6144 7.2 0.00015110779908905
6656 7.8 0.000151749973892476
7168 8.4 0.000152494700022059
7680 9 0.000153323658037818
8192 9.6 0.000154221038744111
8704 10.2 0.000155175144275633
9216 10.8 0.000156175632960316
9728 11.4 0.000157209091393965
10240 12 0.000158258390144898
10752 12.6 0.000159307189851682
11264 13.2 0.000160344885483903
11776 13.8 0.000161360364016245
12288 14.4 0.000162306389889485
12800 15 0.000163173550560101
13312 15.6 0.000163959317195402
13824 16.2 0.000164660256673677
14336 16.8 0.000165293357240112
14848 17.4 0.000165879189421039
15360 18 0.000166438066137577
15872 18.6 0.00016698856046545
16384 19.2 0.000167546648345766
16896 19.8 0.000168125663523216
17408 20.4 0.000168737634896578
17920 21 0.000169394307371563
18432 21.6 0.000170101658414191
18944 22.2 0.000170853642635612
19456 22.8 0.000171645944120896
19968 23.4 0.000172469042467397
20480 24 0.000173313998111232
20992 24.6 0.000174176093103873
21504 25.2 0.000175052112533593
22016 25.8 0.000175933360904714
22528 26.4 0.0001768062779314
23040 27 0.000177655957040068
23552 27.6 0.00017847075082079
24064 28.2 0.000179241921501138
24576 28.8 0.000179962738377599
25088 29.4 0.00018062853017044
25600 30 0.000181236876671013
26112 30.6 0.000181788006934866
26624 31.2 0.000182286258756727
27136 31.8 0.000182740261192595
27648 32.4 0.000183161319616453
28160 33 0.000183559849957697
28672 33.6 0.000183942745972163
29184 34.2 0.000184314075199186
29696 34.8 0.000184675465596283
30208 35.4 0.000185023420655979
30720 36 0.000185365432302425
31232 36.6 0.000185710911710822
31744 37.2 0.000186065880819782
