# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.6 1.00060576304475
1024 1.2 1.00046756601049
1536 1.8 1.00034884567828
2048 2.4 1.0003461978883
2560 3 1.00053701003044
3072 3.6 1.00076614757849
3584 4.2 1.00103055115994
4096 4.8 1.00132670758178
4608 5.4 1.00165060930234
5120 6 1.00199780394904
5632 6.6 1.00236381319103
6144 7.2 1.00274434397094
6656 7.8 1.00313538161675
7168 8.4 1.0035332611312
7680 9 1.00393487045081
8192 9.6 1.00433730528504
8704 10.2 1.00473738620335
9216 10.8 1.00525052242395
9728 11.4 1.00593009094391
10240 12 1.00664204649072
10752 12.6 1.00738368732578
11264 13.2 1.00815205320073
11776 13.8 1.00894447119379
12288 14.4 1.00975812319351
12800 15 1.01058918981305
13312 15.6 1.01143324155467
13824 16.2 1.01228561911
14336 16.8 1.0131408155578
14848 17.4 1.01409004713933
15360 18 1.0150759482026
15872 18.6 1.01606908049978
16384 19.2 1.01706556064484
16896 19.8 1.01805990161524
17408 20.4 1.0190488596074
17920 21 1.02002904143239
18432 21.6 1.0209984885429
18944 22.2 1.02195510909225
19456 22.8 1.02289724418989
19968 23.4 1.02382311759304
20480 24 1.02472658397191
20992 24.6 1.02560312031998
21504 25.2 1.02644879742036
22016 25.8 1.02725972866895
22528 26.4 1.02803210610452
23040 27 1.02876218577921
23552 27.6 1.02951224071893
24064 28.2 1.03024318010803
24576 28.8 1.0309114386429
25088 29.4 1.0315115574428
25600 30 1.03203208310718
26112 30.6 1.03243330435013
26624 31.2 1.03267062602213
27136 31.8 1.0327851832927
27648 32.4 1.03279010969155
28160 33 1.03269561319031
28672 33.6 1.0326546919334
29184 34.2 1.03350977008295
29696 34.8 1.03452171030678
30208 35.4 1.03551807754945
30720 36 1.03649239402825
31232 36.6 1.03744028123014
31744 37.2 1.0383584182384
32256 37.8 1.03924392145095
32768 38.4 1.04009293584667
33280 39 1.04089960415562
33792 39.6 1.04192790281308
34304 40.2 1.04296756750678
34816 40.8 1.04398084157231
35328 41.4 1.04497032914793
35840 42 1.04593288168625
36352 42.6 1.04686366099157
36864 43.2 1.04775915512812
37376 43.8 1.0486178407647
37888 44.4 1.04981077004023
38400 45 1.05105185162931
38912 45.6 1.05228208406449
39424 46.2 1.05349888545106
39936 46.8 1.05470186478955
40448 47.4 1.05589130785791
40960 48 1.05706591970512
41472 48.6 1.05822247596116
41984 49.2 1.05935785293317
42496 49.8 1.06047065836056
43008 50.4 1.06156000675744
43520 51 1.06262422791646
44032 51.6 1.06366059509292
44544 52.2 1.06466612633373
45056 52.8 1.06563822825148
45568 53.4 1.06657470933727
46080 54 1.0674742337371
46592 54.6 1.06834304599755
47104 55.2 1.06918851955363
47616 55.8 1.07001144197131
48128 56.4 1.07081090965353
48640 57 1.07158536527025
49152 57.6 1.07233417222658
49664 58.2 1.07305808777952
50176 58.8 1.07375803288448
50688 59.4 1.07443179987133
51200 60 1.07507607539507
51712 60.6 1.07568495441546
52224 61.2 1.07625201942085
52736 61.8 1.07677608757251
53248 62.4 1.07725915473151
53760 63 1.07770777015069
54272 63.6 1.07812822463683
54784 64.2 1.07852376855065
55296 64.8 1.07887229693886
55808 65.4 1.07917645204334
56320 66 1.07944617836875
56832 66.6 1.07969100668822
57344 67.2 1.07992087217009
57856 67.8 1.08014168342044
58368 68.4 1.08037071381482
58880 69 1.08074573320127
59392 69.6 1.08111474029393
59904 70.2 1.08147949817388
60416 70.8 1.08184042484785
60928 71.4 1.08219720384916
61440 72 1.08254978163047
61952 72.6 1.08289752274197
62464 73.2 1.08323941274947
62976 73.8 1.08357360430717
63488 74.4 1.08389393486278
64000 75 1.08418962144308
64512 75.6 1.08445969079196
65024 76.2 1.08470397071404
65536 76.8 1.08492127471738
66048 77.4 1.08510791432936
66560 78 1.08526008998752
67072 78.6 1.085375753596
67584 79.2 1.08545396308651
68096 79.8 1.08549367114895
68608 80.4 1.08549380958675
69120 81 1.08545318104924
69632 81.6 1.08537064670534
70144 82.2 1.08524510453441
70656 82.8 1.08507526953995
71168 83.4 1.08486040668349
71680 84 1.08459417724279
72192 84.6 1.08426125113503
72704 85.2 1.08386353137863
73216 85.8 1.08340416817724
73728 86.4 1.08288765611218
74240 87 1.08232153430408
74752 87.6 1.08171545043976
75264 88.2 1.08107862772562
75776 88.8 1.0804199087146
76288 89.4 1.07974780482971
76800 90 1.07907153167646
77312 90.6 1.07842875665213
77824 91.2 1.07782925893007
78336 91.8 1.07726670379072
78848 92.4 1.07674867515226
79360 93 1.07629510738368
79872 93.6 1.07591025524357
80384 94.2 1.0755833765545
80896 94.8 1.075081343481
81408 95.4 1.07434000489462
81920 96 1.07359034169611
82432 96.6 1.07284005221443
82944 97.2 1.07209276089416
83456 97.8 1.07134409624125
83968 98.4 1.07052245493022
84480 99 1.0697121092914
84992 99.6 1.06892877358863
85504 100.2 1.06821041067482
86016 100.8 1.06777178087605
