# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.00017948747228066
512 0.6 -0.000190390631907931
1024 1.2 -0.000209155015073657
1536 1.8 -0.00022036161843734
2048 2.4 -0.000272075814724855
2560 3 -0.000386727467884306
3072 3.6 -0.000483498125519691
3584 4.2 -0.000569778592043436
4096 4.8 -0.000657550914263285
4608 5.4 -0.000739652744676051
5120 6 -0.000810756861329054
5632 6.6 -0.000865435881125753
6144 7.2 -0.000895240721501223
6656 7.8 -0.00090682999452344
7168 8.4 -0.000920485793599529
7680 9 -0.000949756127894449
8192 9.6 -0.000987940512098956
8704 10.2 -0.00101853373795908
9216 10.8 -0.00103396946116334
9728 11.4 -0.00103822365763585
10240 12 -0.00103748009767073
10752 12.6 -0.00103894439774718
11264 13.2 -0.00105439760348697
11776 13.8 -0.00108891883741861
12288 14.4 -0.0011242946105569
12800 15 -0.00113293427201354
13312 15.6 -0.00112382824907561
13824 16.2 -0.00114196236737522
14336 16.8 -0.001215165619604
14848 17.4 -0.00131340924571296
15360 18 -0.00138577514647941
15872 18.6 -0.00143105449282305
16384 19.2 -0.00148808944679492
16896 19.8 -0.00157006830263086
17408 20.4 -0.00165060699358411
17920 21 -0.00171080561263584
18432 21.6 -0.00176110151654556
18944 22.2 -0.00180977131247006
19456 22.8 -0.00184911951745749
19968 23.4 -0.00187921813168871
20480 24 -0.0019151226077472
20992 24.6 -0.00196303202581554
21504 25.2 -0.00200863582371435
22016 25.8 -0.00203656634004221
22528 26.4 -0.00205070567064786
23040 27 -0.0020707954197592
23552 27.6 -0.00211300391199363
24064 28.2 -0.00217307701222636
24576 28.8 -0.00222861423129626
25088 29.4 -0.0022635322339902
25600 30 -0.00228704979077764
26112 30.6 -0.00232360994360679
26624 31.2 -0.00238510075903707
27136 31.8 -0.00245947651020171
27648 32.4 -0.00252635333686041
28160 33 -0.00257770775990353
28672 33.6 -0.00262221269054408
29184 34.2 -0.0026739119666574
29696 34.8 -0.00273916176787703
30208 35.4 -0.00281277630038944
30720 36 -0.00288430020943798
31232 36.6 -0.00294710298436278
31744 37.2 -0.00300242155244685
32256 37.8 -0.00305650954311944
32768 38.4 -0.00311484210642135
33280 39 -0.00317836482331478
33792 39.6 -0.00324367094385855
34304 40.2 -0.00330560690256934
34816 40.8 -0.00336063758328229
35328 41.4 -0.00340999524974804
35840 42 -0.0034596724932401
36352 42.6 -0.00351498757300563
36864 43.2 -0.00357471520202221
37376 43.8 -0.00363248206700271
37888 44.4 -0.00368373118251651
