# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.6 2.20131306486089e-05 2.20131306486108e-05 2.2013130648618e-05
1024 1.2 2.70373034133509e-05 2.70373034133582e-05 2.70373034133552e-05
1536 1.8 2.37155285637293e-05 2.37155285637247e-05 2.37155285636857e-05
2048 2.4 2.48481023886584e-05 2.4848102388669e-05 2.48481023886895e-05
2560 3 2.83562156916581e-05 2.83562156917448e-05 2.83562156916509e-05
3072 3.6 1.84751668070509e-05 1.84751668069788e-05 1.84751668070448e-05
3584 4.2 1.8481958050818e-05 1.84819580507024e-05 1.84819580506674e-05
4096 4.8 1.33876800552507e-05 1.33876800550864e-05 1.33876800551159e-05
4608 5.4 1.70883016565456e-05 1.70883016565924e-05 1.70883016569683e-05
5120 6 1.46108811892314e-05 1.46108811889691e-05 1.46108811885716e-05
5632 6.6 1.74789333675326e-05 1.74789333675828e-05 1.74789333673039e-05
6144 7.2 2.48246536943132e-05 2.48246536937787e-05 2.48246536940565e-05
6656 7.8 3.92505911618562e-05 3.92505911613094e-05 3.92505911612086e-05
7168 8.4 4.43596803446828e-05 4.43596803446409e-05 4.43596803441479e-05
7680 9 3.95556929900015e-05 3.95556929906158e-05 3.95556929898108e-05
8192 9.6 3.52298455875256e-05 3.52298455871459e-05 3.52298455872657e-05
8704 10.2 3.76184882076703e-05 3.76184882085296e-05 3.76184882078328e-05
9216 10.8 4.79795774799952e-05 4.79795774800723e-05 4.79795774806877e-05
9728 11.4 5.39193000824525e-05 5.39193000818484e-05 5.39193000836223e-05
10240 12 4.73294738554571e-05 4.73294738566149e-05 4.73294738544872e-05
10752 12.6 5.00193061979353e-05 5.00193061992252e-05 5.00193061992368e-05
11264 13.2 4.75881042322619e-05 4.7588104233515e-05 4.75881042349521e-05
11776 13.8 4.38625120992665e-05 4.38625120991214e-05 4.38625121002917e-05
12288 14.4 4.14675259392968e-05 4.14675259401656e-05 4.1467525940062e-05
12800 15 4.0134937591297e-05 4.01349375926575e-05 4.01349375915688e-05
13312 15.6 4.08190543963706e-05 4.08190543977742e-05 4.08190543941054e-05
13824 16.2 4.0684460115302e-05 4.06844601147673e-05 4.06844601139053e-05
14336 16.8 4.24237942242404e-05 4.24237942224191e-05 4.2423794225074e-05
14848 17.4 4.50060218573038e-05 4.50060218547748e-05 4.50060218584163e-05
15360 18 4.01988146428685e-05 4.01988146408546e-05 4.01988146426286e-05
15872 18.6 2.65434425068202e-05 2.65434425062752e-05 2.65434425058751e-05
16384 19.2 4.8398824872704e-05 4.83988248716674e-05 4.83988248715154e-05
16896 19.8 6.63803983574179e-05 6.63803983578344e-05 6.63803983574031e-05
17408 20.4 6.71887589423322e-05 6.71887589436705e-05 6.71887589435645e-05
17920 21 5.48180779543696e-05 5.48180779547332e-05 5.48180779558528e-05
18432 21.6 4.06065114872831e-05 4.06065114862607e-05 4.06065114889512e-05
18944 22.2 4.21123466804172e-05 4.2112346678376e-05 4.21123466785033e-05
19456 22.8 5.12066706304995e-05 5.12066706283491e-05 5.12066706297233e-05
19968 23.4 4.96803394759979e-05 4.96803394741637e-05 4.96803394768849e-05
20480 24 5.50384035902059e-05 5.50384035881802e-05 5.50384035885465e-05
20992 24.6 4.24727472002013e-05 4.24727472009017e-05 4.24727472011084e-05
21504 25.2 5.30028008728642e-05 5.30028008740361e-05 5.30028008719876e-05
22016 25.8 5.55958418949839e-05 5.55958418971152e-05 5.55958418962639e-05
22528 26.4 4.62340659348606e-05 4.62340659351724e-05 4.6234065937963e-05
23040 27 4.10231960130456e-05 4.10231960136693e-05 4.10231960118955e-05
23552 27.6 3.64192972387005e-05 3.64192972386683e-05 3.6419297238086e-05
24064 28.2 3.51483038549539e-05 3.51483038554795e-05 3.51483038537172e-05
24576 28.8 3.65573431810993e-05 3.65573431829222e-05 3.65573431782302e-05
25088 29.4 3.87847354789064e-05 3.87847354805514e-05 3.87847354765611e-05
25600 30 4.01555773730345e-05 4.01555773733213e-05 4.01555773739793e-05
26112 30.6 3.8432172241134e-05 3.84321722407374e-05 3.84321722448673e-05
26624 31.2 3.34856443138738e-05 3.34856443138843e-05 3.34856443176421e-05
27136 31.8 3.34355008737909e-05 3.34355008723428e-05 3.34355008731403e-05
27648 32.4 3.89091964315665e-05 3.8909196432985e-05 3.89091964329855e-05
28160 33 4.02073994683356e-05 4.02073994662331e-05 4.02073994670963e-05
