# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:40:06+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000163839998067005
512 0.5 0.000163077304642421
1024 1 0.000162347608985209
1536 1.5 0.000161665280828926
2048 2 0.000161025805470367
2560 2.5 0.000160433500947709
3072 3 0.000159893975854205
3584 3.5 0.00015944747298643
4096 4 0.000159083956069713
4608 4.5 0.0001588048913659
5120 5 0.00015861044656428
5632 5.5 0.000158499199520528
6144 6 0.000158467729676686
6656 6.5 0.000158510230055397
7168 7 0.000158618808096499
7680 7.5 0.000158784487302522
8192 8 0.000158998115938697
8704 8.5 0.000159250425689397
9216 9 0.000159531620630612
9728 9.5 0.000159831782505609
10240 10 0.00016014204329523
10752 10.5 0.000160455106926678
11264 11 0.000160764022333484
11776 11.5 0.000161061181511557
12288 12 0.000161339997377151
12800 12.5 0.000161597652046948
13312 13 0.000161834608292617
13824 13.5 0.000162050878843568
14336 14 0.000162244643333895
14848 14.5 0.000162415041364772
15360 15 0.000162564005048724
15872 15.5 0.000162693201701235
16384 16 0.000162800556070364
16896 16.5 0.000162882404609929
17408 17 0.00016293871818982
17920 17.5 0.00016297373877771
18432 18 0.000162991017226542
18944 18.5 0.000162989658934684
19456 19 0.000162966087804742
19968 19.5 0.000162918066076356
20480 20 0.000162846479533553
20992 20.5 0.000162755001183777
21504 21 0.000162649547648787
22016 21.5 0.000162536959325893
22528 22 0.000162421720099221
23040 22.5 0.00016230283589021
23552 23 0.000162174925726492
24064 23.5 0.000162034097110238
24576 24 0.000161883549399015
25088 24.5 0.000161732700520098
25600 25 0.000161589335169211
26112 25.5 0.000161451896894612
26624 26 0.000161310274911284
27136 26.5 0.000161155329991496
27648 27 0.000160987714511664
28160 27.5 0.000160816582785033
28672 28 0.000160649478934428
29184 28.5 0.000160484122529275
29696 29 0.000160310365390226
30208 29.5 0.000160119687882745
30720 30 0.000159912574036188
31232 30.5 0.000159697149711125
31744 31 0.000159480886243575
32256 31.5 0.000159263123037271
32768 32 0.000159035529307741
33280 32.5 0.000158790629465029
33792 33 0.000158530191675659
34304 33.5 0.000158264196579963
34816 34 0.000158000682255319
35328 34.5 0.000157737723723125
35840 35 0.000157467244556419
36352 35.5 0.000157186201265993
36864 36 0.000156901340567844
37376 36.5 0.000156621778124903
37888 37 0.000156349269917548
38400 37.5 0.000156078707845384
38912 38 0.000155807376835851
39424 38.5 0.000155539923815748
39936 39 0.000155282641939706
40448 39.5 0.000155035971382377
40960 40 0.000154796188969764
41472 40.5 0.000154563244513484
41984 41 0.00015434259222821
42496 41.5 0.000154138119832249
43008 42 0.000153946870200148
43520 42.5 0.000153763691396097
44032 43 0.000153589131097028
44544 43.5 0.000153429055120577
45056 44 0.000153286643906253
45568 44.5 0.00015315835887303
46080 45 0.000153039341922156
46592 45.5 0.000152930058747901
47104 46 0.000152834826844178
47616 46.5 0.000152755059042909
48128 47 0.000152687225280731
48640 47.5 0.000152627921622699
49152 48 0.000152578126040124
49664 48.5 0.000152540714119251
50176 49 0.00015251556090933
50688 49.5 0.000152499478288252
51200 50 0.000152490421177436
51712 50.5 0.000152489385488766
52224 51 0.000152497688583188
52736 51.5 0.000152514318334464
53248 52 0.000152537194846097
53760 52.5 0.000152565835629967
54272 53 0.000152601184533468
54784 53.5 0.000152643204623142
55296 54 0.000152690183054253
55808 54.5 0.000152740732625134
56320 55 0.000152795334355328
