# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:40:06+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -2.21006791752653e-05 -2.21006791752715e-05 -2.21006791752716e-05
1024 1 -3.62242048206751e-05 -3.62242048206773e-05 -3.62242048206795e-05
1536 1.5 -4.92342467765563e-05 -4.92342467765563e-05 -4.92342467765562e-05
2048 2 -3.42829031306583e-05 -3.42829031306379e-05 -3.42829031306174e-05
2560 2.5 -2.97654072484929e-05 -2.9765407248487e-05 -2.9765407248481e-05
3072 3 -5.2842906686766e-05 -5.28429066867311e-05 -5.28429066867274e-05
3584 3.5 -4.69567964452238e-05 -4.69567964451484e-05 -4.69567964451921e-05
4096 4 -3.57986410770718e-05 -3.57986410770627e-05 -3.57986410770519e-05
4608 4.5 -2.49184966632137e-05 -2.49184966632145e-05 -2.49184966632065e-05
5120 5 -3.4872958769636e-05 -3.48729587696729e-05 -3.48729587701352e-05
5632 5.5 -4.40830925414671e-05 -4.40830925417244e-05 -4.40830925416503e-05
6144 6 -3.53904534109701e-05 -3.53904534114521e-05 -3.53904534102309e-05
6656 6.5 -3.36680029412213e-05 -3.3668002940932e-05 -3.36680029412308e-05
7168 7 -3.35830670297425e-05 -3.35830670296869e-05 -3.35830670300634e-05
7680 7.5 -2.97849901692006e-05 -2.97849901692563e-05 -2.9784990169679e-05
8192 8 -3.13502794136038e-05 -3.13502794143738e-05 -3.13502794145341e-05
8704 8.5 -2.57274745826608e-05 -2.57274745822827e-05 -2.57274745835062e-05
9216 9 -2.90317840615031e-05 -2.90317840612105e-05 -2.90317840599904e-05
9728 9.5 -2.75316661907556e-05 -2.75316661911717e-05 -2.75316661901604e-05
10240 10 -4.86643408920369e-05 -4.86643408926197e-05 -4.86643408907071e-05
10752 10.5 -4.41141136001019e-05 -4.41141135986427e-05 -4.41141135984736e-05
11264 11 -4.54356922904394e-05 -4.54356922901828e-05 -4.54356922913343e-05
11776 11.5 -5.93132600879374e-05 -5.93132600879699e-05 -5.93132600883379e-05
12288 12 -6.73968581531853e-05 -6.73968581531211e-05 -6.73968581527335e-05
12800 12.5 -7.53151289462916e-05 -7.53151289465636e-05 -7.53151289453627e-05
13312 13 -7.2374357950953e-05 -7.23743579499684e-05 -7.23743579497075e-05
13824 13.5 -5.36875177254671e-05 -5.36875177237622e-05 -5.36875177248965e-05
14336 14 -3.42182057306402e-05 -3.4218205731182e-05 -3.42182057315676e-05
14848 14.5 -3.67904375109418e-05 -3.6790437510804e-05 -3.67904375116741e-05
15360 15 -3.29942573108766e-05 -3.29942573111452e-05 -3.29942573125559e-05
15872 15.5 -3.75979166772343e-05 -3.75979166783944e-05 -3.75979166753505e-05
16384 16 -4.64695116035685e-05 -4.64695116017205e-05 -4.64695116031503e-05
16896 16.5 -4.0653365535652e-05 -4.06533655365623e-05 -4.06533655364439e-05
17408 17 -5.20315287707358e-05 -5.2031528769194e-05 -5.20315287720842e-05
17920 17.5 -5.71984706531446e-05 -5.71984706520183e-05 -5.71984706557887e-05
18432 18 -3.93110031536368e-05 -3.9311003153671e-05 -3.93110031542452e-05
18944 18.5 -3.54929079229737e-05 -3.54929079226633e-05 -3.54929079240014e-05
19456 19 -3.22342703211847e-05 -3.2234270320351e-05 -3.2234270318479e-05
19968 19.5 -3.60278148249035e-05 -3.6027814827393e-05 -3.60278148262164e-05
20480 20 -4.22572869925352e-05 -4.22572869931624e-05 -4.22572869940246e-05
20992 20.5 -4.71955220611252e-05 -4.71955220599295e-05 -4.71955220597896e-05
21504 21 -5.26826717127168e-05 -5.26826717154881e-05 -5.26826717131911e-05
22016 21.5 -5.76568634828496e-05 -5.76568634823023e-05 -5.76568634775034e-05
22528 22 -5.11817010879041e-05 -5.11817010952349e-05 -5.11817010900571e-05
23040 22.5 -4.95657829521683e-05 -4.95657829501812e-05 -4.95657829489603e-05
23552 23 -5.19823098623401e-05 -5.19823098613235e-05 -5.19823098613052e-05
24064 23.5 -6.78196717141731e-05 -6.78196717173322e-05 -6.78196717142897e-05
24576 24 -8.85156848195458e-05 -8.85156848209565e-05 -8.8515684819488e-05
25088 24.5 -6.32659796809854e-05 -6.32659796806612e-05 -6.32659796810834e-05
25600 25 -7.09718567615953e-05 -7.0971856763343e-05 -7.09718567626486e-05
26112 25.5 -7.18936724742859e-05 -7.18936724746906e-05 -7.18936724749886e-05
26624 26 -6.81912327262999e-05 -6.81912327272759e-05 -6.81912327278775e-05
27136 26.5 -7.21198483680609e-05 -7.21198483668986e-05 -7.21198483672119e-05
27648 27 -9.3035479942423e-05 -9.30354799450812e-05 -9.30354799431429e-05
28160 27.5 -9.56438586832178e-05 -9.56438586854704e-05 -9.56438586846964e-05
28672 28 -0.000136374791577667 -0.000136374791579507 -0.000136374791578738
29184 28.5 -0.000146833543329801 -0.000146833543329632 -0.000146833543329368
29696 29 -0.000120195022163377 -0.000120195022161643 -0.000120195022162672
30208 29.5 -0.000147018855856143 -0.000147018855856573 -0.000147018855855288
30720 30 -0.000159733366822171 -0.000159733366820192 -0.000159733366820378
31232 30.5 -0.00011256428525799 -0.000112564285255575 -0.000112564285256375
31744 31 -6.75270005747366e-05 -6.7527000576843e-05 -6.75270005773092e-05
