# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:40:06+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 9.82942520123816e-07 9.82942520123807e-07 9.82942520123794e-07
1024 1 2.5658415006558e-06 2.56584150065582e-06 2.56584150065586e-06
1536 1.5 4.08458140508916e-06 4.08458140508906e-06 4.08458140508899e-06
2048 2 4.35342417597374e-06 4.3534241759737e-06 4.35342417597368e-06
2560 2.5 4.6107374932829e-06 4.61073749328289e-06 4.61073749328286e-06
3072 3 4.30286373545576e-06 4.30286373545589e-06 4.30286373545647e-06
3584 3.5 4.73009768410279e-06 4.73009768410306e-06 4.73009768410313e-06
4096 4 4.65422492218738e-06 4.65422492218773e-06 4.65422492218669e-06
4608 4.5 4.2754248163194e-06 4.27542481631708e-06 4.27542481631769e-06
5120 5 4.55255637253771e-06 4.55255637253752e-06 4.55255637253683e-06
5632 5.5 4.38366603557211e-06 4.38366603557013e-06 4.38366603556982e-06
6144 6 4.44516174910656e-06 4.445161749106e-06 4.44516174910716e-06
6656 6.5 4.2543650991908e-06 4.25436509918864e-06 4.25436509918925e-06
7168 7 4.28830530707726e-06 4.28830530707691e-06 4.28830530707456e-06
7680 7.5 4.11928001924157e-06 4.119280019242e-06 4.11928001924227e-06
8192 8 4.11068726640221e-06 4.11068726640254e-06 4.11068726640819e-06
8704 8.5 4.27790279753859e-06 4.27790279753591e-06 4.27790279754108e-06
9216 9 4.36230660141032e-06 4.36230660141287e-06 4.36230660142207e-06
9728 9.5 4.33628059994434e-06 4.33628059995161e-06 4.33628059996111e-06
10240 10 4.51188302800539e-06 4.5118830280072e-06 4.51188302800976e-06
10752 10.5 4.59006309188026e-06 4.59006309187325e-06 4.59006309188369e-06
11264 11 4.60233668730579e-06 4.6023366872962e-06 4.60233668731063e-06
11776 11.5 4.66224057248718e-06 4.66224057248303e-06 4.6622405724795e-06
12288 12 4.50955627211926e-06 4.50955627211468e-06 4.50955627211213e-06
12800 12.5 4.53788066833445e-06 4.53788066833363e-06 4.53788066834607e-06
13312 13 4.55834394446082e-06 4.55834394445274e-06 4.55834394447126e-06
13824 13.5 4.39704049267866e-06 4.39704049267858e-06 4.39704049268067e-06
14336 14 4.31155256100844e-06 4.31155256101293e-06 4.31155256100576e-06
14848 14.5 4.28941546782736e-06 4.28941546783791e-06 4.28941546784714e-06
15360 15 4.29189058080642e-06 4.29189058080404e-06 4.29189058079804e-06
15872 15.5 4.29971988353876e-06 4.29971988353993e-06 4.29971988353038e-06
16384 16 4.26083925644074e-06 4.26083925646622e-06 4.26083925647025e-06
16896 16.5 4.40867431611909e-06 4.40867431613494e-06 4.40867431614006e-06
17408 17 4.56697024337472e-06 4.5669702433856e-06 4.56697024336189e-06
17920 17.5 4.37356941072063e-06 4.37356941071127e-06 4.37356941072261e-06
18432 18 4.31633141084545e-06 4.31633141083406e-06 4.31633141085992e-06
18944 18.5 4.25176754944717e-06 4.25176754946803e-06 4.25176754943714e-06
19456 19 3.95530228252898e-06 3.95530228255589e-06 3.95530228254e-06
19968 19.5 3.81602983742381e-06 3.81602983740989e-06 3.81602983742121e-06
20480 20 3.84000376036921e-06 3.84000376039886e-06 3.84000376037127e-06
20992 20.5 3.72248877420198e-06 3.72248877419646e-06 3.7224887741794e-06
21504 21 3.54964755156055e-06 3.54964755150082e-06 3.54964755156893e-06
22016 21.5 3.45045547163092e-06 3.45045547163746e-06 3.45045547167305e-06
22528 22 3.48649778651695e-06 3.48649778653368e-06 3.48649778651442e-06
23040 22.5 3.56238684101918e-06 3.56238684102119e-06 3.56238684100781e-06
23552 23 3.56207752584564e-06 3.56207752583345e-06 3.56207752583702e-06
24064 23.5 3.62957254411216e-06 3.62957254411241e-06 3.62957254411967e-06
24576 24 3.67072570812837e-06 3.67072570814301e-06 3.67072570810538e-06
25088 24.5 3.65003564031954e-06 3.65003564031403e-06 3.65003564030946e-06
25600 25 3.6797584687744e-06 3.67975846877046e-06 3.67975846875236e-06
26112 25.5 3.63651386714138e-06 3.63651386713673e-06 3.63651386714122e-06
26624 26 3.56181340341963e-06 3.56181340342415e-06 3.56181340341017e-06
27136 26.5 3.62803330736524e-06 3.62803330735591e-06 3.62803330736187e-06
27648 27 3.57227867480747e-06 3.57227867478505e-06 3.57227867482318e-06
28160 27.5 3.60049889259621e-06 3.60049889258863e-06 3.60049889258602e-06
28672 28 3.7015982175205e-06 3.70159821751621e-06 3.70159821754388e-06
29184 28.5 3.67819665864559e-06 3.67819665863243e-06 3.67819665866627e-06
29696 29 3.6101607543241e-06 3.61016075430326e-06 3.6101607543038e-06
30208 29.5 3.5706454523193e-06 3.57064545231602e-06 3.57064545235691e-06
30720 30 3.49888990385569e-06 3.49888990386203e-06 3.4988899038933e-06
31232 30.5 3.36511517342394e-06 3.36511517344375e-06 3.36511517347061e-06
31744 31 3.29683645090627e-06 3.29683645092357e-06 3.29683645090709e-06
32256 31.5 3.38522008306181e-06 3.38522008304737e-06 3.38522008308061e-06
32768 32 3.50733163312703e-06 3.5073316331066e-06 3.5073316331079e-06
33280 32.5 3.48517316210229e-06 3.48517316210093e-06 3.48517316208722e-06
33792 33 3.38886919323662e-06 3.38886919324101e-06 3.38886919325629e-06
34304 33.5 3.41190563904045e-06 3.41190563903193e-06 3.41190563904241e-06
34816 34 3.48772611818851e-06 3.48772611817978e-06 3.48772611818479e-06
35328 34.5 3.41298853029698e-06 3.41298853028736e-06 3.41298853030729e-06
35840 35 3.37460051042774e-06 3.374600510446e-06 3.37460051046585e-06
36352 35.5 3.42333787313056e-06 3.42333787312842e-06 3.42333787312583e-06
36864 36 3.31250523678923e-06 3.31250523676366e-06 3.3125052367723e-06
37376 36.5 3.2959328193938e-06 3.29593281937948e-06 3.29593281938406e-06
37888 37 3.31460309333377e-06 3.31460309334314e-06 3.31460309335294e-06
38400 37.5 3.30944826736216e-06 3.30944826734868e-06 3.3094482673702e-06
38912 38 3.27050827249209e-06 3.27050827248051e-06 3.27050827247849e-06
39424 38.5 3.11930277714516e-06 3.11930277710537e-06 3.11930277715773e-06
39936 39 3.03076456013668e-06 3.03076456010531e-06 3.03076456016875e-06
40448 39.5 3.0095106000289e-06 3.00951059997721e-06 3.00951060003081e-06
40960 40 2.98497675321176e-06 2.98497675319488e-06 2.98497675323034e-06
41472 40.5 2.97205934009864e-06 2.97205934004552e-06 2.9720593401048e-06
41984 41 3.00287110405114e-06 3.00287110405529e-06 3.00287110409619e-06
42496 41.5 3.00651874587381e-06 3.00651874588225e-06 3.00651874590479e-06
43008 42 2.89840254882133e-06 2.89840254882228e-06 2.89840254884971e-06
43520 42.5 2.77893715280626e-06 2.77893715282594e-06 2.77893715284501e-06
