# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.97779424383126
512 0.5 0.977796749959128
1024 1 0.977799297454259
1536 1.5 0.97780170173998
2048 2 0.977803953602344
2560 2.5 0.977806173231524
3072 3 0.977808481780533
3584 3.5 0.977810923206627
4096 4 0.977813468730695
4608 4.5 0.977816065020544
5120 5 0.977818675439842
5632 5.5 0.977821291590011
6144 6 0.977823922629031
6656 6.5 0.977826580477752
7168 7 0.97782927207538
7680 7.5 0.977831999026913
8192 8 0.977834760056757
8704 8.5 0.977837552979318
9216 9 0.977840375764878
9728 9.5 0.977843227364256
10240 10 0.977846108350761
10752 10.5 0.977849020837166
11264 11 0.977851967446853
11776 11.5 0.977854949912584
12288 12 0.977857968246951
12800 12.5 0.977861021021741
13312 13 0.977864106490903
13824 13.5 0.977867223745693
14336 14 0.977870373169692
14848 14.5 0.97787355602657
15360 15 0.977876773598326
15872 15.5 0.977880026490803
16384 16 0.977883314478056
16896 16.5 0.977886636836775
17408 17 0.977889992852596
17920 17.5 0.977893382187357
18432 18 0.977896804972281
18944 18.5 0.97790026166041
19456 19 0.977903752750467
19968 19.5 0.977907278508887
20480 20 0.977910838806878
20992 20.5 0.977914433149307
21504 21 0.977918060883894
22016 21.5 0.977921721473386
22528 22 0.9779254146656
23040 22.5 0.977929140456416
23552 23 0.977932898875459
24064 23.5 0.977936689736764
24576 24 0.977940512507219
25088 24.5 0.977944366354518
25600 25 0.977948250317463
26112 25.5 0.977952163478684
26624 26 0.977956105045422
27136 26.5 0.977960074324323
27648 27 0.97796407064588
28160 27.5 0.97796809330354
28672 28 0.97797214151637
29184 28.5 0.97797621434123
29696 29 0.977980310413957
30208 29.5 0.977984427447002
30720 30 0.97798856156723
31232 30.5 0.977992706779325
31744 31 0.977996854949108
32256 31.5 0.978000996575055
32768 32 0.978005122232392
33280 32.5 0.978009224116449
33792 33 0.978013296914045
34304 33.5 0.978017337549986
34816 34 0.978021344109178
35328 34.5 0.978025314946227
35840 35 0.978029249070037
36352 35.5 0.978033148103458
36864 36 0.97803701891041
37376 36.5 0.978040875254171
37888 37 0.978044737274386
38400 37.5 0.978048628952257
38912 38 0.978052575016909
39424 38.5 0.978056598812929
39936 39 0.978060721341241
40448 39.5 0.97806496013433
40960 40 0.978069326433489
41472 40.5 0.978073820926845
41984 41 0.978078430875192
42496 41.5 0.978083132387698
43008 42 0.978087899171332
43520 42.5 0.978092713961832
44032 43 0.978097574369521
44544 43.5 0.978102485130118
45056 44 0.97810743564275
45568 44.5 0.97811237270226
46080 45 0.978117186821846
46592 45.5 0.978121729008755
47104 46 0.978125860299892
47616 46.5 0.978129514459246
48128 47 0.978132738578457
48640 47.5 0.978135680904487
49152 48 0.978138523303789
49664 48.5 0.978141393164512
50176 49 0.978144310185003
50688 49.5 0.978147207334926
51200 50 0.978150016760587
51712 50.5 0.978152762246442
52224 51 0.978155588711918
52736 51.5 0.978158700518819
53248 52 0.978162247563034
53760 52.5 0.978166239831063
54272 53 0.97817055156943
54784 53.5 0.97817500783611
55296 54 0.978179483448109
55808 54.5 0.978183939715696
56320 55 0.978188382195875
56832 55.5 0.978192792708992
57344 56 0.978197108640319
57856 56.5 0.978201273592749
58368 57 0.978205309882744
58880 57.5 0.978209333898155
59392 58 0.978213480836065
59904 58.5 0.978217788593828
60416 59 0.978222137386357
60928 59.5 0.978226306703187
61440 60 0.978230119700522
61952 60.5 0.978233572267837
62464 61 0.978236850618355
62976 61.5 0.978240222425489
63488 62 0.978243877505265
64000 62.5 0.978247825543089
64512 63 0.978251911698054
65024 63.5 0.97825592747899
65536 64 0.978259736789169
66048 64.5 0.978263340101379
66560 65 0.978266850274489
67072 65.5 0.978270410122562
67584 66 0.978274109276911
68096 66.5 0.978277947392867
68608 67 0.978281856566741
69120 67.5 0.978285759948545
69632 68 0.978289624130062
70144 68.5 0.978293469515531
70656 69 0.978297333120515
71168 69.5 0.978301214862222
71680 70 0.978305054845025
72192 70.5 0.978308767782443
72704 71 0.978312312356763
73216 71.5 0.978315736496121
73728 72 0.978319151105077
74240 72.5 0.978322643286675
74752 73 0.978326198365996
75264 73.5 0.978329702302054
75776 74 0.978333031472187
76288 74.5 0.978336157506279
76800 75 0.97833917420537
77312 75.5 0.978342217268598
77824 76 0.978345343229989
78336 76.5 0.978348474478906
78848 77 0.978351461640544
79360 77.5 0.978354210482088
79872 78 0.978356762684803
80384 78.5 0.978359261763483
80896 79 0.978361838024438
81408 79.5 0.97836451489187
81920 80 0.978367212620949
