# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.40653323458448e-07 -9.40653323458483e-07 -9.40653323458483e-07
1024 1 -3.6355234515268e-06 -3.6355234515268e-06 -3.6355234515268e-06
1536 1.5 -6.01056113538865e-06 -6.01056113539117e-06 -6.01056113539443e-06
2048 2 -5.57572639695813e-06 -5.57572639698283e-06 -5.57572639700254e-06
2560 2.5 -5.24817408090468e-06 -5.24817408090789e-06 -5.24817408090819e-06
3072 3 -1.17748062859436e-05 -1.17748062859538e-05 -1.17748062859113e-05
3584 3.5 -1.49077692454514e-05 -1.49077692454828e-05 -1.49077692430323e-05
4096 4 -1.50529503675108e-05 -1.50529503674907e-05 -1.50529503601524e-05
4608 4.5 -1.67622303212542e-05 -1.67622303212266e-05 -1.67622303488944e-05
5120 5 -1.90543736441495e-05 -1.90543736437465e-05 -1.90543737862534e-05
5632 5.5 -2.23068082309016e-05 -2.23068082306531e-05 -2.23068082249891e-05
6144 6 -2.59208279434046e-05 -2.59208279424966e-05 -2.59208273690005e-05
6656 6.5 -3.07891769139556e-05 -3.07891769070957e-05 -3.07891760844429e-05
7168 7 -3.57766150232315e-05 -3.57766149979043e-05 -3.57766147231536e-05
7680 7.5 -3.9302034481202e-05 -3.93020344281679e-05 -3.93020345054458e-05
8192 8 -4.32975320153645e-05 -4.32975319619619e-05 -4.32975324459123e-05
8704 8.5 -4.99736844185499e-05 -4.99736842391258e-05 -4.99736845336501e-05
9216 9 -5.53188016099854e-05 -5.53188010013329e-05 -5.53188004025011e-05
9728 9.5 -6.03928491795776e-05 -6.03928485525939e-05 -6.03928473519892e-05
10240 10 -6.51959226520666e-05 -6.51959233375871e-05 -6.51959219120726e-05
10752 10.5 -6.94126840197202e-05 -6.94126867902119e-05 -6.94126848593881e-05
11264 11 -7.42041185971672e-05 -7.42041257762052e-05 -7.42041214715302e-05
11776 11.5 -8.039869564319e-05 -8.03987134066643e-05 -8.03987033653099e-05
12288 12 -8.66873320713717e-05 -8.66873658305227e-05 -8.66873469881241e-05
12800 12.5 -9.19662230151356e-05 -9.19662742050209e-05 -9.196624383908e-05
13312 13 -9.7155444417051e-05 -9.71555137319687e-05 -9.71554680003881e-05
13824 13.5 -0.000102959060105605 -0.000102959151700866 -0.00010295908472077
14336 14 -0.000108539967172674 -0.000108540093714722 -0.000108539994646298
14848 14.5 -0.000113666948953709 -0.000113667130526234 -0.000113666982040801
15360 15 -0.000119371970532811 -0.000119372219674467 -0.000119372007714503
15872 15.5 -0.000125611538112448 -0.000125611856769529 -0.000125611576408543
16384 16 -0.000130883205558893 -0.000130883612405144 -0.000130883245281696
16896 16.5 -0.000134667514341463 -0.000134668051081664 -0.000134667553554839
17408 17 -0.000138106165453119 -0.0001381068451072 -0.000138106196623216
17920 17.5 -0.000142245100856129 -0.000142245883688337 -0.000142245118149158
18432 18 -0.000147267102122688 -0.000147267963611602 -0.000147267105167203
18944 18.5 -0.000152999720781344 -0.000153000720540502 -0.000152999720078569
19456 19 -0.000158891614463995 -0.000158892802366111 -0.000158891653934963
19968 19.5 -0.000164097029297157 -0.000164098314698544 -0.000164097168529636
20480 20 -0.000168327529470889 -0.000168328777737833 -0.000168327763220131
20992 20.5 -0.000172016562833396 -0.000172017712695768 -0.000172016804038561
21504 21 -0.000175607001801324 -0.000175608031666196 -0.000175607228806305
22016 21.5 -0.000179363887604118 -0.000179364790666819 -0.000179364299982501
22528 22 -0.000183443658539039 -0.000183444425686413 -0.000183444500406266
23040 22.5 -0.000187525458312107 -0.000187526063095439 -0.000187526616894423
23552 23 -0.000191088903879116 -0.000191089365639232 -0.000191090051915523
24064 23.5 -0.000194318442323695 -0.000194318702870866 -0.000194319693738636
24576 24 -0.000197648843055574 -0.000197648560218458 -0.000197650695059955
25088 24.5 -0.000200466538439317 -0.000200465256666728 -0.000200469107458706
25600 25 -0.000203525819205188 -0.000203528930522498 -0.000203525735428551
26112 25.5 -0.000210088367384266 -0.000210091371336888 -0.000210088991508539
26624 26 -0.000216672031195072 -0.000216674354542976 -0.000216673054891338
27136 26.5 -0.000221779621856678 -0.000221781103451858 -0.000221781040669637
27648 27 -0.000224934774763273 -0.000224935185725123 -0.000224937047518165
