# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 9.20716404914856 0 0.278195142745972 0 8.99258589744568 0 0 0 0 0 0 0 0 0 8.73561111228302 22449.1766183962 0 22449.1766183962 160 329218 2002 327216 0 0 0 0 9.20510196685791 1752359186.42872 266
512 0.5 2400.93496492132 2400.93496492132 10.0329909324646 0.749707937240601 1.02927589416504 0 9.00625610351562 3 240488.316908586 240488.316908586 180296 180296 144739.030507524 144739.030507524 108512 108512 20.2138782964385 37889.4710182241 1547.1391465351 36342.331871689 186 341343 14127 327216 0 0 0 0 10.0204467773438 1752359187.25455 905
1024 1 2750.26458977702 2750.26458977702 10.5922479629517 1.30896496772766 1.55204772949219 0 9.06682515144348 6 275478.724710243 275478.724710243 360592 360592 165798.172869935 165798.172869935 217024 217024 26.9905526093228 38657.2189747026 1696.97568680172 36960.2432879008 284 355131 15531 339600 0 0 0 0 10.570324420929 1752359187.8138 1544
1536 1.5 2858.35566984874 2858.35566984874 11.1724810600281 1.88919806480408 2.09790849685669 0 9.07821679115295 9 286305.607695027 286305.607695027 540888 540888 172314.383581459 172314.383581459 325536 325536 33.7205965206431 39265.8714798433 1842.62122360024 37423.2502562431 310 356519 16919 339600 0 0 0 0 11.1414816379547 1752359188.39404 2183
2048 2 2914.92795205459 2914.92795205459 11.7533268928528 2.47004389762878 2.61056089401245 0 9.19459295272827 12 291972.13891313 291972.13891313 721184 721184 175724.812185193 175724.812185193 434048 434048 44.8441970462773 61053.7336371512 1985.39479215616 59068.338844995 492 685161 18345 666816 0 0 0 0 11.7129247188568 1752359188.97488 2822
2560 2.5 2883.34372135655 2883.34372135655 12.4046590328217 3.12137603759766 3.20305776596069 0 9.20381951332092 15 288808.521992056 288808.521992056 901480 901480 173820.774384357 173820.774384357 542560 542560 55.8598427700993 74590.4957294615 2123.1087322114 72467.3869972501 518 686552 19736 666816 0 0 0 0 12.3549914360046 1752359189.62621 3461
3072 3 2931.14327539246 2931.14327539246 12.9678521156311 3.6845691204071 3.73011112213135 0 9.26396083831787 18 293596.337766755 293596.337766755 1081776 1081776 176702.343944104 176702.343944104 651072 651072 62.3529064524876 75202.4765025166 2270.36025525698 72932.1162472596 616 700365 21165 679200 0 0 0 0 12.9089660644531 1752359190.18941 4100
3584 3.5 2949.99199261076 2949.99199261076 13.5544810295105 4.2711980342865 4.28329300880432 0 9.2735071182251 21 295484.309055417 295484.309055417 1262072 1262072 177838.628390099 177838.628390099 759584 759584 68.815344762192 75670.77686626 2411.55717585124 73259.2196904088 642 701757 22557 679200 0 0 0 0 13.4865853786469 1752359190.77604 4739
4096 4 2971.19665853151 2971.19665853151 14.1298151016235 4.84653210639954 4.79383254051208 0 9.39074563980103 24 297608.262636999 297608.262636999 1442368 1442368 179116.939894762 179116.939894762 868096 868096 79.4774406596219 96769.353850683 2548.09816152526 94221.2556891578 824 1030397 23981 1006416 0 0 0 0 14.0526905059814 1752359191.35137 5378
4608 4.5 2929.72986770544 2929.72986770544 14.812803030014 5.52952003479004 5.41352152824402 0 9.40136218070984 27 293454.764571011 293454.764571011 1622664 1622664 176617.137446918 176617.137446918 976608 976608 90.0068797642337 109752.112414735 2678.39621520636 107073.716199528 850 1031792 25376 1006416 0 0 0 0 14.7264773845673 1752359192.03436 6017
