# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.06928462552294e-10
512 0.5 1.06928462552294e-10
1024 1 1.06928462552294e-10
1536 1.5 1.06928462552294e-10
2048 2 1.06928462552294e-10
2560 2.5 1.06928462552294e-10
3072 3 1.06928462552294e-10
3584 3.5 1.06928462552294e-10
4096 4 1.06928462552294e-10
4608 4.5 1.06928462552294e-10
5120 5 1.06928462552294e-10
5632 5.5 1.06928462552294e-10
6144 6 1.06928462552294e-10
6656 6.5 1.06928462552294e-10
7168 7 1.06928462552294e-10
7680 7.5 1.06928462552294e-10
8192 8 1.06928462552294e-10
8704 8.5 1.06928462552294e-10
9216 9 1.06928462552294e-10
9728 9.5 1.06928462552294e-10
10240 10 1.06928462552294e-10
10752 10.5 1.06928462552294e-10
11264 11 1.06928563330095e-10
11776 11.5 1.06928714810387e-10
12288 12 1.06928868678248e-10
12800 12.5 1.06929024820448e-10
13312 13 1.06929183101013e-10
13824 13.5 1.06929343428374e-10
14336 14 1.06929505787095e-10
14848 14.5 1.06929670220029e-10
15360 15 1.06929836780992e-10
15872 15.5 1.06930005492445e-10
16384 16 1.06930176331681e-10
16896 16.5 1.06930349245888e-10
17408 17 1.0693052417976e-10
17920 17.5 1.06930701097696e-10
18432 18 1.069308799914e-10
18944 18.5 1.06931060873353e-10
19456 19 1.06931243761818e-10
19968 19.5 1.06931428664582e-10
20480 20 1.06931615568421e-10
20992 20.5 1.06931804439199e-10
21504 21 1.06931995232612e-10
22016 21.5 1.06932187909454e-10
22528 22 1.0693238244616e-10
23040 22.5 1.06932578834147e-10
23552 23 1.06932777068775e-10
24064 23.5 1.06932977135302e-10
24576 24 1.06933179000493e-10
25088 24.5 1.06933382614011e-10
25600 25 1.06933587917203e-10
26112 25.5 1.06933794852999e-10
26624 26 1.06934003371505e-10
27136 26.5 1.06934213429906e-10
27648 27 1.06934424989046e-10
28160 27.5 1.06934638009622e-10
28672 28 1.0693485244802e-10
29184 28.5 1.06935068247758e-10
29696 29 1.06935285320764e-10
30208 29.5 1.06935503516546e-10
30720 30 1.06935722586477e-10
31232 30.5 1.06935942160685e-10
31744 31 1.06936161758409e-10
32256 31.5 1.06936380842373e-10
32768 32 1.06936598904777e-10
33280 32.5 1.06936815549063e-10
33792 33 1.06937030526056e-10
34304 33.5 1.0693724370663e-10
34816 34 1.06937455016682e-10
35328 34.5 1.06937664395153e-10
35840 35 1.06937871831085e-10
36352 35.5 1.06938077484988e-10
36864 36 1.0693828183328e-10
37376 36.5 1.06938485743002e-10
37888 37 1.06938690418226e-10
38400 37.5 1.06938897240392e-10
38912 38 1.06939107589624e-10
39424 38.5 1.06939322726271e-10
39936 39 1.06939543733626e-10
40448 39.5 1.06939771443978e-10
40960 40 1.06940006275497e-10
41472 40.5 1.06940248017019e-10
41984 41 1.06940495730404e-10
42496 41.5 1.06940747961227e-10
43008 42 1.06941003279771e-10
43520 42.5 1.06941260882541e-10
44032 43 1.06941520773787e-10
44544 43.5 1.06941783135666e-10
45056 44 1.06942046949233e-10
45568 44.5 1.06942308550155e-10
46080 45 1.06942561187212e-10
46592 45.5 1.06942796406572e-10
47104 46 1.06943007136158e-10
47616 46.5 1.06943191122256e-10
48128 47 1.06943352683167e-10
48640 47.5 1.0694350129215e-10
49152 48 1.06943647274037e-10
49664 48.5 1.0694379692435e-10
50176 49 1.06943950168928e-10
50688 49.5 1.06944102564673e-10
51200 50 1.06944250555913e-10
51712 50.5 1.06944396387803e-10
52224 51 1.06944548963194e-10
52736 51.5 1.06944719642827e-10
53248 52 1.06944915719993e-10
53760 52.5 1.06945136178361e-10
54272 53 1.06945372723822e-10
54784 53.5 1.06945615090735e-10
55296 54 1.06945856439467e-10
55808 54.5 1.06946094931658e-10
56320 55 1.06946331065257e-10
56832 55.5 1.0694656402993e-10
57344 56 1.0694679094006e-10
57856 56.5 1.06947009768991e-10
58368 57 1.069472229153e-10
58880 57.5 1.0694743725141e-10
59392 58 1.06947659451129e-10
59904 58.5 1.06947889886164e-10
60416 59 1.06948120356879e-10
60928 59.5 1.06948338361819e-10
61440 60 1.06948535435487e-10
61952 60.5 1.06948713573113e-10
62464 61 1.06948884884385e-10
62976 61.5 1.06949064525978e-10
63488 62 1.0694926177542e-10
64000 62.5 1.06949475191748e-10
64512 63 1.06949694630485e-10
65024 63.5 1.06949908133227e-10
65536 64 1.06950108886759e-10
66048 64.5 1.06950298144745e-10
66560 65 1.06950483132279e-10
67072 65.5 1.06950672052996e-10
67584 66 1.06950869542107e-10
68096 66.5 1.06951075008296e-10
68608 67 1.06951284261819e-10
69120 67.5 1.06951492906482e-10
69632 68 1.06951699108696e-10
70144 68.5 1.06951903933445e-10
70656 69 1.06952109184298e-10
71168 69.5 1.06952314591921e-10
71680 70 1.06952516867438e-10
72192 70.5 1.06952711781438e-10
72704 71 1.06952897813936e-10
73216 71.5 1.06953078171552e-10
73728 72 1.06953258904695e-10
74240 72.5 1.06953444120803e-10
74752 73 1.06953632188779e-10
75264 73.5 1.06953816519165e-10
75776 74 1.06953990770641e-10
76288 74.5 1.06954154248677e-10
76800 75 1.0695431266108e-10
77312 75.5 1.06954473226749e-10
77824 76 1.06954638206761e-10
78336 76.5 1.06954802588737e-10
78848 77 1.06954958150839e-10
79360 77.5 1.06955100473881e-10
79872 78 1.06955232808148e-10
80384 78.5 1.06955363510845e-10
80896 79 1.06955499465915e-10
81408 79.5 1.06955641252667e-10
81920 80 1.06955783905852e-10
82432 80.5 1.06955921939982e-10
82944 81 1.06956053782845e-10
83456 81.5 1.0695618189994e-10
