# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.0235236306536653
512 0.5 0.0235236306558975
1024 1 0.023523630661655
1536 1.5 0.0235236306708128
2048 2 0.0235236306849131
2560 2.5 0.0235236307044819
3072 3 0.023523630730165
3584 3.5 0.0235236307612838
4096 4 0.0235236307985388
4608 4.5 0.0235236308436982
5120 5 0.0235236308953598
5632 5.5 0.0235236309563253
6144 6 0.0235236310248078
6656 6.5 0.0235236311007335
7168 7 0.0235236311836322
7680 7.5 0.0235236312726465
8192 8 0.0235236313680293
8704 8.5 0.0235236314718339
9216 9 0.023523631583354
9728 9.5 0.0235236317015563
10240 10 0.023523631822773
10752 10.5 0.0235236319478425
11264 11 0.0235236320808848
11776 11.5 0.0235236322183756
12288 12 0.0235236323608867
12800 12.5 0.0235236325143209
13312 13 0.0235236326729844
13824 13.5 0.0235236328373624
14336 14 0.0235236330081407
14848 14.5 0.023523633183272
15360 15 0.0235236333623923
15872 15.5 0.02352363354754
16384 16 0.0235236337365248
16896 16.5 0.0235236339321538
17408 17 0.0235236341327585
17920 17.5 0.0235236343351898
18432 18 0.0235236345462519
18944 18.5 0.0235236347629771
19456 19 0.0235236349851037
19968 19.5 0.0235236352114013
20480 20 0.0235236354413451
20992 20.5 0.0235236356768831
21504 21 0.023523635917904
22016 21.5 0.0235236361642938
22528 22 0.0235236364113153
23040 22.5 0.0235236366610548
23552 23 0.0235236369131966
24064 23.5 0.023523637171867
24576 24 0.0235236374360822
25088 24.5 0.0235236377010567
25600 25 0.0235236379671926
26112 25.5 0.0235236382361855
26624 26 0.0235236385107046
27136 26.5 0.0235236387861859
27648 27 0.0235236390654093
28160 27.5 0.023523639347362
28672 28 0.0235236396346634
29184 28.5 0.0235236399231437
29696 29 0.0235236402175458
30208 29.5 0.0235236405177418
30720 30 0.0235236408225544
31232 30.5 0.0235236411366826
31744 31 0.023523641451139
32256 31.5 0.0235236417666433
32768 32 0.0235236420834732
33280 32.5 0.0235236424071362
33792 33 0.0235236427362476
34304 33.5 0.0235236430676878
34816 34 0.023523643403411
35328 34.5 0.0235236437340022
35840 35 0.0235236440677868
36352 35.5 0.0235236444037643
36864 36 0.0235236447415791
37376 36.5 0.0235236450801137
37888 37 0.0235236454234107
38400 37.5 0.0235236457666069
38912 38 0.0235236461131916
39424 38.5 0.0235236464677158
39936 39 0.0235236468198495
40448 39.5 0.0235236471713651
40960 40 0.0235236475255391
41472 40.5 0.0235236478860716
41984 41 0.0235236482571872
42496 41.5 0.0235236486324522
43008 42 0.0235236490101166
43520 42.5 0.0235236493911158
44032 43 0.023523649772494
44544 43.5 0.0235236501592535
45056 44 0.0235236505430499
45568 44.5 0.0235236509318186
46080 45 0.0235236513262648
46592 45.5 0.0235236517197414
47104 46 0.023523652108152
47616 46.5 0.0235236525016733
48128 47 0.0235236528956715
48640 47.5 0.0235236532893179
49152 48 0.0235236536887335
49664 48.5 0.0235236540888587
50176 49 0.0235236544920789
50688 49.5 0.0235236548936714
51200 50 0.0235236552989555
51712 50.5 0.023523655706442
52224 51 0.0235236561173162
52736 51.5 0.0235236565378124
53248 52 0.0235236569686792
53760 52.5 0.0235236574084442
54272 53 0.0235236578486328
54784 53.5 0.0235236582851666
55296 54 0.0235236587276493
55808 54.5 0.0235236591704156
56320 55 0.0235236596123159
56832 55.5 0.0235236600562785
57344 56 0.0235236605057987
57856 56.5 0.0235236609542614
58368 57 0.0235236614103242
58880 57.5 0.023523661864045
59392 58 0.0235236623189216
59904 58.5 0.0235236627720779
60416 59 0.0235236632333795
60928 59.5 0.0235236636943565
61440 60 0.0235236641576504
61952 60.5 0.0235236646166494
62464 61 0.0235236650806656
62976 61.5 0.0235236655510988
63488 62 0.0235236660223751
64000 62.5 0.0235236665000072
64512 63 0.023523666975058
65024 63.5 0.0235236674464461
65536 64 0.0235236679137134
66048 64.5 0.0235236683769234
66560 65 0.0235236688426581
67072 65.5 0.0235236693052709
67584 66 0.0235236697625165
68096 66.5 0.0235236702271449
68608 67 0.0235236706926998
69120 67.5 0.0235236711579591
69632 68 0.0235236716300876
70144 68.5 0.0235236721043237
70656 69 0.0235236725760006
71168 69.5 0.0235236730446688
71680 70 0.0235236735157209
72192 70.5 0.0235236739922679
72704 71 0.0235236744660283
73216 71.5 0.0235236749394819
73728 72 0.0235236754112181
74240 72.5 0.0235236758804939
74752 73 0.0235236763474052
75264 73.5 0.0235236768076418
75776 74 0.0235236772697183
76288 74.5 0.0235236777387141
76800 75 0.0235236782127885
77312 75.5 0.023523678684631
77824 76 0.0235236791643613
78336 76.5 0.0235236796454376
78848 77 0.0235236801243393
79360 77.5 0.0235236806068064
79872 78 0.0235236810864666
80384 78.5 0.0235236815667202
80896 79 0.0235236820500566
81408 79.5 0.023523682528084
81920 80 0.0235236830098863
82432 80.5 0.0235236834920077
82944 81 0.0235236839859979
83456 81.5 0.0235236844808825
83968 82 0.0235236849747483
84480 82.5 0.0235236854772466
84992 83 0.0235236859781158
85504 83.5 0.0235236864868389
86016 84 0.0235236870038623
86528 84.5 0.0235236875229461
87040 85 0.0235236880467598
87552 85.5 0.0235236885705007
88064 86 0.0235236891014034
88576 86.5 0.0235236896308659
89088 87 0.0235236901656221
89600 87.5 0.0235236906960105
90112 88 0.0235236912277638
90624 88.5 0.0235236917577931
91136 89 0.0235236922886224
91648 89.5 0.0235236928210633
92160 90 0.0235236933593365
92672 90.5 0.0235236938883092
93184 91 0.0235236944202231
93696 91.5 0.023523694964164
94208 92 0.0235236955043353
94720 92.5 0.0235236960492781
95232 93 0.0235236965968523
95744 93.5 0.0235236971401496
96256 94 0.0235236976777602
96768 94.5 0.0235236982131192
97280 95 0.0235236987572168
97792 95.5 0.0235236993034528
98304 96 0.023523699855167
98816 96.5 0.02352370040109
99328 97 0.0235237009434642
99840 97.5 0.0235237014909945
100352 98 0.0235237020385022
100864 98.5 0.0235237025782702
101376 99 0.0235237031249462
101888 99.5 0.0235237036801259
102400 100 0.0235237042366797
102912 100.5 0.0235237047893858
103424 101 0.0235237053435086
103936 101.5 0.0235237059026773
104448 102 0.0235237064555623
104960 102.5 0.0235237069973026
105472 103 0.0235237075401371
105984 103.5 0.0235237080847704
106496 104 0.0235237086259024
107008 104.5 0.023523709167837
107520 105 0.0235237097190618
108032 105.5 0.0235237102603812
108544 106 0.0235237108053568
109056 106.5 0.0235237113529866
109568 107 0.0235237119009105
110080 107.5 0.0235237124501563
110592 108 0.0235237130021168
111104 108.5 0.0235237135541682
111616 109 0.0235237140990878
112128 109.5 0.0235237146434256
112640 110 0.0235237151870856
113152 110.5 0.0235237157465098
113664 111 0.0235237163030943
114176 111.5 0.0235237168686828
114688 112 0.0235237174298248
115200 112.5 0.0235237179820849
115712 113 0.0235237185312056
116224 113.5 0.0235237190826012
116736 114 0.0235237196284733
117248 114.5 0.0235237201856058
117760 115 0.0235237207479399
118272 115.5 0.023523721314533
118784 116 0.0235237218902649
119296 116.5 0.0235237224737292
119808 117 0.0235237230617723
120320 117.5 0.02352372364145
120832 118 0.0235237242218543
121344 118.5 0.0235237247956669
121856 119 0.0235237253743477
122368 119.5 0.0235237259466696
122880 120 0.0235237265103446
123392 120.5 0.0235237270638471
123904 121 0.0235237276082423
124416 121.5 0.0235237281484628
124928 122 0.023523728692798
125440 122.5 0.0235237292411471
125952 123 0.0235237297867378
126464 123.5 0.0235237303264726
126976 124 0.0235237308642473
127488 124.5 0.0235237313955794
128000 125 0.0235237319363495
128512 125.5 0.0235237324850216
129024 126 0.0235237330368158
129536 126.5 0.0235237335885811
130048 127 0.0235237341464581
130560 127.5 0.0235237347098414
131072 128 0.0235237352729275
131584 128.5 0.0235237358533752
132096 129 0.0235237364301263
132608 129.5 0.0235237370089204
133120 130 0.0235237375808754
133632 130.5 0.023523738153149
134144 131 0.0235237387276245
134656 131.5 0.0235237392969365
135168 132 0.0235237398684483
135680 132.5 0.023523740436234
136192 133 0.0235237410096516
136704 133.5 0.023523741581053
137216 134 0.023523742153374
137728 134.5 0.0235237427345422
138240 135 0.0235237433176809
138752 135.5 0.0235237439033925
139264 136 0.0235237444859766
139776 136.5 0.0235237450643998
140288 137 0.0235237456444495
140800 137.5 0.0235237462198506
141312 138 0.0235237467967892
141824 138.5 0.0235237473774322
142336 139 0.0235237479569297
142848 139.5 0.0235237485465315
143360 140 0.02352374915519
143872 140.5 0.0235237497682751
144384 141 0.023523750382236
144896 141.5 0.023523750996881
145408 142 0.023523751599935
145920 142.5 0.0235237522004703
146432 143 0.0235237527891605
146944 143.5 0.0235237533848808
147456 144 0.0235237539836625
147968 144.5 0.0235237545869712
148480 145 0.0235237551893382
148992 145.5 0.0235237557963628
149504 146 0.0235237564106076
150016 146.5 0.023523757037448
150528 147 0.0235237576599274
151040 147.5 0.0235237582757729
151552 148 0.0235237588878314
152064 148.5 0.0235237595044574
152576 149 0.0235237601225418
153088 149.5 0.023523760743389
153600 150 0.0235237613635728
154112 150.5 0.0235237619828751
154624 151 0.0235237625963407
155136 151.5 0.0235237632189288
155648 152 0.0235237638345696
156160 152.5 0.0235237644573169
156672 153 0.0235237650752952
157184 153.5 0.0235237656933233
157696 154 0.0235237663027665
158208 154.5 0.0235237669134304
158720 155 0.0235237675325599
159232 155.5 0.0235237681453019
159744 156 0.0235237687545305
160256 156.5 0.0235237693565134
160768 157 0.0235237699614628
161280 157.5 0.0235237705796917
161792 158 0.0235237711982379
162304 158.5 0.0235237718405647
162816 159 0.0235237724745398
163328 159.5 0.0235237731014068
163840 160 0.0235237737339302
164352 160.5 0.0235237743693325
164864 161 0.0235237750056029
165376 161.5 0.0235237756304913
165888 162 0.0235237762635753
166400 162.5 0.0235237769008871
166912 163 0.0235237775304266
167424 163.5 0.0235237781576327
167936 164 0.0235237787878992
168448 164.5 0.0235237794197406
168960 165 0.0235237800517664
169472 165.5 0.023523780680131
169984 166 0.0235237813058922
170496 166.5 0.0235237819200217
171008 167 0.023523782531146
171520 167.5 0.0235237831440944
172032 168 0.0235237837665405
172544 168.5 0.023523784390666
173056 169 0.0235237850196488
173568 169.5 0.0235237856354637
174080 170 0.0235237862465481
174592 170.5 0.0235237868674781
175104 171 0.0235237874958829
175616 171.5 0.0235237881266826
176128 172 0.0235237887615651
176640 172.5 0.0235237894004625
177152 173 0.0235237900498311
177664 173.5 0.0235237906972845
178176 174 0.0235237913515515
178688 174.5 0.0235237919977869
179200 175 0.0235237926351918
179712 175.5 0.0235237932777854
180224 176 0.0235237939230425
180736 176.5 0.0235237945689681
181248 177 0.0235237952089405
181760 177.5 0.0235237958516901
182272 178 0.0235237964901102
182784 178.5 0.0235237971389188
183296 179 0.0235237977904118
183808 179.5 0.0235237984396533
184320 180 0.0235237990884433
184832 180.5 0.0235237997387597
185344 181 0.0235238003905402
185856 181.5 0.0235238010497925
186368 182 0.0235238017103504
186880 182.5 0.0235238023619086
187392 183 0.0235238030165536
187904 183.5 0.0235238036611563
188416 184 0.0235238043107624
188928 184.5 0.023523804970309
189440 185 0.0235238056354625
189952 185.5 0.0235238062915474
190464 186 0.0235238069450344
190976 186.5 0.023523807595662
191488 187 0.0235238082568158
192000 187.5 0.0235238089278559
192512 188 0.0235238095985808
193024 188.5 0.0235238102635776
193536 189 0.0235238109370792
194048 189.5 0.0235238116093217
194560 190 0.0235238122864738
195072 190.5 0.0235238129717009
195584 191 0.0235238136634771
196096 191.5 0.0235238143494323
196608 192 0.0235238150378306
197120 192.5 0.0235238157218775
197632 193 0.023523816405298
198144 193.5 0.0235238170823654
198656 194 0.0235238177614393
199168 194.5 0.0235238184420414
199680 195 0.0235238191193465
200192 195.5 0.0235238197996035
200704 196 0.0235238204843309
201216 196.5 0.0235238211713607
201728 197 0.0235238218702536
202240 197.5 0.0235238225695084
202752 198 0.0235238232592657
203264 198.5 0.0235238239583428
203776 199 0.0235238246490898
204288 199.5 0.0235238253401978
204800 200 0.0235238260229227
205312 200.5 0.0235238267058116
205824 201 0.0235238273919647
206336 201.5 0.0235238280794063
206848 202 0.0235238287650666
207360 202.5 0.0235238294537455
207872 203 0.0235238301453427
208384 203.5 0.0235238308361593
208896 204 0.02352383153855
209408 204.5 0.0235238322406812
209920 205 0.0235238329359085
