# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.127999999244924
512 0.5 0.127701724593844
1024 1 0.127415701145977
1536 1.5 0.127147662514466
2048 2 0.126895943776926
2560 2.5 0.12666234679166
3072 3 0.12644918973796
3584 3.5 0.126272512046628
4096 4 0.12612848848225
4608 4.5 0.126017812776173
5120 5 0.125940639429632
5632 5.5 0.125896465261319
6144 6 0.125883966393402
6656 6.5 0.125900845976061
7168 7 0.125943958411171
7680 7.5 0.126009713987034
8192 8 0.126094447093824
8704 8.5 0.126194447483805
9216 9 0.126305807625649
9728 9.5 0.126424595858416
10240 10 0.126547330992038
10752 10.5 0.126671186707105
11264 11 0.126793482013782
11776 11.5 0.126911234286797
12288 12 0.127021750512613
12800 12.5 0.127123623784481
13312 13 0.12721654962079
13824 13.5 0.127299960414866
14336 14 0.12737263949316
14848 14.5 0.127433991241748
15360 15 0.127484860928342
15872 15.5 0.127526319454387
16384 16 0.127558183112141
16896 16.5 0.127579701959686
17408 17 0.127591487153896
17920 17.5 0.127595751631218
18432 18 0.127594489255982
18944 18.5 0.127588160484141
19456 19 0.127576389825267
19968 19.5 0.127559272479049
20480 20 0.127537584209178
20992 20.5 0.127512202997665
21504 21 0.127483887485338
22016 21.5 0.12745344208368
22528 22 0.127421544041448
23040 22.5 0.12738822766726
23552 23 0.127352798195598
24064 23.5 0.127314526566711
24576 24 0.127273472634025
25088 24.5 0.127230493663041
25600 25 0.127186292237666
26112 25.5 0.127140453821135
26624 26 0.127091601142841
27136 26.5 0.127038611033811
27648 27 0.12698152613376
28160 27.5 0.126921095289424
28672 28 0.126857592755915
29184 28.5 0.126790424487958
29696 29 0.126718838923997
30208 29.5 0.12664260525856
30720 30 0.126561877107764
31232 30.5 0.126476806947447
31744 31 0.126387596910091
32256 31.5 0.126294634086252
32768 32 0.126198181867244
33280 32.5 0.12609807037628
33792 33 0.125994069939055
34304 33.5 0.125886559278907
34816 34 0.125776525822221
35328 34.5 0.125664880327064
35840 35 0.125552022571997
36352 35.5 0.125438123052737
36864 36 0.12532358222591
37376 36.5 0.125209085306638
37888 37 0.125095363917729
38400 37.5 0.124983080751915
38912 38 0.124872923784948
39424 38.5 0.124765638640543
39936 39 0.124661788257558
40448 39.5 0.12456153736043
40960 40 0.124464850306925
41472 40.5 0.124371970584137
41984 41 0.124283540645943
42496 41.5 0.124200106103873
43008 42 0.124121665482595
43520 42.5 0.124047948976847
44032 43 0.123979028794075
44544 43.5 0.123915307912735
45056 44 0.123856871779386
45568 44.5 0.12380323923133
46080 45 0.123754024767482
46592 45.5 0.123709596833817
47104 46 0.1236707003914
47616 46.5 0.123637468695261
48128 47 0.123609143184156
48640 47.5 0.123584834600932
49152 48 0.123564296689999
49664 48.5 0.123547873222006
50176 49 0.123535923946875
50688 49.5 0.123528402173306
51200 50 0.123524814990977
51712 50.5 0.12352452243421
52224 51 0.123527170689881
52736 51.5 0.123532774687423
53248 52 0.123541295117382
53760 52.5 0.123552404585732
54272 53 0.123565921166199
54784 53.5 0.123582097365051
55296 54 0.123600975226287
55808 54.5 0.123621758860492
56320 55 0.123643517816626
56832 55.5 0.123666380095626
57344 56 0.123691263862832
57856 56.5 0.123718386475033
58368 57 0.123746818597487
58880 57.5 0.123775745723887
59392 58 0.123805448868551
59904 58.5 0.123836598424502
60416 59 0.123869104081713
60928 59.5 0.123902212758205
61440 60 0.123935490002421
61952 60.5 0.123969194106037
62464 61 0.124003687207935
62976 61.5 0.124038832434671
63488 62 0.124074138751586
64000 62.5 0.124109380522804
64512 63 0.124144849226652
65024 63.5 0.124180847019086
65536 64 0.124217061052675
66048 64.5 0.124252779866064
66560 65 0.124287803711905
67072 65.5 0.124322744449548
67584 66 0.124358130555626
68096 66.5 0.124393539945444
68608 67 0.124428086002589
69120 67.5 0.124461595628318
69632 68 0.124494729259214
70144 68.5 0.124527872811068
70656 69 0.12456050805508
71168 69.5 0.12459202773253
71680 70 0.124622714521665
72192 70.5 0.124653323472638
72704 71 0.124683860708896
73216 71.5 0.124713428265222
73728 72 0.124741416609512
74240 72.5 0.124768306918363
74752 73 0.124794975590285
75264 73.5 0.124821610407905
75776 74 0.124847724393058
76288 74.5 0.124872944169342
76800 75 0.124897288255664
77312 75.5 0.124920822887933
77824 76 0.124943577465056
78336 76.5 0.124965804541292
78848 77 0.12498784155843
79360 77.5 0.125009619935125
79872 78 0.125030724880776
80384 78.5 0.125051052196483
80896 79 0.125070978635429
81408 79.5 0.125090704251593
81920 80 0.125109881734909
82432 80.5 0.125128243061053
82944 81 0.125146236176359
83456 81.5 0.125164554449672
83968 82 0.125183175425604
84480 82.5 0.125201340936812
84992 83 0.125218532917711
85504 83.5 0.125235102463113
86016 84 0.12525180748399
86528 84.5 0.125269001821083
87040 85 0.125286462303384
87552 85.5 0.125303832982031
88064 86 0.125320998773163
88576 86.5 0.12533804565337
89088 87 0.125355061843084
89600 87.5 0.125372120986794
90112 88 0.12538941774055
90624 88.5 0.125407227272034
91136 89 0.12542557139507
91648 89.5 0.125444024104914
92160 90 0.12546213255452
92672 90.5 0.125480085329662
93184 91 0.125498649116732
93696 91.5 0.125518246721653
94208 92 0.125538391538815
94720 92.5 0.125558361162132
95232 93 0.12557820001418
95744 93.5 0.125598608456261
96256 94 0.125619941571254
96768 94.5 0.125641832675061
97280 95 0.125663881487894
97792 95.5 0.125686213882681
98304 96 0.125709092562985
98816 96.5 0.125732343684592
99328 97 0.125755579215792
99840 97.5 0.125778858857318
100352 98 0.125802735946698
100864 98.5 0.12582755260278
101376 99 0.125852938175895
101888 99.5 0.125878207292544
102400 100 0.12590317608325
102912 100.5 0.125928378345733
103424 101 0.125954425154623
103936 101.5 0.125981326458038
104448 102 0.126008600876034
104960 102.5 0.126035932200792
105472 103 0.1260634385123
105984 103.5 0.126091267225686
106496 104 0.12611926059823
107008 104.5 0.126147285968995
107520 105 0.126175693521327
108032 105.5 0.126205036243002
108544 106 0.126235293839736
109056 106.5 0.126265728812329
109568 107 0.126295706812708
110080 107.5 0.126325435153882
110592 108 0.126355666137039
111104 108.5 0.126386818624002
111616 109 0.126418632807403
112128 109.5 0.126450607483206
112640 110 0.126482514634829
113152 110.5 0.126514457127662
113664 111 0.12654662572706
114176 111.5 0.126579107669292
114688 112 0.1266118618984
115200 112.5 0.126644810975708
115712 113 0.126677945156389
116224 113.5 0.126711308577603
116736 114 0.126744865353651
117248 114.5 0.126778429674551
117760 115 0.126811786173196
118272 115.5 0.126844890563025
118784 116 0.126877953609921
119296 116.5 0.126911303414468
119808 117 0.126945063257673
120320 117.5 0.126978899940785
120832 118 0.127012205506556
121344 118.5 0.127044678782948
121856 119 0.127076668795399
122368 119.5 0.127108779630492
122880 120 0.127141162582026
123392 120.5 0.127173362967939
123904 121 0.127204852130991
124416 121.5 0.127235520860503
124928 122 0.127265608746681
125440 122.5 0.127295331190916
125952 123 0.127324690006422
126464 123.5 0.127353544612604
126976 124 0.127381737226028
127488 124.5 0.127409156422122
128000 125 0.127435749426282
128512 125.5 0.1274615112803
129024 126 0.127486483858142
129536 126.5 0.127510753755958
130048 127 0.12753436589358
130560 127.5 0.127557180621022
131072 128 0.127578905638305
131584 128.5 0.127599387359039
132096 129 0.127618812473172
132608 129.5 0.127637476845857
133120 130 0.127655389434228
133632 130.5 0.127672271796814
134144 131 0.127687931433779
134656 131.5 0.127702420969636
135168 132 0.127715794231243
135680 132.5 0.127727968056133
136192 133 0.1277389720123
136704 133.5 0.127749089520834
137216 134 0.127758482569395
137728 134.5 0.127766815815373
138240 135 0.127773568527157
138752 135.5 0.127778699377887
139264 136 0.127782715145506
139776 136.5 0.127786037886585
140288 137 0.127788569736932
140800 137.5 0.127789976321089
141312 138 0.127790134978122
141824 138.5 0.127789111420281
142336 139 0.127786893196664
142848 139.5 0.127783426363905
143360 140 0.127778868416003
143872 140.5 0.127773550258255
144384 141 0.127767607990511
144896 141.5 0.127760793084554
145408 142 0.127752745154038
145920 142.5 0.12774339149537
146432 143 0.127732999551901
146944 143.5 0.12772186817212
147456 144 0.127710062345998
147968 144.5 0.127697482669628
148480 145 0.127684101399835
148992 145.5 0.127669991973231
149504 146 0.127655119350889
150016 146.5 0.127639276820731
150528 147 0.127622378237804
151040 147.5 0.127604721210104
151552 148 0.127586757219774
152064 148.5 0.12756858560972
152576 149 0.127549842151098
153088 149.5 0.127530140804752
153600 150 0.127509489800446
154112 150.5 0.127488215992905
154624 151 0.127466622323821
155136 151.5 0.127444811220852
155648 152 0.127422711853249
156160 152.5 0.127400137162447
156672 153 0.127376887318971
157184 153.5 0.127352949871334
157696 154 0.127328590119402
158208 154.5 0.127304129566726
158720 155 0.127279619013905
159232 155.5 0.127254809859045
159744 156 0.127229464885138
160256 156.5 0.12720363003632
160768 157 0.127177569524074
161280 157.5 0.127151483280007
161792 158 0.127125338037997
162304 158.5 0.12709896491881
162816 159 0.127072275490938
163328 159.5 0.127045351251647
163840 160 0.127018337576601
164352 160.5 0.126991302352375
164864 161 0.126964228140754
165376 161.5 0.126937101639807
165888 162 0.126909942873457
166400 162.5 0.126882745684602
166912 163 0.126855460677469
167424 163.5 0.126828081417886
167936 164 0.126800711960524
168448 164.5 0.126773500220859
168960 165 0.126746512826747
169472 165.5 0.126719705341406
169984 166 0.126692997417632
170496 166.5 0.126666334724131
171008 167 0.126639694584248
171520 167.5 0.12661310882959
172032 168 0.12658671590527
172544 168.5 0.126560723916351
173056 169 0.126535234645568
173568 169.5 0.126510102303992
174080 170 0.126485037305649
174592 170.5 0.126459895683006
175104 171 0.126434848315117
175616 171.5 0.126410235352117
176128 172 0.126386257490096
176640 172.5 0.126362824399577
177152 173 0.126339690333503
177664 173.5 0.126316698502838
178176 174 0.126293879536073
178688 174.5 0.12627136004633
179200 175 0.126249248293766
179712 175.5 0.126227616226872
180224 176 0.126206507866686
180736 176.5 0.126185889753534
181248 177 0.12616562932939
181760 177.5 0.126145608859667
182272 178 0.126125861602582
182784 178.5 0.12610652770285
183296 179 0.126087683829387
183808 179.5 0.126069305437207
184320 180 0.126051396542462
184832 180.5 0.126034023338001
185344 181 0.126017154183219
185856 181.5 0.126000590738149
186368 182 0.125984189861415
186880 182.5 0.125968097229017
187392 183 0.125952624762569
187904 183.5 0.125937897172124
188416 184 0.12592372209294
188928 184.5 0.125909822498446
189440 185 0.125896114498093
189952 185.5 0.125882736643531
190464 186 0.125869879484786
190976 186.5 0.125857626084593
191488 187 0.125845916587705
192000 187.5 0.125834621906848
192512 188 0.125823648593925
193024 188.5 0.125812990484015
193536 189 0.12580271053109
194048 189.5 0.125792902650964
194560 190 0.125783643134661
195072 190.5 0.125774905617713
195584 191 0.125766521935703
196096 191.5 0.125758321621066
196608 192 0.125750349558269
197120 192.5 0.125742852863067
197632 193 0.125735983579521
198144 193.5 0.125729595395648
198656 194 0.125723424463413
199168 194.5 0.125717402130646
199680 195 0.125711672063639
200192 195.5 0.125706342043965
200704 196 0.125701366871062
201216 196.5 0.125696695401918
201728 197 0.12569239204674
202240 197.5 0.125688518613909
202752 198 0.125684964305117
203264 198.5 0.125681505513534
203776 199 0.125678053342152
204288 199.5 0.125674786801154
204800 200 0.125672000223181
205312 200.5 0.125669817030893
205824 201 0.125668061696255
206336 201.5 0.125666413644657
206848 202 0.125664686915528
207360 202.5 0.125662973752533
207872 203 0.125661547235279
208384 203.5 0.125660643167375
208896 204 0.125660301567349
209408 204.5 0.125660350897053
209920 205 0.125660526741399
210432 205.5 0.125660667847467
210944 206 0.125660860032869
211456 206.5 0.125661378165736
211968 207 0.125662444518355
212480 207.5 0.125664042647533
212992 208 0.125665982668423
213504 208.5 0.125668114409231
214016 209 0.125670430475953
214528 209.5 0.125672995640366
215040 210 0.125675869564062
215552 210.5 0.125679124291665
216064 211 0.125682854959375
216576 211.5 0.125687096071253
217088 212 0.125691750704243
217600 212.5 0.125696671272641
218112 213 0.125701821599347
218624 213.5 0.125707318012687
219136 214 0.125713300282942
219648 214.5 0.125719802401605
220160 215 0.125726770631147
220672 215.5 0.125734164755256
221184 216 0.125741988013302
221696 216.5 0.125750228608513
222208 217 0.125758836424911
222720 217.5 0.125767797175817
223232 218 0.12577720245669
223744 218.5 0.125787189610439
224256 219 0.125797786637767
224768 219.5 0.125808843181496
225280 220 0.125820163091881
225792 220.5 0.125831722938528
226304 221 0.12584372407871
226816 221.5 0.125856382166608
227328 222 0.12586967291878
227840 222.5 0.125883342498096
228352 223 0.125897189901975
228864 223.5 0.125911284649613
229376 224 0.125925857659697
229888 224.5 0.125941019801907
230400 225 0.125956663129226
230912 225.5 0.125972624188573
231424 226 0.125988848988125
231936 226.5 0.126005363646551
232448 227 0.126022170355981
232960 227.5 0.126039261002289
233472 228 0.126056699393673
233984 228.5 0.126074583624922
234496 229 0.126092890666712
235008 229.5 0.126111424639003
235520 230 0.126129985572825
236032 230.5 0.126148576085576
236544 231 0.126167390344788
237056 231.5 0.126186594066408
237568 232 0.126206156435192
238080 232.5 0.126225908653799
238592 233 0.126245713116082
239104 233.5 0.126265526962884
239616 234 0.126285341463516
240128 234.5 0.126305157671228
240640 235 0.126325050325335
241152 235.5 0.126345163537336
241664 236 0.126365541868224
242176 236.5 0.126385986555714
242688 237 0.126406187374238
243200 237.5 0.126426038671265
243712 238 0.126445754009856
