# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.00127701724593845
1024 1 0.00127415701145977
1536 1.5 0.00127147662514466
2048 2 0.00126895943776926
2560 2.5 0.0012666234679166
3072 3 0.0012644918973796
3584 3.5 0.00126272512046628
4096 4 0.0012612848848225
4608 4.5 0.00126017812776173
5120 5 0.00125940639429632
5632 5.5 0.00125896465261319
6144 6 0.00125883966393402
6656 6.5 0.00125900845976061
7168 7 0.00125943958411171
7680 7.5 0.00126009713987034
8192 8 0.00126094447093824
8704 8.5 0.00126194447483805
9216 9 0.0012630580762565
9728 9.5 0.00126424595858416
10240 10 0.00126547330992039
10752 10.5 0.00126671186707105
11264 11 0.00126793482013782
11776 11.5 0.00126911234286797
12288 12 0.00127021750512613
12800 12.5 0.00127123623784481
13312 13 0.0012721654962079
13824 13.5 0.00127299960414866
14336 14 0.0012737263949316
14848 14.5 0.00127433991241748
15360 15 0.00127484860928342
15872 15.5 0.00127526319454387
16384 16 0.00127558183112141
16896 16.5 0.00127579701959686
17408 17 0.00127591487153897
17920 17.5 0.00127595751631218
18432 18 0.00127594489255982
18944 18.5 0.00127588160484141
19456 19 0.00127576389825267
19968 19.5 0.0012755927247905
20480 20 0.00127537584209178
20992 20.5 0.00127512202997666
21504 21 0.00127483887485338
22016 21.5 0.0012745344208368
22528 22 0.00127421544041448
23040 22.5 0.00127388227667261
23552 23 0.00127352798195599
24064 23.5 0.00127314526566711
24576 24 0.00127273472634025
25088 24.5 0.00127230493663042
25600 25 0.00127186292237666
26112 25.5 0.00127140453821135
26624 26 0.00127091601142841
27136 26.5 0.00127038611033811
27648 27 0.0012698152613376
28160 27.5 0.00126921095289424
28672 28 0.00126857592755915
29184 28.5 0.00126790424487958
29696 29 0.00126718838923997
30208 29.5 0.0012664260525856
30720 30 0.00126561877107764
31232 30.5 0.00126476806947447
31744 31 0.00126387596910091
32256 31.5 0.00126294634086252
32768 32 0.00126198181867244
33280 32.5 0.00126098070376281
33792 33 0.00125994069939055
34304 33.5 0.00125886559278908
34816 34 0.00125776525822222
35328 34.5 0.00125664880327064
35840 35 0.00125552022571997
36352 35.5 0.00125438123052737
36864 36 0.0012532358222591
