# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00455532145826563 -0.00455532145826572 -0.00455532145826572
1024 1 -0.00900274437013835 -0.0090027443701411 -0.00900274437014111
1536 1.5 -0.0132796814148574 -0.0132796814148615 -0.0132796814148615
2048 2 -0.0175544939478332 -0.0175544939478083 -0.0175544939478086
2560 2.5 -0.0219298310790582 -0.0219298310790591 -0.0219298299086244
3072 3 -0.0263022444650036 -0.0263022444649948 -0.0263022381622313
3584 3.5 -0.03064407856163 -0.0306440785608971 -0.0306440653293929
4096 4 -0.0349422237173939 -0.0349422237139844 -0.0349422030322496
4608 4.5 -0.0391753984875878 -0.0391753984790983 -0.0391753714632533
5120 5 -0.0433289684430013 -0.0433289684012407 -0.0433289332229474
5632 5.5 -0.0473926177342624 -0.0473926163929752 -0.0473925668234741
6144 6 -0.0513594954820109 -0.0513594931825612 -0.0513594143695065
6656 6.5 -0.0552796568213394 -0.0552796567854781 -0.0552796559753217
7168 7 -0.0594049778008597 -0.0594049778577656 -0.0594049764447588
7680 7.5 -0.0634427972647132 -0.0634427988067739 -0.0634427944238229
8192 8 -0.067398677436117 -0.0673987094948379 -0.0673986887407295
8704 8.5 -0.0712696527911239 -0.0712697445441301 -0.071269695474869
9216 9 -0.0750463064395417 -0.0750474702647979 -0.0750463896241292
9728 9.5 -0.0787297515135689 -0.078736210300037 -0.0787298669646568
10240 10 -0.0823329158463044 -0.0823488377086766 -0.0823330509416224
10752 10.5 -0.0858654289110708 -0.085894575595312 -0.0858655742865251
11264 11 -0.0893301873320887 -0.0893758758330508 -0.0893303380867355
11776 11.5 -0.0927297110538109 -0.0927947923658525 -0.0927298623795019
12288 12 -0.0960721477719926 -0.0961590064476909 -0.0960722969569568
12800 12.5 -0.0993696766330296 -0.0994802795848109 -0.0993698239638354
13312 13 -0.102633628977507 -0.102769808892068 -0.102633779858351
13824 13.5 -0.105872226213914 -0.106035215606441 -0.105872390004152
14336 14 -0.109091317886326 -0.109281908776298 -0.109091505426038
14848 14.5 -0.112295457649647 -0.112514012055507 -0.112295678328789
15360 15 -0.115488498980084 -0.11573497516445 -0.115488763166214
15872 15.5 -0.118674066452119 -0.1189477467741 -0.118674388647369
16384 16 -0.121854084669424 -0.122153602246433 -0.121854841419612
16896 16.5 -0.125029836915541 -0.125354384074499 -0.12503257702958
17408 17 -0.128206676753873 -0.128555467207373 -0.128212895857007
