# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000548005806069028
512 0.5 0.000548704262350624
1024 1 0.000551941576379857
1536 1.5 0.000502834306368188
2048 2 0.000662197080665103
2560 2.5 0.000831413986647642
3072 3 0.000981894311474121
3584 3.5 0.00111105507287032
4096 4 0.00123379264190396
4608 4.5 0.00135882195815767
5120 5 0.00148565201864456
5632 5.5 0.00160569261984138
6144 6 0.00171047548262149
6656 6.5 0.00180021969470288
7168 7 0.00188388739503295
7680 7.5 0.00196931280189278
8192 8 0.00205490378896107
8704 8.5 0.00213583901948167
9216 9 0.00221771539123466
9728 9.5 0.00231332512470044
10240 10 0.00241900369735687
10752 10.5 0.0025071602114346
11264 11 0.00256117176451541
11776 11.5 0.00260966513887521
12288 12 0.00269688838957412
12800 12.5 0.00281812933599082
13312 13 0.00292211094485076
13824 13.5 0.00299015001882427
14336 14 0.00306857728935572
14848 14.5 0.00319263576378112
15360 15 0.00332183781068897
15872 15.5 0.00339998306747062
16384 16 0.00344840642625427
16896 16.5 0.00353952512813011
17408 17 0.00368992608840212
17920 17.5 0.00383904707993882
18432 18 0.00393796333693018
18944 18.5 0.0040075524909948
19456 19 0.00409324683936417
19968 19.5 0.00420412442185655
20480 20 0.0043213898537395
20992 20.5 0.00443840259610667
21504 21 0.00456236277802394
22016 21.5 0.00468798231168863
22528 22 0.0047958515261194
23040 22.5 0.00487996540521186
23552 23 0.00496252284643058
24064 23.5 0.00507322471851795
24576 24 0.00521568252668583
25088 24.5 0.00535910211084852
25600 25 0.00546862830796359
26112 25.5 0.00554531971514254
26624 26 0.00562825223848172
27136 26.5 0.00574982055754046
27648 27 0.00589690510307918
28160 27.5 0.00602962108375669
28672 28 0.00613295270824614
29184 28.5 0.00623020337400615
29696 29 0.00634442283593026
30208 29.5 0.00646972946688526
