# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000127567441713103
512 0.5 -0.00014190799889156
1024 1 -0.000215464804311018
1536 1.5 -0.000312357772104759
2048 2 -0.000408666145921616
2560 2.5 -0.000493514221895936
3072 3 -0.000565195920117217
3584 3.5 -0.000627460376726963
4096 4 -0.000689681368523211
4608 4.5 -0.000757156324953076
5120 5 -0.000825706734054993
5632 5.5 -0.000886025584112779
6144 6 -0.000933637434272294
6656 6.5 -0.000973238834138832
7168 7 -0.00101226916568266
7680 7.5 -0.00105315027241803
8192 8 -0.00109454258863884
8704 8.5 -0.00113562320956569
9216 9 -0.00117375566886045
9728 9.5 -0.00120403751613521
10240 10 -0.00122927761519654
10752 10.5 -0.00126241910243794
11264 11 -0.00130764724336741
11776 11.5 -0.00134845520853961
12288 12 -0.00136975824554973
12800 12.5 -0.00138384076879178
13312 13 -0.00141693271585465
13824 13.5 -0.0014739936384752
14336 14 -0.00153251470241226
14848 14.5 -0.00157154497665811
15360 15 -0.00159550513916424
15872 15.5 -0.00162528950876616
16384 16 -0.00167170597518847
16896 16.5 -0.00172549686961243
17408 17 -0.00177511684302633
17920 17.5 -0.00182408714292885
18432 18 -0.00187966126002322
18944 18.5 -0.00193252681207041
19456 19 -0.00196747586928733
19968 19.5 -0.00199353716882581
20480 20 -0.00204071145293107
20992 20.5 -0.00211829097660556
21504 21 -0.00219602117545117
22016 21.5 -0.00224156044602488
22528 22 -0.00226306357893742
23040 22.5 -0.00229641581998597
23552 23 -0.00235757369886483
24064 23.5 -0.00242765237252284
24576 24 -0.00248488755653604
25088 24.5 -0.00253096499230776
25600 25 -0.00257792630842178
26112 25.5 -0.00262618915146508
26624 26 -0.00267040440710094
27136 26.5 -0.00271681033330829
