# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 9.17517255113509e-07
512 0.5 2.10717847510565e-06
1024 1 2.98594096763926e-06
1536 1.5 3.6197243207248e-06
2048 2 4.09650525673708e-06
2560 2.5 4.45880196572546e-06
3072 3 4.72478641989682e-06
3584 3.5 4.86978787342227e-06
4096 4 4.88647967760291e-06
4608 4.5 4.86802896474383e-06
5120 5 4.88929262717413e-06
5632 5.5 5.01073302892738e-06
6144 6 5.18401999912324e-06
6656 6.5 5.32893061076143e-06
7168 7 5.43070043520715e-06
7680 7.5 5.49371256654199e-06
8192 8 5.54165535973239e-06
8704 8.5 5.56402537843088e-06
9216 9 5.56582615936517e-06
9728 9.5 5.57416100907641e-06
10240 10 5.63015254454051e-06
10752 10.5 5.76615584882371e-06
11264 11 5.89658167653019e-06
11776 11.5 5.96243397574857e-06
12288 12 5.98139566945898e-06
12800 12.5 5.9939965634611e-06
13312 13 6.04401957863702e-06
13824 13.5 6.08449029313776e-06
14336 14 6.12079991158711e-06
14848 14.5 6.18850968524467e-06
15360 15 6.3020421877283e-06
15872 15.5 6.40445285709933e-06
16384 16 6.45631609166981e-06
16896 16.5 6.48468904288191e-06
17408 17 6.50674713813655e-06
17920 17.5 6.57037341719863e-06
18432 18 6.65234677883562e-06
18944 18.5 6.71509980999451e-06
19456 19 6.76146836680263e-06
19968 19.5 6.8285904925165e-06
20480 20 6.94158608388782e-06
20992 20.5 7.01773138247284e-06
21504 21 7.05131440773568e-06
22016 21.5 7.07648059212684e-06
22528 22 7.12580253841432e-06
23040 22.5 7.21094591015127e-06
23552 23 7.31549073121932e-06
24064 23.5 7.40122237066674e-06
24576 24 7.44517042030152e-06
25088 24.5 7.49207846328102e-06
25600 25 7.57985247467538e-06
26112 25.5 7.65105043867687e-06
26624 26 7.69329966451925e-06
27136 26.5 7.74913390904323e-06
27648 27 7.83627818460785e-06
28160 27.5 7.94526612661755e-06
28672 28 8.0259916061694e-06
29184 28.5 8.07453974887381e-06
29696 29 8.11310815337542e-06
30208 29.5 8.18173305589719e-06
30720 30 8.2653044042098e-06
31232 30.5 8.34581539325798e-06
31744 31 8.41043377268534e-06
32256 31.5 8.50024321074103e-06
32768 32 8.57866725871658e-06
33280 32.5 8.64651692674698e-06
33792 33 8.69716729702317e-06
34304 33.5 8.75757498698901e-06
34816 34 8.82992489857218e-06
35328 34.5 8.90319076306359e-06
35840 35 8.99420346904565e-06
36352 35.5 9.07388306575227e-06
36864 36 9.15779345017347e-06
37376 36.5 9.23564539951465e-06
37888 37 9.2986510083875e-06
38400 37.5 9.37069984407946e-06
38912 38 9.43214907260931e-06
39424 38.5 9.5143758772088e-06
39936 39 9.60075313248249e-06
40448 39.5 9.67494876045952e-06
40960 40 9.74951290222348e-06
41472 40.5 9.80989170679336e-06
41984 41 9.88931593329211e-06
42496 41.5 9.97335032519956e-06
43008 42 1.005771388551e-05
43520 42.5 1.01250850352526e-05
44032 43 1.01847672829977e-05
44544 43.5 1.02776703650531e-05
45056 44 1.03780653168492e-05
45568 44.5 1.04738553637642e-05
46080 45 1.05245236402941e-05
46592 45.5 1.05693305732327e-05
47104 46 1.06522415371864e-05
47616 46.5 1.07454171126348e-05
48128 47 1.08220113954648e-05
48640 47.5 1.0870688138191e-05
49152 48 1.09395205101558e-05
49664 48.5 1.10263681813538e-05
50176 49 1.11301216816772e-05
50688 49.5 1.12125671664084e-05
51200 50 1.12837032723229e-05
51712 50.5 1.13618477291458e-05
52224 51 1.14426109484096e-05
52736 51.5 1.15235510467941e-05
53248 52 1.15886735626693e-05
53760 52.5 1.16590039877019e-05
54272 53 1.17241371093996e-05
54784 53.5 1.17956612628202e-05
55296 54 1.18763314325958e-05
55808 54.5 1.19514917663767e-05
56320 55 1.2028616961834e-05
56832 55.5 1.21023752352367e-05
57344 56 1.2182259538415e-05
57856 56.5 1.22510225099819e-05
58368 57 1.2306401060528e-05
58880 57.5 1.23608975378519e-05
59392 58 1.24353413088233e-05
59904 58.5 1.252648972304e-05
60416 59 1.26140933077178e-05
60928 59.5 1.26811951339202e-05
61440 60 1.27283609467281e-05
61952 60.5 1.27789974790206e-05
62464 61 1.2840163747273e-05
62976 61.5 1.28970543219065e-05
