# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.20994681993265e-05 2.20994681993263e-05 2.20994681993231e-05
1024 1 3.56574368071131e-05 3.56574368071126e-05 3.56574368071104e-05
1536 1.5 4.86710580599703e-05 4.8671058059878e-05 4.8671058059761e-05
2048 2 3.46578066920585e-05 3.46578066917784e-05 3.4657806691409e-05
2560 2.5 2.78415893421403e-05 2.78415893420029e-05 2.78415893418934e-05
3072 3 5.23462260753183e-05 5.23462260753602e-05 5.23462261115121e-05
3584 3.5 5.00213358492101e-05 5.00213358463111e-05 5.00213359480839e-05
4096 4 4.15333657566376e-05 4.15333658673694e-05 4.15333660927918e-05
4608 4.5 3.87086244102609e-05 3.87086244747821e-05 3.87086249948893e-05
5120 5 3.16592136896056e-05 3.16592136880897e-05 3.16592128311297e-05
5632 5.5 4.03633910498873e-05 4.03633906456473e-05 4.03633896033116e-05
6144 6 5.0110268563734e-05 5.01102674952782e-05 5.01102662017799e-05
6656 6.5 5.18784481452621e-05 5.18784508057086e-05 5.18784418746589e-05
7168 7 3.72742113104593e-05 3.72742154987119e-05 3.72742078494313e-05
7680 7.5 3.16873070600627e-05 3.16873031422263e-05 3.16873036938212e-05
8192 8 3.65053190906218e-05 3.6505327666877e-05 3.6505320276984e-05
8704 8.5 4.35972695895996e-05 4.3597273416056e-05 4.3597262428254e-05
9216 9 3.20858314088167e-05 3.20857391605621e-05 3.20857941717244e-05
9728 9.5 2.9525630277716e-05 2.95257897480894e-05 2.95257102962866e-05
