# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 6.06077948039934e-07 6.06077924278202e-07 6.06077899722616e-07
1024 1 1.08559161942924e-06 1.08559159981858e-06 1.08559153231502e-06
1536 1.5 2.63172952043631e-06 2.6317295204363e-06 2.6317295204363e-06
2048 2 4.26960098168956e-06 4.26960098168955e-06 4.26960098168956e-06
2560 2.5 5.14289712293291e-06 5.14289712293291e-06 5.14289712293291e-06
3072 3 5.88851120923685e-06 5.88851120923684e-06 5.88851120923684e-06
3584 3.5 6.5721718417503e-06 6.57217184175021e-06 6.57217184175019e-06
4096 4 6.75065387930816e-06 6.75065387931164e-06 6.75065387930812e-06
4608 4.5 7.09910770659335e-06 7.09910770662148e-06 7.09910770660658e-06
5120 5 7.21532969772321e-06 7.21532969696545e-06 7.21532969695634e-06
5632 5.5 7.2017953557872e-06 7.20179535344483e-06 7.20179535534704e-06
6144 6 7.41681670442932e-06 7.41681675714659e-06 7.4168167524522e-06
6656 6.5 7.40254085656467e-06 7.40254020474619e-06 7.40253949949073e-06
7168 7 8.04144715074819e-06 8.04144936022904e-06 8.04147930632784e-06
7680 7.5 9.38358430874282e-06 9.38361490697772e-06 9.38366373987603e-06
8192 8 9.38746377952676e-06 9.3874480139873e-06 9.38745432023183e-06
8704 8.5 9.47941090971631e-06 9.479160325321e-06 9.47900565046314e-06
9216 9 1.05502494261395e-05 1.05500114774522e-05 1.05498666371945e-05
9728 9.5 1.10123004384908e-05 1.1012278893741e-05 1.10122699612739e-05
10240 10 1.05841922903392e-05 1.05844185141811e-05 1.05845323505603e-05
10752 10.5 1.11096266612454e-05 1.11097677863932e-05 1.11099206691351e-05
11264 11 1.29133763741072e-05 1.29134711988215e-05 1.29135803419111e-05
11776 11.5 1.40257010787366e-05 1.40259228146863e-05 1.40260851352606e-05
12288 12 1.45280523620993e-05 1.45284877272098e-05 1.45288048326131e-05
12800 12.5 1.5209696254565e-05 1.52100488772524e-05 1.5210352333347e-05
13312 13 1.5165238452619e-05 1.51657870296446e-05 1.51662346055631e-05
13824 13.5 1.37438411225008e-05 1.37442927259772e-05 1.37446457729396e-05
14336 14 1.362355687534e-05 1.36236466031075e-05 1.36237173319536e-05
14848 14.5 1.39325739807093e-05 1.39327179929348e-05 1.39328266970762e-05
15360 15 1.37939002010191e-05 1.3794169511626e-05 1.37944050721272e-05
15872 15.5 1.27370817642693e-05 1.27373873279164e-05 1.27376806897053e-05
16384 16 1.2594824623427e-05 1.25950529859354e-05 1.25953115337307e-05
16896 16.5 1.24892225620068e-05 1.24895739486179e-05 1.24898435124291e-05
17408 17 1.16103723054906e-05 1.16108096625965e-05 1.1611220802762e-05
17920 17.5 1.08142942291656e-05 1.0814767076024e-05 1.08150898463681e-05
18432 18 1.11614198424761e-05 1.1161916591234e-05 1.11623657271768e-05
18944 18.5 1.27272110725267e-05 1.27275734446095e-05 1.2727960311903e-05
19456 19 1.48742692142944e-05 1.4874678599707e-05 1.48750624884813e-05
19968 19.5 1.63025275314851e-05 1.63029562156869e-05 1.63033809844788e-05
20480 20 1.69849512569296e-05 1.6985403545008e-05 1.69858030928947e-05
20992 20.5 1.75142537296303e-05 1.75146800110489e-05 1.7515047114672e-05
