# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -6.13311363659107e-07 -6.13311369614817e-07 -6.13311423488809e-07
1024 1 -1.39490357821443e-06 -1.39490361785201e-06 -1.39490324655666e-06
1536 1.5 -1.56862577753889e-06 -1.56864711137766e-06 -1.56864297755015e-06
2048 2 -2.53772704474262e-06 -2.53753174104392e-06 -2.5375682700854e-06
2560 2.5 -3.77910428049834e-06 -3.77890928698477e-06 -3.77896029426002e-06
3072 3 -3.70082822997775e-06 -3.7006891368936e-06 -3.70069215945209e-06
3584 3.5 -3.23131042720572e-06 -3.23126499117344e-06 -3.23129667681736e-06
4096 4 -4.5199079494604e-06 -4.51858485979542e-06 -4.51824727942038e-06
4608 4.5 -4.56640058845042e-06 -4.56389750046351e-06 -4.56281344196918e-06
5120 5 -6.21337146073535e-06 -6.21164550864969e-06 -6.21084307326476e-06
5632 5.5 -6.71142119454866e-06 -6.70988845902251e-06 -6.70916033676588e-06
6144 6 -7.33651273311064e-06 -7.33394772110135e-06 -7.33254917995889e-06
6656 6.5 -8.57970926908232e-06 -8.57841407948358e-06 -8.57765868033285e-06
7168 7 -9.45098987033808e-06 -9.4495728448039e-06 -9.44872844997773e-06
7680 7.5 -1.0383881975532e-05 -1.0383193090027e-05 -1.03826442586528e-05
8192 8 -1.15047320280119e-05 -1.15032056828406e-05 -1.15022953487859e-05
8704 8.5 -1.26954981774346e-05 -1.26940796441579e-05 -1.269326708546e-05
9216 9 -1.37181803078103e-05 -1.3716962275472e-05 -1.37162234915614e-05
9728 9.5 -1.47894364773532e-05 -1.47883363147494e-05 -1.47875753850255e-05
10240 10 -1.57045148964223e-05 -1.57035935770557e-05 -1.570283393626e-05
10752 10.5 -1.71540057020153e-05 -1.71533399991238e-05 -1.71526287396488e-05
11264 11 -1.76287611421318e-05 -1.76286853415578e-05 -1.76281635417908e-05
11776 11.5 -1.90232624239086e-05 -1.9023454498536e-05 -1.90230767967557e-05
12288 12 -2.03850689802601e-05 -2.0385689736066e-05 -2.03854758433797e-05
12800 12.5 -2.1784863344053e-05 -2.17859308657983e-05 -2.17857466192048e-05
13312 13 -2.23753797780391e-05 -2.23770472472158e-05 -2.23772003930685e-05
13824 13.5 -2.26689457860572e-05 -2.26711513073618e-05 -2.26715375767157e-05
14336 14 -2.2538671050655e-05 -2.25413424538561e-05 -2.25418648649611e-05
14848 14.5 -2.25962851484558e-05 -2.25960503746103e-05 -2.25952837487321e-05
15360 15 -2.19019247230268e-05 -2.19023612639958e-05 -2.19020444607631e-05
15872 15.5 -2.06012322840768e-05 -2.06021681009853e-05 -2.06021198393895e-05
16384 16 -1.92032145530532e-05 -1.92046235805473e-05 -1.92048256487226e-05
16896 16.5 -1.93832324010638e-05 -1.93852634256247e-05 -1.93857699570712e-05
17408 17 -2.13007145724491e-05 -2.13033828594694e-05 -2.13043914938433e-05
17920 17.5 -2.41243060008882e-05 -2.41276222337545e-05 -2.4129048290589e-05
18432 18 -2.62470639154416e-05 -2.62510776239972e-05 -2.62529064548629e-05
18944 18.5 -2.59572315683479e-05 -2.59622917733112e-05 -2.59648939516758e-05
19456 19 -2.53099880957208e-05 -2.53159345388693e-05 -2.53192186809022e-05
19968 19.5 -2.56399421342101e-05 -2.56464463908122e-05 -2.56502365592734e-05
20480 20 -2.54315379487121e-05 -2.54386465683888e-05 -2.54426215384999e-05
20992 20.5 -2.57994676046897e-05 -2.58075516965024e-05 -2.58123028711365e-05
21504 21 -2.51776826502912e-05 -2.51867015342377e-05 -2.5192161139868e-05
