# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 9.23956489562988 0 0.366814136505127 0 8.93138527870178 0 0 0 0 0 0 0 0 0 17.5819206731993 47909.3813790316 0 47909.3813790316 238 611459 2003 609456 0 0 0 0 9.23644185066223 1752357214.4858 399
512 0.5 581.210997896485 581.210997896485 12.4173679351807 3.0969820022583 3.46564483642578 0 8.95784592628479 7 203279.192304293 203279.192304293 629552 629552 128744.693934048 128744.693934048 398720 398720 29.0446875011319 69638.4364354063 1555.90156736833 68082.5348680379 264 623581 14125 609456 0 0 0 0 12.39954829216 1752357217.6636 1907
1024 1 614.01971053003 614.01971053003 15.1833899021149 5.8630039691925 6.15803956985474 0 9.05298161506653 14 214754.076002001 214754.076002001 1259104 1259104 136012.18832363 136012.18832363 797440 797440 39.6660502717959 70758.139738613 1699.3246173702 69058.8151212428 398 645434 15530 629904 0 0 0 0 15.1555478572845 1752357220.42962 3415
1536 1.5 619.800421412723 613.475863555318 18.0328679084778 8.71248197555542 8.96804738044739 0 9.06867980957031 21 216775.886056235 216775.886056235 1888656 1888656 137292.680014267 137292.680014267 1196160 1196160 46.3329636479033 71333.4586162511 1844.60353608712 69488.855080164 424 646824 16920 629904 0 0 0 0 17.9933335781097 1752357223.2791 4923
2048 2 564.057458684396 602.715591116724 22.0850429534912 12.7646570205688 12.8802289962769 0 9.2725555896759 28 197279.722905377 197279.722905377 2518208 2518208 124944.99440369 124944.99440369 1594880 1594880 65.400561358242 116585.626280791 1972.55480495282 114613.071475838 684 1257708 18348 1239360 0 0 0 0 22.0320711135864 1752357227.33127 6431
2560 2.5 558.668266667227 588.601143459932 25.4301249980927 16.1097390651703 16.1426002979279 0 9.29319071769714 35 195394.847009381 195394.847009381 3147760 3147760 123751.228491976 123751.228491976 1993600 1993600 76.0159485753478 135547.418784002 2103.89750022988 133443.521283772 710 1259101 19741 1239360 0 0 0 0 25.3665301799774 1752357230.67636 7939
3072 3 561.60803708096 584.97712875746 28.5508799552917 19.2304940223694 19.1963415145874 0 9.38704657554626 42 196423.034977996 196423.034977996 3777312 3777312 124402.420302733 124402.420302733 2392320 2392320 85.9475863075788 136208.323700476 2242.97544266868 133965.348257807 844 1280982 21174 1259808 0 0 0 0 28.4739663600922 1752357233.79711 9447
3584 3.5 591.792204441546 583.692643368379 30.611643075943 21.2912571430206 21.2070727348328 0 9.40893244743347 49 206979.981050325 206979.981050325 4406864 4406864 131088.548752741 131088.548752741 2791040 2791040 92.0828882755495 136335.840287695 2378.84339087828 133956.996896817 870 1282379 22571 1259808 0 0 0 0 30.5232653617859 1752357235.85788 10955
4096 4 599.773832014308 584.136081215117 33.3294360637665 24.0090501308441 23.8037970066071 0 9.58069562911987 56 209771.564162373 209771.564162373 5036416 5036416 132856.567944858 132856.567944858 3189760 3189760 110.018865265772 179380.195884678 2500.09472929806 176880.10115538 1130 1893270 24006 1869264 0 0 0 0 33.2286994457245 1752357238.57567 12463
4608 4.5 575.844046142695 582.556550393486 37.4530029296875 28.1326169967651 27.8593926429749 0 9.59937810897827 63 201402.094965126 201402.094965126 5665968 5665968 127555.854487786 127555.854487786 3588480 3588480 120.079924613526 197472.061443217 2627.37376719491 194844.687676022 1156 1894671 25407 1869264 0 0 0 0 37.3403615951538 1752357242.69923 13971
5120 5 564.192062580157 580.68128753214 41.224415063858 31.9040291309357 31.5567851066589 0 9.69583177566528 70 197326.800767479 197326.800767479 6295520 6295520 124974.8106622 124974.8106622 3987200 3987200 129.297460239381 197539.728812013 2756.93216620818 194782.796645805 1290 1916558 26846 1889712 0 0 0 0 41.0982773303986 1752357246.47065 15479
5632 5.5 531.680034113682 574.483363833706 46.5608289241791 37.2404429912567 36.8529064655304 0 9.71205925941467 77 185955.682686854 185955.682686854 6925072 6925072 117773.035112115 117773.035112115 4385920 4385920 135.147350587988 197545.253185608 2888.56860151553 194656.684584092 1316 1917954 28242 1889712 0 0 0 0 46.4216957092285 1752357251.80706 16987
6144 6 549.639101615747 572.745587245889 48.6189000606537 39.2985141277313 38.7782311439514 0 9.90238809585571 84 192236.886500221 192236.886500221 7554624 7554624 121751.168109017 121751.168109017 4784640 4784640 151.818947740867 238224.862541723 2996.95074081236 235227.91180091 1576 2528852 29684 2499168 0 0 0 0 48.4673984050751 1752357253.86513 18495
6656 6.5 549.497282730331 571.186454789288 51.9047639369965 42.5843780040741 41.9891109466553 0 9.92311692237854 91 192187.28518747 192187.28518747 8184176 8184176 121719.753650132 121719.753650132 5183360 5183360 161.159330762846 255157.678719144 3114.97387313644 252042.704846008 1602 2530256 31088 2499168 0 0 0 0 51.7395446300507 1752357257.151 20003
7168 7 560.472529054236 570.394705359804 54.2824468612671 44.9620609283447 44.2958252429962 0 10.0194125175476 98 196025.889783973 196025.889783973 8813728 8813728 124150.892658058 124150.892658058 5582080 5582080 169.827201312715 254873.279202172 3237.43115898667 251635.848043185 1736 2552139 32523 2519616 0 0 0 0 54.1054637432098 1752357259.52868 21511
7680 7.5 550.864356519247 569.100556836333 58.3342669010162 49.0138809680939 48.3020911216736 0 10.0429654121399 105 192665.420764114 192665.420764114 9443280 9443280 122022.575684086 122022.575684086 5980800 5980800 175.236163985475 254515.576297778 3362.08223837661 251153.494059401 1762 2553544 33928 2519616 0 0 0 0 58.1395261287689 1752357263.5805 23019
8192 8 527.601082907783 565.875345569468 63.9070820808411 54.5866961479187 53.6234769821167 0 10.3860576152802 112 184529.064970422 184529.064970422 10072832 10072832 116869.502098328 116869.502098328 6379520 6379520 188.649795609192 289770.267468715 3420.88204110092 286349.385427614 2022 3164442 35370 3129072 0 0 0 0 63.702791929245 1752357269.15331 24527
8704 8.5 521.756967182725 562.737660140527 67.9683809280396 58.6479949951172 57.5617938041687 0 10.4105033874512 119 182485.079002122 182485.079002122 10702384 10702384 115574.965530609 115574.965530609 6778240 6778240 196.414057334074 304196.559575095 3514.69694767665 300681.862627419 2048 3165845 36773 3129072 0 0 0 0 67.7522058486938 1752357273.21461 26035
9216 9 526.572754896125 560.711831795535 70.8503448963165 61.5299589633942 60.3688452243805 0 10.51628947258 126 184169.406105759 184169.406105759 11331936 11331936 116641.716017879 116641.716017879 7176960 7176960 204.360069364421 303479.282503517 3627.53434051074 299851.748163007 2182 3187732 38212 3149520 0 0 0 0 70.621365070343 1752357276.09658 27543
