# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.1053990159357e-10
512 0.5 1.1053990159357e-10
1024 1 1.1053990159357e-10
1536 1.5 1.1053990159357e-10
2048 2 1.1053990159357e-10
2560 2.5 1.1053990159357e-10
3072 3 1.1053990159357e-10
3584 3.5 1.1053990159357e-10
4096 4 1.1053990159357e-10
4608 4.5 1.1053990159357e-10
5120 5 1.1053990159357e-10
5632 5.5 1.1053990159357e-10
6144 6 1.1054012446178e-10
6656 6.5 1.10540622302419e-10
7168 7 1.10541131107458e-10
7680 7.5 1.10541650327095e-10
8192 8 1.10542180258106e-10
8704 8.5 1.10542720549819e-10
9216 9 1.10543270461861e-10
9728 9.5 1.10543829718744e-10
10240 10 1.10544398416025e-10
10752 10.5 1.10544976409317e-10
11264 11 1.10545563227159e-10
11776 11.5 1.10546158578786e-10
12288 12 1.10546762454517e-10
12800 12.5 1.10547374678401e-10
13312 13 1.10547994834569e-10
13824 13.5 1.10548622610622e-10
14336 14 1.10549257848891e-10
14848 14.5 1.10549900292037e-10
15360 15 1.10550549514687e-10
15872 15.5 1.10551205112955e-10
16384 16 1.10551866788137e-10
16896 16.5 1.10552534183872e-10
17408 17 1.10553206796332e-10
17920 17.5 1.1055388411477e-10
18432 18 1.1055456569849e-10
18944 18.5 1.10555251059811e-10
19456 19 1.10555939597511e-10
19968 19.5 1.10556630686828e-10
20480 20 1.10557323743287e-10
20992 20.5 1.10558018154572e-10
21504 21 1.10558713216019e-10
22016 21.5 1.10559408191773e-10
22528 22 1.10560102411384e-10
23040 22.5 1.10560795276147e-10
23552 23 1.10561486119728e-10
24064 23.5 1.10562173819918e-10
24576 24 1.10562856328323e-10
25088 24.5 1.10563530656087e-10
25600 25 1.10564192556198e-10
26112 25.5 1.10564833467331e-10
26624 26 1.10565437112421e-10
27136 26.5 1.10565987663073e-10
27648 27 1.10566493440846e-10
28160 27.5 1.10566998776314e-10
28672 28 1.10567553980357e-10
29184 28.5 1.10568174767357e-10
29696 29 1.10568856064121e-10
30208 29.5 1.10569619500525e-10
30720 30 1.10570503414166e-10
31232 30.5 1.10571510415399e-10
31744 31 1.10572624527732e-10
32256 31.5 1.10573873568447e-10
32768 32 1.10575303385372e-10
33280 32.5 1.10576903809164e-10
33792 33 1.10578623890025e-10
34304 33.5 1.10580419430707e-10
34816 34 1.1058224152346e-10
35328 34.5 1.10584059081861e-10
35840 35 1.10585902256498e-10
36352 35.5 1.10587763856216e-10
36864 36 1.1058950003477e-10
37376 36.5 1.10590981591262e-10
37888 37 1.10592259333982e-10
38400 37.5 1.10593428738e-10
38912 38 1.10594449150497e-10
39424 38.5 1.1059522711874e-10
39936 39 1.10595764083926e-10
40448 39.5 1.105961301791e-10
40960 40 1.10596367602197e-10
41472 40.5 1.10596470425679e-10
41984 41 1.10596470425679e-10
42496 41.5 1.10596470425679e-10
